"commit id","commit date","commit message"
"897c465a8ba7ea330a790c632917ee093af4d829","2016-02-25 00:56:38+03:00","new gitignore
"
"d15eb80aedb113294f001cae0a39bcd3c90d73da","2016-02-25 01:05:43+03:00","Удалил лишнее
"
"b7b51ffab4009c101ccbae5a80fd1429a3b319d4","2016-02-25 01:07:40+03:00","try del .idea
"
"bb10daab3141e26f5a09d98aa54957c8fdf491aa","2016-02-26 20:41:18+03:00","Загрузка изображений при открытии спойлера
"
"51ef13614e422f144369e26d3fcf576df13e79c6","2016-02-27 02:38:21+03:00","Merge pull request #18 from iSanechek/master

Merge pull request #1 from slartus/master
"
"cf1978f1295db7c8ddea97704addb7bc44f34da2","2016-02-27 02:45:47+03:00","Revert 'Merge pull request #1 from slartus/master'
"
"1c37d16325e38971bc4367a7059b0ee26f21857f","2016-02-27 02:46:57+03:00","Merge pull request #19 from slartus/revert-18-master

Revert 'Merge pull request #1 from slartus/master'
"
"e74bc1a77c41006a19b0e992fb9d3cc1bcaf91cd","2016-02-27 19:09:54+03:00","Небольшие исправления и улучшения
"
"109433f30d5d1491cc26ef23e72a954d6847fbde","2016-02-27 19:11:38+03:00","Merge remote-tracking branch 'origin/master'
"
"26da5c1cb159b577f283b2e06abdb082a57455f3","2016-02-27 22:21:42+03:00","Настройка для прокрутки длинного title
"
"573d2a9ec6ffbb09bd1f4ef47eddd5c524b58e1d","2016-02-28 00:01:18+03:00","Исправлен список новостей
"
"b431a99b4976aea8868899c2e1369145a684ed37","2016-02-28 03:20:56+03:00","Пролистывание картинок в теме
"
"fcd153406b16e34ba4e03c289673cf74784d93dd","2016-02-28 06:03:22+03:00","Исправлена загрузка изображений
"
"9f8db24ac2d5e208c02d6ff18db1d593eb1dc56d","2016-02-28 08:30:28+04:00","update gradle plugin to 2.0.0-beta6
update support libs to 23.2.0(ошибок нет, все находит)
update material-dialogs 0.8.5.5
"
"c86695ac29ccca5e338d7541e038a3eafa6088be","2016-02-28 17:39:33+03:00","updateinfo
"
"df85cf6d6d8045a7101be501aa23992e87362efb","2016-02-28 17:39:56+03:00","Merge remote-tracking branch 'origin/master'
"
"3ac2dbbcd30ac45c46378ef1f9026e26a5015bcd","2016-02-28 19:04:04+04:00","update json for test
"
"3afdc9674de18c4fd8536b6dfe218bea5a34468b","2016-02-28 19:08:28+04:00","Merge remote-tracking branch 'origin/master'

# Conflicts:
#	updateinfo.json
"
"e40846c74fd522ab2fe6c9e036c0ed659ee90c81","2016-02-28 22:24:48+04:00","update json for test
"
"7ae845dc9bca9827b2ff7eb0fe3591faadfcd7f0","2016-02-29 00:10:52+04:00","update json for test
"
"f8fa680b644362ceec49c3407012ae93894b04ba","2016-02-29 00:14:51+04:00","update json for test
"
"8e1b20920ffb6047d5e04a6990861695ff4d328f","2016-02-29 19:25:18+04:00","update json for test
"
"c1da939464e6f37b06e02875c7144e2f81cb218d","2016-02-29 18:33:55+03:00","test apk

Для тестов
"
"2fa6e8210cc8508df85d653c51de74aaf9fa57a8","2016-02-29 19:35:11+04:00","update json for test
"
"7f4681cc007ee2d5c21aee1638a0022c27d626d1","2016-02-29 19:35:38+04:00","update json for test
"
"58f4f059ef421f80d1481419fe718a92f1f8d538","2016-02-29 19:37:19+04:00","адский json
"
"80b8aa5f8a7bd1a8f83f211363199d5ab227580d","2016-02-29 19:38:09+04:00","Merge remote-tracking branch 'origin/master'
"
"6898e927c11c08feb6ab639080fca0698218cd8a","2016-02-29 19:45:19+04:00","Добавил ссылку на апк
"
"22f3bfdd78348739b0f566da5497dfe07a764ba5","2016-02-29 21:25:23+04:00","удалил массив
"
