"commit id","commit date","commit message"
"96f18c9a358c5078fe29de24f63ab7f7d350390a","2014-05-18 23:13:51+03:00","Add missing imports
"
"65a96e9692604ff083f0839e8e62948144b4c70b","2014-05-18 23:26:34+03:00","Add missing imports
"
"572499c71a0e453e44e007c523cf2ec82aa3c593","2014-05-18 22:37:57+02:00","add Immersive toggle
"
"d86a6c3f7c447e28a9d4264395efd13f4fd04aca","2014-05-18 22:38:55+02:00","Merge branch 'master' of https://github.com/AChep/AcDisplay
"
"eb787b621e890925decb1f82ac03eccb5d71e842","2014-05-18 22:57:24+02:00","Not fully out of immersive yet, showing the master
"
"a2b67ed41d79986bfa541458e4c963ea8310dc3f","2014-05-18 23:15:32+02:00","Finnished fullscreen/immersive toggle
"
"db893ae91cbbcd24421642c3cba120e29f631562","2014-05-19 09:36:31+02:00","Merge branch 'master' of https://github.com/SMillerDev/AcDisplay
"
"b114266e9a8dc593f6a80c56c5d33ad5f4a2cb71","2014-05-19 10:28:06+02:00","Back to new build tools
"
"00bffd85b932dc596cbe3a6bea07b85ea861a0ec","2014-05-19 10:53:15+02:00","Categorizing the Interface settings.

It’s cluttered and hard to read now, this might fix that.
"
"2a105ec5ca6e58eae004c06e545b980244d8e30b","2014-05-19 16:40:36+03:00","Show Google Play public key while building
"
"8b3939fe9a78954bcd1c0c8b5c80d3d8b9a7e9c0","2014-05-19 16:42:26+03:00","Fix a command to build debug version
"
"b09835bb289cb76ba676e6444ef7ecd3abf3695f","2014-05-19 16:44:24+03:00","Note that you may want to put exports to .bashrc
"
"f2e25b9d84d703ae7506d6840ca91584275687a9","2014-05-19 17:32:31+03:00","Fix dynamic background does not work
"
"83c64062998ee107c4e6fb866833879d85d544c3","2014-05-19 16:43:37+02:00","Resize Icons
"
"de9350a402fa9dc3cbfc4dfcc00d6ee8e1160512","2014-05-19 16:46:52+02:00","Merge pull request #9 from AChep/master

Update with master
"
"ff7e65848c4d7ad68e21aa4af4cd1de588931dec","2014-05-19 18:04:05+03:00","Add placeholder methods for reading notification aloud
"
"964f97823d61b53358d72f37c71d52f5ac19dcbf","2014-05-19 18:44:06+03:00","Follow Android Studio's code inspector
"
"210edf8337e2405b142a09ce91a8f79983f4821c","2014-05-19 18:47:33+03:00","Merge pull request #13 from SMillerDev/master

Immersive/fullscreen toggle + icon resize (needs a refactoring!)
"
"b116faed496fb562be1e4caa038bd288fbc7e624","2014-05-21 22:47:37+03:00","Change link of full FAQ to Github
"
"e55a2400a49ed74d05261ac6428aea7456f08424","2014-05-24 14:20:35+02:00","Allow date format to be localized
"
"aeeb3f32633307033b2389108567ea870ddb6948","2014-05-27 19:07:24+03:00","Add freenode channel to README.md
"
"c17731f88630b47f474f0b102c8b5978a642df26","2014-06-01 23:42:26+02:00","Update FAQ.md
"
"72f02f662e441288b7215f51bdd415d067f05633","2014-06-02 09:42:51+03:00","Merge pull request #17 from SMillerDev/patch-1

Added Q about Xposed
"
"a9ffdbc3353a8501206bda56e55a1dfa4054b07e","2014-06-17 11:25:54+03:00","Merge pull request #14 from JulienMaille/master

Allow date format to be localized
"
"a86d634a6e03da6b62ac17db36f524a175cd7784","2014-06-19 12:32:59+03:00","Add empty faq.html for testing
"
"7acaa6b4ca69e6a2881189848c052f0d43f1fd1f","2014-06-20 18:13:45+03:00","Version 2.4
"
"11779cd955823899931d2fa72b002d975e7e8dd4","2014-06-20 21:04:46+03:00","Fix onWidgetDismiss() is not called.
"
"2837b7ab35b848e14a48581552d82fdb44e96977","2014-06-20 21:50:42+03:00","Fix screen goes off on dismiss one of two notifies
"
"0141f84f5671cdc79299f3e6ec66befce50a0b3d","2014-06-20 21:53:35+03:00","Fix possible issues with 'Screen off on last notify'
"
"98910105268aa13c85cf37a33275bc5575cac841","2014-06-20 22:51:45+03:00","Fix 'First tap on notification can dismiss it'
"
"4b180e4998dc9b408cc8ceb325c37e950936c358","2014-06-21 00:03:03+03:00","Add missing variable type
"
"0abe61e96f71c27d1fa2f186ec1fed023346f344","2014-06-21 00:08:50+03:00","Restart timeout on music widget btn press
"
"74af46450c9d808c74721c45f3cd1498ccbbe00e","2014-06-21 13:01:25+03:00","Clean-up AcDisplay widgets' base
"
"73f4c00798065bde04cfe75ab9547a67fc6a1aea","2014-06-21 17:41:09+03:00","Bring Downloader an ability to download multiple files
"
"23d1fdec4c6fd9bb59b27718709859e4cc57ac50","2014-06-21 17:42:02+03:00","Fetch FAQ from regional lang, if possible
"
"6d5412e7a2a681ae8709d1f759ad138ee8d05c70","2014-06-21 17:43:30+03:00","Pimp-up translations fetcher, move to Py3
"
"5fbe319d3006e9060db3a16f268a6ff7a7995f8f","2014-06-21 17:44:32+03:00","Rename 'localized' build to 'releaseFlavor'
"
"6fc6ef2627dd980f70ffaf92f14d3bf4eba933ed","2014-06-21 17:46:05+03:00","Auto-import translations
"
"e02371c97cebb3dd0f62f522b3223e3ad1d41783","2014-06-21 19:11:26+03:00","Add 'Keep config' in proguard rules
"
"662a9f62996f401019b35e16ca1aee65645e61c8","2014-06-21 23:06:54+03:00","Improve text getter and add action buttons for jb4.3
"
"77f59dadf9cfcff4715b6e512d22f05691c71f6f","2014-06-21 23:41:21+03:00","Add ignoring rules for proguard for compat hacks
"
"9b001ce26c10f4e746eea5449adc553d3a9567bb","2014-06-22 17:02:25+03:00","Fix proguard rules
"
"1ac87f6bd8c07044d7619331bedb1ca13123baf4","2014-06-22 17:07:51+03:00","Better messages for Config.Option exceptions
"
"bbd5ebb53b226dc23463d8de9aa18db6a1379f09","2014-06-22 18:36:46+03:00","Fix BathService sync issue
"
"695ec2124143e11c353b9212ef2c0692295b8471","2014-06-22 18:43:59+03:00","Fix missing attr, follow Android Studio code inspector
"
