"commit id","commit date","commit message"
"f52b81263d28f3bca58d7c3af4214e2de5f53b66","2011-04-07 11:20:31-05:00","Remove a Log.d(mark) that was hiding.
"
"3ebfdaa10c208c2782f991d9a053bac94817f58c","2011-04-14 17:40:04-05:00","Remove redundant Toast in CameraButtonReceiver that would ignore the relevant setting.
"
"3f246196b6462091a776d71aced14868725d08f3","2011-04-16 13:59:21-05:00","Remove old debug info code from the UI.
"
"cbb12629dcc58df2cf70a9599cb8b1ec9a099a10","2011-04-16 14:18:35-05:00","Fix a broken semicolon.
"
"ebd96fe947f6b2d643f6426d9423d11be1bc3e61","2011-04-16 16:39:08-05:00","Move a string literal out of AndroSSService.
"
"26d34e0598b921a2a7575f237d9510ae3c84fa2e","2011-04-16 16:39:53-05:00","Add a (More) Settings menu to the main activity and a DebugInfo activity beyond that.
"
"4c205afe251db62117f6a81f7bc9473869c8db3a","2011-04-16 17:00:38-05:00","Fix a crash if DebugInfo is accessed before AndroSSService.init() is called.
"
"8715f780c7097d076e03b11f108540e00b8e38ed","2011-04-26 23:04:45-05:00","Fix a bug that drops the first pixel on 16-bit color devices.
"
"7a2cca8ca1ca6a9c4efa7a9a1a1e629cc415cb0f","2011-04-27 20:58:52-05:00","Remove totally incorrect line. Why did I do this?
"
"5e44fcb1693b7e8a2764f1c520e38806f9e97c47","2011-05-02 19:46:06-05:00","Merge branch 'fix_16bit'
"
"3dc878bde80e503759ac212c5050603539b5ef46","2011-05-02 19:47:10-05:00","Release v0.2.2.
"
