"commit id","commit date","commit message"
"78938fe9e549ea96ba67fe876fa77ae98c804a4d","2012-02-06 23:09:06+00:00","first commit
"
"dfa8dba3d853c622f2b4b415e9c5fb011926df8f","2012-02-06 23:23:28+00:00","Making sure everything is in
"
"9da5b563d470fd73dc8c95c5dfb84b8eb19b07d1","2012-02-06 23:34:20+00:00","First commit
"
"6be3206b3600442021394c64881c85a55c78b8f9","2012-02-07 00:26:54+00:00","Commenting out unused code
"
"15c75a8ba6efbfd42bf9c7f22bd035394900acdb","2012-02-07 00:28:49+00:00","Commenting out unused code
"
"5937b4a23b94e2fc33766e27475225fea715b9e3","2012-02-07 00:41:50+00:00","Fixed merging
"
"494f7241185aaebe8997cc366268bc9997547cd3","2012-02-07 00:51:04+00:00","Fixed merging
"
"729e6a11bfcf2810c1448d61d0d8562326627bff","2012-02-09 00:06:51+00:00","Added initial String resource parsing
"
"a351d27420630ddac01d52c3d9e0633bda4ea845","2012-02-09 00:14:57+00:00","edited gitignore
"
"e4f603efe6da7e3cf8a711c19ec4a6d34476e7c1","2012-02-09 02:10:58+00:00","Structured resource types more
"
"708946247d9674265b7b106967e62b8419c8de34","2012-02-09 02:48:20+00:00","Added proper colour parsing and displaying
"
"6842b40655094d94137850bb466cab50ff08ebf5","2012-02-09 21:52:34+00:00","Fixed display of Strings
"
"528943f0c57383026d1ddf26ec53a9092008873e","2012-02-09 22:26:55+00:00","Fixed layout issues in 1.5
"
"db4c00d996af7567fc337d3d68d360d4453d7321","2012-02-09 22:31:13+00:00","Fixed project settings
"
"dcd5920622182f04adf4f997b42e5cd5e5a8f33c","2012-02-09 22:33:17+00:00","Fixed 512x512 icon
"
"d7a24d818f1160fdee36db2a7e320256114e7381","2012-02-10 00:10:23+00:00","Added support for com.android.internal.R
"
"cd44336d1c9d3dba5dcded5039f99ebe6e0270bb","2012-02-10 00:53:13+00:00","Cleanup
"
