"commit id","commit date","commit message"
"3d2df07114a96eccdf03a64adffcaf8b2d90ea53","2015-05-31 21:31:31+00:00","Switched analysis to branch development
"
"9afb9d9a9f526fdfd615daeed3ef45902b3f53d7","2015-05-31 21:33:52+00:00","Merge pull request #445 from SecUpwN/development

Switched CoverityScan analysis to branch development
"
"1abe8254cd746c66baa902f71a34222a909bc364","2015-06-01 10:15:55+02:00","Minor translation fixes
"
"dff609a56a8a64473b248d10f777017198f6ba4c","2015-06-01 10:17:26+02:00","Minor punctuation changes
"
"d7a9f64e3f4c1e288b0288299d32313273744d22","2015-06-01 11:46:08+02:00","Updated license header
"
"416f088d59562a6bd470e60d985bca8e33eea481","2015-06-01 12:32:29+02:00","Fixed deleted package name
"
"42e4a93278213d52a419b8109700d90de006f2a5","2015-06-02 11:56:44+02:00","added french translation
"
"088f6f109831e1ada358656ab0206ce070b6f62b","2015-06-02 12:24:12+02:00","added backslashes
"
"54d06121b91a678ae5cbb8651cc8a889f8d63a7a","2015-06-02 17:11:13+02:00","Removed voice SMS translation and updated class 0->type 0
"
"6b93245b5ad30a4c36b83d67c067a6859c4f2642","2015-06-04 09:10:14+02:00","Added leakanary memory leak detection to fix #443
"
"7501e1321b34c67145641885a590f7a8d868f684","2015-06-04 13:03:02+02:00","restaured Voicemail (MWI) french translations
"
"9bd38cea691327b34bc826c695b881fa1085f873","2015-06-04 22:08:30+02:00","Moved leakcanary dependencies to right build.gradle
"
"761d52cbbd2eafa9fdc44cb03d9f62fb499fdc86","2015-06-04 20:17:33+00:00","Updated SDK versions to make #443 work
"
"b0768d920b77e3bdf4afe002714a0a7c00c2394d","2015-06-05 15:40:57+00:00","Imported LeakCanary for #443
"
"259b169048d09943706e6796a5dc1e80af994b56","2015-06-05 16:00:58+00:00","Merge pull request #447 from gusfl/development

French translation (ready to merge)
"
"8a061dc9f18265ac550b3d80a2232e5fbd5208c7","2015-06-06 13:03:37+02:00","Merge remote-tracking branch 'upstream/development' into development

Conflicts:
app/src/main/java/com/SecUpwN/AIMSICD/AIMSICD.java
app/src/main/java/com/SecUpwN/AIMSICD/smsdetection/SmsDetector.java
"
"ba1784dbaac40a8b2ee6ae32e8dbb025be1e57dc","2015-06-07 18:34:59+00:00","Merge pull request #451 from ziem/development

Refactoring
"
"e235f884f2e0bc258da77b9c80492ad33386fa86","2015-06-07 19:44:38-05:00","Refactored AIMSICDDbAdapter::DbHelper#onCreate for easier reading
"
"c8e81516e5d609ac374c456cfe318bf046d2474d","2015-06-07 21:03:12-05:00","Refactor out redundant parsing from get OCID API request
"
"f3c9712a53c951003e1d3466274e2a75fde8f53d","2015-06-07 21:20:33-05:00","Merge remote-tracking branch 'upstream/development' into development
"
"ceaaca86be800315864275a30decbe9ef7ce8532","2015-06-07 23:23:01-05:00","Fix filename of CSV loaded in AIMSICDDbAdapter#updateOpenCellID
"
"455615b2336076e8587fdcb6f8e64f9d7b3a1bea","2015-06-08 12:52:48+00:00","Merge pull request #454 from marvinmarnold/development

Fixed bug #434 plus some refactoring
"
"558cfdfd458220ffa248e201328322f1aef27989","2015-06-08 12:52:56+00:00","Testing WIP-Internal v0.1.29-alpha-build-01
"
"64e17250e304769b13e4abdf10cf13a362677506","2015-06-09 11:29:53+02:00","Improved menu buttons for #450
"
"f2466d6768dd17e3c60feb17a7e9848a84fa5afa","2015-06-09 11:30:05+02:00","Testing WIP-Internal v0.1.29-alpha-build-02
"
"0a1f6a155d7563753ac1c50d2df3986e1508692e","2015-06-09 07:47:53+00:00","Added preceeding apostrophe to fix failing build
"
"6eab08ceafcde7ada4e50446012c49cf16b253fd","2015-06-09 14:21:31+00:00","Found bladeRF owner @ph0t0n for #459
"
"5b6ecadb610ea798da01d545e7f287a891cc0686","2015-06-09 21:28:17-05:00","Move hardcoding of OCDB download path to static variable
"
"f96d63698d3fca35a55985a27abfc5f6a532639e","2015-06-09 22:14:58-05:00","Refactor OCID CSV parsing. Truncate GPS coordinates
"
"aafa03e55f2a7d0736e94e95f7ea9b1b1f098a44","2015-06-10 10:07:56-05:00","Add back information log of OCID file path
"
"d2320342c22c09fa336227a4a0ab315e0a6a2e17","2015-06-10 10:08:51-05:00","Slightly better comments
"
"ea4f4f292d34cf334e4c5c860c86cfbc7704a2c8","2015-06-10 10:12:41-05:00","Undo LocationTable modification
"
"e207c0d6f7f2502e87524f83695cb0a5162b1636","2015-06-11 19:36:38-05:00","Bump version
"
"7267a96330eae0d1c6241ebbaed03451d4fd8df2","2015-06-12 16:56:23+08:00","Merge pull request #461 from marvinmarnold/development

Truncate GPS and make static reference to CSV path
"
"5b26e3bacde7c6067fc99ca271464f78aa2c4c94","2015-06-12 16:37:15+02:00","Fixes #464
"
"d356348fad0661fadc8cd9c94d1a6e977a8dd132","2015-06-13 02:51:43+02:00","Read OCID data from lacells.db too
"
"6040f1a24d9d3ece98b9f36349f2b16f82fd6aec","2015-06-13 12:09:13+08:00","Merge pull request #465 from ziem/development

WIN DEATH when using Advanced User Settings
"
"3c164755893feef03d5581ad2ed53db76f0b1b74","2015-06-13 13:52:54+00:00","Updated ServiceMode parser to fix #402
"
"16f04466d383c437909f9aa701b0316f0ca10000","2015-06-13 22:58:49+02:00","Create indexes on location
"
"a9d5e7f1cf02809935e8bd334e77a0031081c71c","2015-06-14 00:08:34+02:00","Limit cells on map to area shown
"
"13924b40a3ecd0a289b31585b1079a1a2c9f5125","2015-06-14 01:27:32+02:00","Fix compilation
"
"fee5136484644fb17cc602217b45085a52d961e7","2015-06-14 00:14:43+00:00","Merge pull request #468 from wvengen/feature/fix-compilation

Fix compilation
"
"ee81aca79fef62cab4d6578ce37f7a74e7539d06","2015-06-14 00:15:01+00:00","Merge pull request #467 from wvengen/feature/lacells

Read OCID cells from nogapps location too + map fix
"
"b1de4e29ff819132d5877cb661ea919ef4951b67","2015-06-15 22:58:19+02:00","Increased timeout of OCID download as suggested in #420
"
"ccc1251180fca2ee7391f01f66329778e41c79d5","2015-06-16 09:29:18+02:00","Updated tables to use Lat and Lng for #469
"
"8b59985d277291c48c3054c338ec8b10966fbc0d","2015-06-16 09:33:34+02:00","Testing WIP-Internal v0.1.29-alpha-build-04
"
"06c91859c3ef396374e5e2bff4b9357ddb49f88d","2015-06-16 15:07:22+02:00","Removed unused Femtocell Toggle code from #450
"
"8872e8c6e5031af555509c4724c18ef0bea9e069","2015-06-16 10:33:42-05:00","Tentative fix for #470
"
"055346a9d3ca87db1b70279d51886a2688f08ec8","2015-06-16 15:43:47+00:00","Merge pull request #474 from marvinmarnold/development

Tentative fix for #470
"
"e9af3f4bb311e657167b8f7d207efe463c54e505","2015-06-16 22:38:17+01:00","Remove Copyright string
"
"83ab9b25f14e178961c812bf63c56097b8c15239","2015-06-17 14:50:38+08:00","Merge pull request #476 from banjaxbanjo/patch-1

Remove Copyright string
"
"9b11a034c15826aae6d62a3e209ebcdc4e2c0ecf","2015-06-17 14:44:11+01:00","Removed unused imports
"
"c3c39a20f5d97baaeffe8cdcdc9184412f7f8d20","2015-06-17 15:56:22+01:00","Added logcatTimeStampParser

This will give back a nice friendly timestamp from a logcat string when using -v time.
"
"c62cb3d356e06c793ce08f50e90de09e6c12454a","2015-06-17 15:59:15+01:00","Added Function to check for timestamp

This will check for a timestamp in database and if we find this timestamp then we already detected the sms.
"
