"commit id","commit date","commit message"
"5396c057d287bf1d2e9f5c612c2c745994510eef","2016-03-15 14:50:01+01:00","fix the version naming again

close #781
"
"33de51b3dd1c6ee2533140d8b0862a533d607c53","2016-03-15 15:26:51+01:00","Merge remote-tracking branch 'origin/master' into feature/api22
"
"89a75739b6e53e242ca00b0cedeefc6136e8bd81","2016-03-15 15:27:08+01:00","Merge remote-tracking branch 'origin/development' into feature/api22
"
"5cb54e32e1f2e43908b6d9484544386314843a13","2016-03-15 15:56:30+01:00","use NotificationManagerCompat
"
"9cd579c2c9d541267a6c4ea3f8b2f792630f7973","2016-03-18 18:32:23+01:00","Translated using Weblate (Chinese (China))

Currently translated at 100% (0 of 0 strings)

Created new translation.
"
"56c0c87db46cc3829aeb1a0c8f0dd3151fe072d3","2016-03-18 22:02:26+01:00","gradle version 2.12
"
"882921542ad8aea8abbd197d5a6906cd307fa91f","2016-03-18 19:43:17+01:00","Translated using Weblate (Chinese (China))

Currently translated at 100.0% (303 of 303 strings)
"
"345358c44da77a268b48ff6cfee409ffab674a7f","2016-03-18 22:02:34+01:00","Merge remote-tracking branch 'origin/development' into development
"
"0899ce9681f523d83658a712004a5510281bb378","2016-03-20 14:20:15+01:00","test for buildozer
"
"2a02cdf3b3d3b3f4d9658a4d67e88168da4ea25d","2016-03-20 15:20:20+01:00","test for buildozer 2
"
"7e3d988c3215498add641df65f7d9034ad71ebc5","2016-03-20 15:25:38+01:00","test for buildozer 3
"
"b883dd1076c01197cc1dab4784a3e571b455acb6","2016-03-20 15:19:36+00:00","Update links to new organization CellularPrivacy
"
"076f0d5c5723299b20821232d0d5ab6c3f5cb1f1","2016-03-20 16:32:23+01:00","test for buildozer 4
"
"f20e88fbd054f57114707b8465133cb216d13ceb","2016-03-20 16:32:30+01:00","Merge branch 'development' of https://github.com/SecUpwN/Android-IMSI-Catcher-Detector into development
"
"96663c1f6871168afb000810d53f97978eeee758","2016-03-20 21:39:40+01:00","revert the buildozer tests
"
"78400ae3d3c7da79d0d593c62fefc74799f18213","2016-03-21 15:30:08+00:00","Merge pull request #818 from CellularPrivacy/feature/api22

Set targetSdk to 22 and use a white notification icon
"
"7881b9f5ba7d6ff522be4f270eca3efefd6486e4","2016-03-22 03:13:48+01:00","Update links to new organization CellularPrivacy
"
"8655ea30348aba8f13a4abd7e496ca92f9def670","2016-03-23 18:19:27+01:00","Fix #816
"
"70111db95f5000e838da7d7cbc9b21bb984b48ac","2016-03-25 02:16:36+00:00","Merge pull request #821 from mimi89999/development

Fix #816
"
"250aa4977b9c744f07bc96e1c54a0847239481ce","2016-03-25 14:56:23-04:00","Check current cell against OCID after download

This should fix #558.

Resolved issues:
- `CellTracker#setNotification()` always fires when `CellTracker#compareLac(CellLocation)` is called since recovering from a dangerous state should update the notification. Aka from MEDIUM to OK
- `RequestTask` provides a listener interface for completion callbacks so `Helpers#getOpenCellData(...)` fires OCID check on success
- Timeout for OCID download increased from default 10 seconds to 60 seconds, since the OCID API is slow as hell.
- If OCID API times out, we display that to the user as a special error message.

The listener callback interface is a bit crude, but is better than having RequestTask do too much.
"
"5599ce8258d0ca28f8ee4f9d8c022bc5e757ce71","2016-03-26 14:40:34-04:00","Merge pull request #823 from f3ndot/ocid-download-and-recheck-improvements

Check current cell against OCID after download

Fixes #558
"
"b0bf05d7aaf469af18329375c62e4c12a9c15c0f","2016-02-29 17:48:15+01:00","Translated using Weblate (Japanese)

Currently translated at 100.0% (304 of 304 strings)
"
"0d58dc406daafef44af68db6d43181129f2b505e","2016-02-29 18:50:03+01:00","Translated using Weblate (Vietnamese)

Currently translated at 100.0% (304 of 304 strings)
"
"95322196857e93ee6ca2b974b194954003519d22","2016-02-29 00:14:52+01:00","Translated using Weblate (Norwegian Bokmål)

Currently translated at 100.0% (304 of 304 strings)
"
"75072acb69d700b0e0702bbf8a42802719ec1ca0","2016-03-29 00:58:05+02:00","another test for buildozer
"
"736d9ed922567acdbbea87e6aa2af935bfb530d9","2016-03-27 01:24:21+01:00","Translated using Weblate (Simplified Chinese)

Currently translated at 100.0% (304 of 304 strings)
"
