"commit id","commit date","commit message"
"063b24ba14a904786bfe98d3614d4a0d79fab1a9","2014-01-26 12:59:45+01:00","Update with new StickyListHeader package name
"
"54aa54dc02d74be5f02ef0df3570ade9996b629b","2014-02-16 22:53:12+01:00","Switch to gradle
"
"d975cca7083ef94ede976b5e5aacb9d94dba7f67","2014-02-22 15:50:07+01:00","A shortcut can now be created for specific apps.
"
"1127e24927d2c56515721694b01e5a90aef6ae6c","2014-03-09 12:24:56+01:00","Remove potential NPE
"
"95f081a857e1f63f26d52f2f1d12f934c7d6b17b","2014-03-09 14:41:04+01:00","New POJOs to implement backup and restore functions
"
"f2b1d2b9bb5b98ebf8af6104294f31197a3ad518","2014-03-09 15:32:09+01:00","Fix menu items order.
Fix application theme.
Update overflow icon color to match
"
"99743cbc4fc29e803b47ad9d2066a3229411ffdd","2014-03-09 20:32:23+01:00","File is now copied on internal storage in private mode.
Restore menu item is only displayed if there is at least one backup.
"
"98d4611621e36e72d6cf4c54754dcc106a374707","2014-03-09 23:01:51+01:00","Display a dialog to pick a backup
"
"66eeb96af8b00484f7aff51fc16cd92f2a57b29e","2014-03-09 23:04:00+01:00","Add missing resources
"
"8207c2af3b5bc84ef9f3bb3bfac8f2b25d8a852f","2014-03-16 15:19:16+01:00","Fix xxhdpi resource
"
"6569f0eb39e0dece74c041ba78360d1896404ead","2014-03-16 17:37:03+01:00","Preferences can be restored and deleted
"
"2797ee34f113b29af951946f079d14dd05c26b77","2014-03-16 18:42:35+01:00","Merge pull request #6 from SimonMarquis/backup_and_restore

Backup and restore
"
"d17fd536dd1bfe616386dd39becd30a5013e18c4","2014-03-16 23:18:16+01:00","Cleanup :sparkles:
"
"a77dd22589fd8dec4ceec28abea56601527d7ccb","2014-03-16 23:57:47+01:00","RestoreDialogFragment is now dismissed when there is no more backup
"
"38c9e62f507ea0834a87526ef5fc59195bf960f7","2014-03-17 23:00:40+01:00","Prevent backup loss when Activity gets killed.
Remove useless support* methods.
"
"c7ca11542cd6add03193b670bdc24c49b47b853b","2014-03-17 23:01:44+01:00","Update GridView to take advantage of clipToPadding attribute
"
"db911daa6ec1e6887aefc70d124cecb9f157b708","2014-03-17 23:10:41+01:00","Cleanup code
"
"f7ebd60e59d45301efa4a9b98b54d20343b7d028","2014-03-17 23:13:01+01:00","Fix: notify data has changed when adding/removing a preference
"
"418411ba851765ec6e9e9f4064c50b360a6021e4","2014-03-18 22:02:38+01:00","Fix: Issue with checkableBehavior attribute.
Improvements: Layout of FileEditorActivity and PreferenceFragment.
"
"a1f07378be0c022734843233a20e0b361e2f3ac6","2014-04-05 18:41:40+02:00","Update Resources
"
"63d87400024b0c1d3c2ecd4fa3b1686c9b746027","2014-04-05 18:53:03+02:00","Fix resized pictures resolution
"
"52d36589aaa681df236c00577d81867aadac0b56","2014-04-05 19:03:43+02:00","Fix constructor access level
"
"269f112039ecedfc86eb09d55cce51a398fb2576","2014-04-05 23:46:26+02:00","Fix: Issue with Activity being destroyed
"
