"commit id","commit date","commit message"
"f6e5a82134218af0dc72131341b413d26a596bf7","2013-12-23 19:30:22+01:00","Reworked tablet layout.
"
"c2c080418d4314d131ef120abbc90e54c856b2b0","2013-12-23 19:38:31+01:00","Minor layout improvement in donate fragment.
"
"3d7d762c0d266a612dc07e9a08f3a12edbedc0d0","2014-02-07 14:16:07+01:00","Remove 20 character limit in ConnectDialog.
"
"808d9f6aa0b08b6126de4a3e4eda1b39fcdad8a9","2014-02-07 14:19:43+01:00","Fix NumberFormatException in settings.
"
"0229acab23e90fb410cf394fe7c86c314bf3e8b4","2014-02-10 07:26:34+00:00","Added user preference to keep screen on.

Fixes issue #48.
"
"44ee25f1f66ab4fef287b1b76f84ec924fec665c","2014-02-11 09:22:57+00:00","Keep screen on preference no longer requires restart and only works whilst connected to Clementine.
"
"ea9ce8b5f7805ca62b74f6f438816675ddede812","2014-02-11 11:47:33+01:00","Merge pull request #49 from CalumMcCall/master

Added user preference to keep screen on.
"
"ece1c52e7f2b57b45708261802d69e3ca57eca9e","2014-02-18 12:20:27+00:00","Added option to change the increment by which the volume is changed, fixing issue #32.
"
"3f763aec0dddcb83ef9d009db7138d757a83602a","2014-02-18 18:22:02+00:00","Fixed some incorrect indentation.
"
"eefab9f72c1c4ce37ad33200ebb4d1d3ffbb1a06","2014-02-19 15:30:06+00:00","Fixed inconsistent brackets.
"
"63455d5503afd9fe4123d68a619bfed29885feb8","2014-02-19 15:46:44+00:00","Fixed else on wrong line.
"
"ed26e6414b42b1c2931b31ebf3580b53804fa789","2014-02-19 16:55:05+01:00","Merge pull request #52 from CalumMcCall/master

Added option to change the increment by which the volume is changed, fix...
"
"44c6dc8e401627a893b1141ccacb44ef16c0a37a","2014-02-19 17:46:02+00:00","Fixed numerous warnings generated by Java and Lint.

Added baselineAligned option to main_activity.xml as suggested by Lint to increase performance.
Fixed spelling error in values-de/strings.xml (this maybe should be done on transifex?)
Removed several unused strings from values/strings.xml
Added suppression for Lint warning to ClementineExceptionHandler.java since hard-coding the date here is fine for debugging purposes.
Removed unused imports from ClementineLibraryDownloader.java, ConnectDialog.java and Security.java
Added warning suppression to ClementineSettings.java since deprecated methods will be removed during later refactoring.
Added locale-specific method calls to FileDialog.java to fix potential locale-specific bugs.
Added serialVersionUID to IabException.java to remove java warning about serializable interfaces.
"
"f36c0514ec94d67f3102c9a455e055fb10e77e23","2014-02-19 20:12:21+01:00","Merge pull request #53 from CalumMcCall/master

Fixed numerous warnings generated by Java and Lint.
"
"ca04c5287d4a6aec779b8f155f47321f035c544a","2014-02-20 13:17:03+01:00","Automatic merge of translations from Transifex (https://www.transifex.com/projects/p/clementine-remote/resource/clementine-remote)
"
"3b603d74b272cddd33feb65c66e3d59b35c1c24f","2014-02-20 15:30:33+01:00","Automatic merge of translations from Transifex (https://www.transifex.com/projects/p/clementine-remote/resource/clementine-remote)
"
"51c16a47e1ef859a1b1790451f377a48128f762c","2014-02-20 15:32:17+01:00","Automatic merge of translations from Transifex (https://www.transifex.com/projects/p/clementine-remote/resource/clementine-remote)
"
"53fbbde15b84110797b6b455e9c07dee3d80c7b6","2014-02-20 15:33:05+01:00","Remote pt_BR strings as android cannot handle them.
"
"24925e7e4f200d6fa93a228d69feb688daf901ca","2014-02-20 15:36:46+01:00","Fix crash in Downloads Fragment when Timer object wasn't present.
"
"938f69f994c5469c8c178543b84a359216d4f4f1","2014-02-21 21:03:11+01:00","Reworked Playlist handling:
- Contextual menu (more holo like)
- Internal handling reworked.

TODO: Other icons for ActionMode
"
"f9acff8e11813833175b53910a5a3f6a52ffbbdc","2014-02-22 13:45:44+01:00","changed translation.
"
"5391dccb9b58017e4fbb2577459b0d0bfe2f493b","2014-02-22 14:27:33+01:00","- CAB for library fragment (Android 3.0+).
- Icons for context menu.
- Active drawer menu item is highlighted now.
"
"4eb93c5261168047f441c8422aa037790f728772","2014-02-22 16:56:55+01:00","Add history of connected ips. Fixes #34.
"
"f4afbe47bcc29598bd252cd448e27e2f9833a13f","2014-02-22 17:06:58+01:00","Update menu item in main activity correctly.
"
"5b591b748f5e6f2d922aea5823df827ab4b578f9","2014-02-22 17:42:09+01:00","Fix nullpointer in downloads fragment.
"
"4c0e12def2f4fbc31610ce2c244525698c7c72d5","2014-02-24 10:00:13+01:00","Automatic merge of translations from Transifex (https://www.transifex.com/projects/p/clementine-remote/resource/clementine-remote)
"
"5bf5229f7a296ef36a98c4e2b0a9ee5e17a6b4da","2014-02-25 13:14:43+01:00","- Player notification has now high priority. Fixes #56.
- Lint warings for notification levels are now fixed.
"
"8a8c12b737d0119d8d57951a1f2a3361440d4a98","2014-02-25 13:15:32+01:00","Merge branch 'master' of https://github.com/clementine-player/Android-Remote
"
"90d63d25d18c082d80c73b18504f7476529ccc1c","2014-02-25 13:33:02+01:00","Move playlist spinner in ActionBar and remove 2nd row. Fixes #62.
"
"df90ca5c2cdd6669d814c54676bacf2d155348c8","2014-02-25 13:55:21+01:00","Fix ActionBar navigationmode.
"
"3fcfe0507fd4d62aa59c7849b67f5776ab80fc46","2014-02-26 22:22:17+01:00","Gradle build file + protobuf jar for IntelliJ
"
