"commit id","commit date","commit message"
"716e81ea891caace043d7014e43ee798f1b3a332","2015-01-01 22:45:45+03:00","Fix map was not redrawn on map object change
"
"e985f432dfcf1f9572e76ae4735a47cf553882b1","2015-01-02 00:47:19+03:00","Fix crash on coordinates received, add material design
"
"bff4c5331b86035f516eae572195abba4cf8c8ab","2015-01-02 00:49:29+03:00","Rename layout
"
"bd0df49a7e407c62634622f2018df17eadbd35f1","2015-01-02 13:44:04+03:00","Use constants
"
"8e51286c6ba0411923954bcf43792a29727dc7d2","2015-01-04 14:31:19+03:00","Add material dialog style for activities
"
"acf95d0d986de7e648b7e8aa8e87e846d40ca876","2015-01-04 15:12:40+03:00","Clean unused staff
"
"e054bcfcb8987cfd928712b9634675a1e49106cd","2015-01-05 00:54:39+03:00","Better styles
"
"4961ad1219bbc26ee53ee37ebee4fad23b3e0c5a","2015-01-05 00:55:00+03:00","Support for new markers in plugins
"
"0ee65ed95a69e89b8b3b8cc6a32b456c48d46d11","2015-01-07 14:07:13+03:00","Add support for MGRS and UPS coordinates
"
"d43b492180d2f3ed048f683bf66ceac821a0e3d9","2015-01-08 00:31:15+03:00","Add support for editing MGRS and UPS coordinates
"
"b98e23c5e0d7a10e0653470b17166c371b82cb95","2015-01-08 01:15:38+03:00","Show all coordinate formats in location info
"
"a8f62b5cac388ebfbd8a22558c50e6e17c255b96","2015-01-08 01:44:54+03:00","Loop through coordinate formats on coordinates click
"
"eac9e93e59a23cc0a2ed4c9e290861fab9fe73d7","2015-01-12 14:33:16+03:00","Add support for NATO mils, Soviet mils and grads
"
"e6ba21d5c6f524762aa1d0609f368f2856dd4f03","2015-01-12 17:01:44+03:00","Add dependencies
"
"98850a6b8176c139458ae841bfeeba1b923ef69b","2015-01-13 10:52:35+03:00","Update translations
"
"72d546fa337ca102c2a468b558139e422ae18083","2015-01-13 11:12:09+03:00","Fix Turkish translation
"
"ee3afa3153a7650b652bdb385439c1103d62b598","2015-01-13 12:17:49+03:00","Add image
"
"5aef6d33fdafaf8af5e839f7ee6c099e55212e97","2015-01-13 12:18:22+03:00","Fix crash on out of scope bounds
"
"156f32e1c136347e9bdf8347c571cf6cafbc1ef5","2015-01-13 12:20:13+03:00","Fix crash on application close
"
"a1c63f154284abbc1dcb35500b9ea5b57824f329","2015-01-13 12:30:15+03:00","Version 2.0.5
"
