"commit id","commit date","commit message"
"d899cbc8803c80200ae8a1c98ca87d3717c91b0c","2013-01-03 13:02:54+01:00","fixed catalan localization
"
"6c275b8b69220949df3b625415dd5403a75087fe","2013-01-03 14:09:40+01:00","change icons back to blue
"
"f4ac67379d4e6cc24a5f7b825eac03b7300a8bdb","2013-01-03 14:15:03+01:00","add icon svg
"
"d0b874891afe0a2209d0fe44330a0902fe8fe9fe","2013-01-03 16:05:39+01:00","version 31
"
"4ef55794163d15902462e48c4ba6cbf29fdba533","2013-01-04 16:54:30+01:00","fix importing bug (models where wrongly recognized as being corrupt)
"
"af49852c954b2bc115ec3476b5785004115d3d36","2013-01-05 10:52:43+01:00","fix for bug 3640075
"
"449b724cf8ec66d1258f13699f3ead9c506a2a0f","2013-01-05 13:07:52-08:00","Merge pull request #6 from flerda/v2.0.1-merge

Change back to beta
"
"35f1c1f90ebafa36035814c35f3292b9fb5d08a1","2013-01-05 13:09:55-08:00","Merge pull request #7 from flerda/v2.0.1-merge

Fix importing bug
"
"1faa5059f12dc3df89ac25550565b3cfda91a6a2","2013-01-05 13:16:58-08:00","Merge pull request #8 from flerda/v2.0.1-merge

fix for bug 3640075
"
"83cd0f250165ca349edb41935f6ce5e97bc8c2e0","2013-01-06 11:42:29+01:00","change icons to red → beta version
Revert 'change icons back to blue'

This reverts commit 6c275b8b69220949df3b625415dd5403a75087fe.
"
"66050209e54576bc46365bc1b6d91c30b2d70179","2013-01-06 11:49:49+01:00","adapt newfeatures
"
"211b3654ba29f88e6ec764c28bc639e7b626d9a0","2013-01-06 11:49:59+01:00","bump version 2.0.1beta1
"
"ebd94295f15aa8a6772cbfe385c6f160fcd5f047","2013-01-05 13:07:52-08:00","Merge pull request #6 from flerda/v2.0.1-merge

Change assets for release.
"
"75c580574c0c82a29f30950035ad208f838dffff","2013-01-05 13:09:55-08:00","Merge pull request #7 from flerda/v2.0.1-merge

Fix importing bug

# By nobnago
# Via nobnago
* commit '4ef55794163d15902462e48c4ba6cbf29fdba533':
fix importing bug (models where wrongly recognized as being corrupt)
"
"062b6a04a4323cbab2d097b5a26d04966bbf9e1a","2013-01-05 13:16:58-08:00","Merge pull request #8 from flerda/v2.0.1-merge

fix for bug 3640075

# By nobnago
# Via nobnago
* commit 'af49852c954b2bc115ec3476b5785004115d3d36':
fix for bug 3640075
"
"a20db0cb03127d184f317ea2ee96248c133caccd","2013-01-05 23:34:24+00:00","Remove undo menu from card browser.

It is currently not implement and it will just not do anything when
pressed.
"
"6b00502dffcd59ba5010ff2843a0d5f07f322680","2013-01-05 22:19:34+00:00","Remove change fields menu item.

This feature was not included in 2.0 and right now it just adds a menu
item that does not do anything.

Remove it entirely instead and mark the commented out code so that it is
easier to pick this up later.
"
"8de472afc264db17c17ac93e662f292645ea0c27","2013-01-06 09:35:04-08:00","Merge pull request #11 from nobnago/android_market_2.0

Update 2.0.1 branch with next beta.
"
"2828a5f6e926f153833f12fb53ef91215e1a7b72","2013-01-06 18:37:03+01:00","Uncomment logs for alphas/betas of 2.0.1
"
