"commit id","commit date","commit message"
"53ecad3a478ef05eb541add3340005726b43e3f9","2015-08-26 17:21:28-04:00","updating build tools, libraries and depracted code
"
"512fe94c11345d1ffc3aa28df49dd722b7cd3435","2015-08-26 17:24:07-04:00","updating change-log
"
"0f5d6567a05814e825696169a8c879ecdee0b59b","2015-08-30 21:03:13-04:00","avoiding issue #498. Item may have already removed from list.
"
"a0d9888fa0af466ed51005127e8f8b78450db5d0","2015-08-30 21:39:30-04:00","getting around a weird SecurityException. Issue #499
"
"bf5e7371aed7283df496d2786b14d8beafabead5","2015-08-30 21:41:34-04:00","updating API levels for all libs
"
"ac0b59ae569a08a06b04a05ea5da7541a93503ce","2015-08-30 21:46:35-04:00","updated change log for the crashes
"
"47c378ce311f68f8f36df5c7b853ec2aafb0d7b0","2015-09-01 05:24:15-04:00","native dictionary should handle both upper and lower cases. Issue #497.
"
"20f5f402bb8acc5accc623520a59d100eba9f4b3","2015-09-01 05:26:16-04:00","change-log for issue #497
"
"761c2496f522833e23fdb0fd22e09f88823219a7","2015-09-01 06:48:15-04:00","small optimization to the valid-word detection
"
"388b6b11db2b0666ce395c153429fbd9dc1aac35","2015-09-01 06:49:04-04:00","very small optimization to the Suggest flow
"
"00f74d5132c7d5d58222d886dd3bff0ce6be04dd","2015-09-01 06:54:57-04:00","removing duplicates to typed word in Suggestions
"
"ec6a8571d47e4bccbe69e3edc0bc95bf531037f8","2015-09-01 10:32:28-04:00","fixing new lint errors
"
"fb35ae3be49bac6fe7b7e0b0c8733b976e78bb67","2015-09-01 10:37:44-04:00","a small UI fix for the Search-Addons pref
"
"baa6bc97bad29cb8c287f06d7d3aefeaa77fecf6","2015-09-01 11:26:53-04:00","fixing some lint warnings
"
"7a226e090a27589d5a1e9e42ff65bc55b00ec250","2015-09-01 13:03:27-04:00","fixing an index issue when deleting a duplicate while there are more suggestions
"
"9a97bc19bbed42a0e89e2d384e89385b8b718b10","2015-09-01 13:20:47-04:00","reverting a bit of the Suggest optimization done a few commits before
"
"a94ffc7f92e45b3edbf181cf2ebeef856a427590","2015-09-01 13:28:32-04:00","making code readable
"
"d4c64f698eee1dbcc74394761c42d6db0415107c","2015-09-04 04:51:53-04:00","updating frankrobot and proguard
"
"c5dbee5c6264c3fc9737b1d92abb095e9a7cf96b","2015-09-04 06:26:39-04:00","updating API lib with latest support lib
"
