"commit id","commit date","commit message"
"ce40a4b990a2816df68925f048c2d30b04c90ead","2016-05-18 23:39:25-04:00","supporting subtypes and locale. Might fix #652
"
"2e0cb056afbd1cd6f39e6d75ca52a281919baaa7","2016-05-19 13:06:12-04:00","DEPLOY-CANARY: not switching keyboard if new-subtype is the same as current. #652
"
"a4c791f04642edb8bbaf26d5b086a6d7c7f6ac0d","2016-05-19 13:20:24-04:00","DEPLOY-CANARY: change-log for 1.8
"
"69eb589d8aa0f1d454913966c5a47e80463ef8e1","2016-05-24 00:24:00-04:00","AnySoftKeyboardKeyboardSwitchingTest should extends base-test
"
"54119142cdfa816367a7b3401f8238aa801991e5","2016-05-31 11:32:49-04:00","adding unit-tests for subtypes, and fixing multi-subtypes-reports. #652
"
"d8af6fd293f0d2dff87c9c45da92c0df11ac55dd","2016-05-31 13:43:42-04:00","introducing demo-keyboard-view. #658
"
"f015dc893eca39c595bb05f5f9ed71e7e9458f83","2016-06-01 00:51:48+02:00","extracting palette data from demo keyboard view. #658
"
"276bd31628af885d86014250bc6762e38df2b712","2016-06-01 01:04:17+02:00","setting max-keyboard-view correctly. #658
"
"70d4b7575364aeb9f665b8d7e6aa9c3e32ab0ce5","2016-06-01 01:38:00+02:00","correctly setting keyboard-view paddings
"
"fb0629008f445704f10bdce75a624f0631d541c1","2016-06-01 01:51:41+02:00","bumping support library
"
"3487f49f6bd8c3079d060bfa744fd0c08000906c","2016-06-01 23:19:43+02:00","removing Not-An-App text, it's useless.
"
"ca83c5d4305a8c3b6db56d9aad30dfafdbbd8b81","2016-06-01 23:21:19+02:00","script to start an emulator from command-line
"
"f4b549da6e156931c1530263b1127ca02cffa0c2","2016-06-01 23:30:11+02:00","adding shadow behind demo-keyboard-view. #658
"
"1f0271c00bfce58a091b326034bba29c49967422","2016-06-01 23:43:40+02:00","updating change-log for demo-keyboard-view
"
"4d901a196068742206db411ad929b7cc41a9f951","2016-06-01 23:49:43+02:00","updating DE, MY, SL strings. #659
"
"07d205c0f6d364027e2a034827d94e0c5eae973d","2016-06-02 00:04:16+02:00","DEPLOY-CANARY: fixing NPE due to inner-fragment not attached. #660
"
"a8c593bd84d86f9fdbba8ab61f4ee760d6c1985f","2016-06-03 08:19:35+02:00","DEPLOY-CANARY: removing extra translations
"
"9983917e4cfbde56cca413a9d75971c63dd79e18","2016-06-04 19:43:25+02:00","converting Theme selector to use the new keyboard-add-on browser. #658
"
"6a8c498141318b1d66c49ed16a3c1b10ded69279","2016-06-04 20:07:17+02:00","converting language selection to use the new add-on browser. #658
"
"8b6808d2acc7ba86cc88e051fe455e9f9c262298","2016-06-04 20:13:37+02:00","some NPE protection when create-view was not called
"
"2140c65c4db52fd5878b0b34d29c74deb0b55c15","2016-06-06 12:35:27-04:00","updating languages to use the new Demo-Keyboard previews
"
"75c4262084f9495390dd0b3f3845916f19adfd84","2016-06-06 12:35:39-04:00","updating build tools
"
"dd3c94ff43dafd400a6b13bc2ae66d4c7789192e","2016-06-06 12:36:56-04:00","change-logs update
"
"8c0040cf83a4b9ab782bf01b21c653f3f740b426","2016-06-06 12:45:47-04:00","removing unused addon-selector UI components. #658
"
"f34c2f811da18b9d47f40abc6617f3e47b5ae86b","2016-06-06 13:06:48-04:00","removing extesion-keyboard from settings (there is only one type). #658
"
"394fa10b1ceee1fc0457fe8482ddbfd7c605fdec","2016-06-06 14:04:42-04:00","support for top/bottom row keyboard-preview. #658
"
"eaa8bbe16d6eda893c393cc6fc2d8e1cd22a9e7c","2016-06-06 14:44:15-04:00","removing IconHolder and ScreenshotHolder. #658
"
"ca31b1070fc141c99852d736a2ec5676e049b99a","2016-06-06 14:53:14-04:00","DEPLOY-CANARY: Removing unused screenshot files. #658
"
"f10830970b633d6706c018ff79e1b910d241153c","2016-06-06 15:23:57-04:00","DEPLOY-CANARY: fixing unit tests related to screenshots
"
"b47cd4e1f4645957b15c09feba94e8441891fb4e","2016-06-06 22:45:20-04:00","fixing NPE when UI keyboard has not yet created, but physical key pressed
"
"d462d8b100431bb3d29d43082f1d5dfb6eac906e","2016-06-07 23:20:57-04:00","new icon (trying out) #632
"
"f3d82ad8fb8b5c49fd279fc66f78c504214bfe72","2016-06-07 23:28:48-04:00","optimizing image files
"
"67c9b9307dba2b05bb453b073403cefd652817d0","2016-06-07 23:30:49-04:00","DEPLOY-CANARY: update to change-log about launcher icon
"
"7066bfe705b8f60085088b3eec60e4ccebacc4c1","2016-06-08 22:43:52-04:00","DEPLOY-RELEASE: updated laucher icon
"
