"commit id","commit date","commit message"
"6981e353d8f4251fa34dc3a422182e64b0659e9f","2015-05-08 11:07:43-04:00","Merge branch 'v1.4_r2_work'
"
"0812a550628b17dac83e675b68f8740c443eebea","2015-05-08 11:21:12-04:00","another fine-tuning to the animation. #440
"
"8b162c7e4579ab4e850990fb2701e3e80d5aaf60","2015-05-08 14:34:11-04:00","removing redundant code
"
"34721ef04f5e8622277828951f080495e3b0e8d8","2015-05-08 14:44:50-04:00","small changes in the animation duration. #440
"
"d826c615a56c74c175d3b3785fb8e0ea23754b40","2015-05-08 14:45:29-04:00","not showing preview for functional keys. #440
"
"05d162f1ffc2efa41fbad14095857361d8496e89","2015-05-09 21:57:47-04:00","minor fixes to popup calculation. #440
"
"35839348c592d7795fed3adf8b068f12b99525db","2015-05-10 21:04:26-04:00","supporting List popups, and creating initial Recent addon. Issue #406
"
"c7db57aa61e3f4dea6ee1d22f35334230069f58a","2015-05-10 22:01:29-04:00","intercepting onText. #406
"
"fc03f40e2edff685fc6415a3de3e16c102914521","2015-05-10 22:35:13-04:00","renaming Recent to History, and adding config setting to start with History. #406
"
"e1b4b5d9a23b4d2e12824688c705e0c088e397fb","2015-05-10 23:37:41-04:00","storing history to disk. #406
"
"e145bf0105ac132b4e522b7f1be2f0599a61a32a","2015-05-11 12:29:34-04:00","History tab text size should be double. #406
"
"23de323d1d6c30b27b5f11e9632c2f8ded551c28","2015-05-11 12:40:24-04:00","supporting external List-QuickText addons.
"
"b8469380b249ebf9d11bc3ce57fd29506ebbf9a0","2015-05-11 12:50:43-04:00","updating changelog
"
"3947ebd7ccd34b87301574b9403cb40d9d24a6e8","2015-05-11 13:40:11-04:00","next release will be v1.5
"
"998961bb74f9657a6ab7c1979c99f22e2016a17f","2015-05-11 13:40:51-04:00","trying a fix for #446 and #438
"
"231296e032dd44526984f3f6b549dea4c0eed68c","2015-05-11 13:45:48-04:00","resetting previous emoji settings, to support History. #406
"
"b3a8a8867ea834ed87b33f536ef51cf6ab58b9b9","2015-05-13 10:24:24-04:00","removing dismiss messages for re-activated popups. #440
"
"cc7377f949964682cb8493940ae68b4a1d38dae4","2015-05-13 20:18:08-04:00","adding list-quick-text support to the changelog
"
"e7b94ffeacf49d5cdbbef731f2306c3b4f6ecc84","2015-05-13 22:12:56-04:00","supporting preview popup above keyboard location. #440
"
"d4b853a5f60f31a74326b06ed90c1bc08cf99d9b","2015-05-14 17:14:45-04:00","allowing popup-windows to be drawn outside their parent. For Lollipop API 22
"
"cfb7b3220304e7d74734f14d39ea89655d1427a9","2015-05-14 22:43:44-04:00","localization update. #459
"
"aed6a19096dc644e2e98a371926a065773aeddfa","2015-05-14 23:13:09-04:00","removing redundant file
"
"717809cf50e7b2729872a6251a9a50af6c4d99dd","2015-05-14 23:15:29-04:00","ignoring broken Robolectric v3 tests
"
