"commit id","commit date","commit message"
"0051c5289f4430ce80108336914657a3e5c17625","2014-12-23 13:45:17-05:00","adding emoji info to changelog

Change-Id: Id8b5d02ca0888ea1b63f64cf3f55fa290a6586b4
"
"5b183b505e32b2bb26918dcbc108e9d63b3f7c2f","2014-12-23 13:50:54-05:00","starting to work on v129

Change-Id: Ie5891dd78a8531843e002c480d6acb2f80c5d72d
"
"c9c86f8d11981da7394572433a549e95cf89de6d","2014-12-23 16:28:35-05:00","fixing OOM retry mechanism

Change-Id: I26d20bdb49b7f530bca6fcee17a0e9232bc25bbb
"
"3ae8c4d293225710dddb1b9d58a4514be84f725d","2014-12-30 23:14:30-05:00","Setting up a few tricks for ProGuard

Change-Id: Ia2d11b88548f3c6322fc4c950521a4e6f2f525fc
"
"c61be0b22a739687cdaf5ddcf08fad87d7fbe034","2014-12-31 14:28:10-05:00","fix for issue #331. Correctly calculating space now

Change-Id: Iadeb4a7230a425930ad3c78bdff2fb3ee3223434
"
"3f89e37c762c72923cb914aa6c6b3d3c6b19ecc9","2014-12-31 14:43:36-05:00","fixing PreferenceFragment so it interact with the UI at the right state. Issue #373

Change-Id: Ia3b5a83310e7903be4c02f651d37936a68e4645d
"
"131369fc939b4b21c18a39afe6009e8c146dadaa","2014-12-31 14:58:42-05:00","disabling ProGuard for the moment

Change-Id: I7a851e5bfe7894072e22fab6a71c978aec81be65
"
"33768d8f90a81779d4d5c2346e28fef43abf8a49","2014-12-31 15:11:47-05:00","fix for issue #331. Now correctly handling Ask-Settings values and defaults

Change-Id: Iad041a2f5450ce6834b9236a344be988657220f0
"
"e4aa1537256d061da73f6e1e094ebd791b779db6","2014-12-31 16:59:32-05:00","fixing the stickyness of CONTROL. Issue #374

Change-Id: Ifba1d1b2ae4709d00c7788d480fc35fb9fd12627
"
"abc8d7a8f4063336af96de1f3eb5eaecdb76eff0","2014-12-31 20:37:34-05:00","more changes to fix #374: marking CONTROL as non-locked modifier, and better handling of consumed state

Change-Id: I0971e5e10a2c223450df4430408e563b24c47835
"
"d5d30ac89844888e1e079c7629cea7cb0530c8bb","2014-12-31 20:40:30-05:00","adding stuff to v129 change-log layout file

Change-Id: If2c252b485f351595b834d26a397c02775473b6d
"
"015448a02d8dd02ae47a6b57a69de281d11b2a14","2015-01-01 22:33:18-05:00","Refactor of Voice Input: Using Google's Voice-Input lib. Issue #375

Change-Id: I9e1745ca314008e7589e762cdfe6ae69861c1880
"
"8be555a9b343eb7d800da85cdc124e05444fdb92","2015-01-02 21:23:55-05:00","preparing to release v129

Change-Id: I3a5378709c44d668b0f6ab5c389681901e558993
"
"8fadf20231ebb8af84d2ec8802b00a3bb2e6ae66","2015-01-02 22:04:54-05:00","adding missing jar file. Google Voice Typing

Change-Id: Ida1d71b91c352bf83c72dbd77ae9f938018c1d11
"
