"commit id","commit date","commit message"
"73352ff70daf2b94fdbaad8ba8bd3633ed5a3ac9","2014-07-09 11:58:27-07:00","Gradle Fixes

Some small fixes to allow Gradle to work. Google released v20 and 21 of
the support library, and as we were not forcing a specific version, it
was choosing the newest. This caused issues with Crouton and also SDK
versioning. Force support library 19 to avoid the error. Additionally,
update the version of Crouton to pull in some bug fixes from it.
"
"69439d23054c68d7695b656349366c570c1a2f95","2014-06-28 17:06:55+02:00","Rewrite (IGF & Detailview & SearchActivity) + Remove (ABS & SND) + Added (HEW)
"
"cff561db123183bfd76111b29095ee6663f0fe52","2014-07-11 12:48:25-07:00","Merge pull request #174 from ratan12/User_Interface

Major UI Changes

Convert to using Support Library where possible, removing unused
libraries like ActionBarSherlock, SherlockNavDrawer, and the
numberpicker backport. Use Holo Everywhere for UI consistency.
"
"4f5e13cdcfe3b2be8acb7b9329e0b21a572320f0","2014-07-12 16:11:45+02:00","Fix actionbar title android 2.2 & 2.3 (Detailview)
"
"27a1bca0dce384c3710105eed2ae1af778d63b8e","2014-07-12 16:30:11+02:00","Fix Horizontal lines in (EPDF -> Detailview)
"
"6ba8582c0b64ed2fd02253034477511038b86044","2014-06-17 20:04:44+02:00","Unify Anime/MangaNetworkTask callback interface

The callback functions always contain the same logic for Anime and
Manga, so they can be unified in on function. This removes some
duplicated code and avoids repetitions if something needs to be changed
in the callbacks.
So now there is only one callback for Anime/MangaNetworkTask:
onNetworkTaskFinished, without type separation. To determine the list
type the function has the additional ListType parameter 'type'.
"
"8b6e4c8d10ea56b40afef62756cc2bcb5c489750","2014-07-14 20:01:54-07:00","Merge pull request #185 from ratan12/Fix_episode_picker

Fix Horizontal lines in (EPDF -> Detailview)
"
"d6c44f890661970ec480595ec50f2e445df3caee","2014-07-14 20:02:06-07:00","Merge pull request #184 from ratan12/Fix_detailview_text

Fix actionbar title android 2.2 & 2.3 (Detailview)
"
"dda81ab2396180ac9eea49bf3f723b280ae15d26","2014-07-14 20:09:50-07:00","Merge pull request #176 from d-sko/callbackUnification

Unify Anime/MangaNetworkTask callback interface
"
"ae7a3fea0ac353b8dc5f50be8dc88e4b0ca8ee6d","2014-07-11 08:16:08+02:00","Implement SwipeRefreshLayout

Forced sync is now possible by swiping down like e. g. in the G+ or
GMail-App.
"
"4c13ac3e6e2244805c496b726e1f72f496112bc4","2014-07-11 09:44:23+02:00","Only enable swipe refresh for own list
"
"e96d631bd3a4641bcdcf3d65ec5f9c939f7e0def","2014-07-11 09:54:54+02:00","Don't try to sync if there is no connection
"
"235742c193dc9b8dd19e8f78285dedd72f437941","2014-07-11 17:58:32+02:00","Use synctask() for forced sync

forcesync() has done the same, so it was implemented twice (thx @ratan12
for pointing at it).
"
"98c1a558389d6e1ddc4e3d1da8ea83bb1dc0e12e","2014-07-11 19:42:42+02:00","Fix notifications for synctask()

Only disable notification for swipe refresh.
"
"6fa282bf2811dec90763a46dbacefa3be9ab8943","2014-07-11 20:17:48+02:00","Don't use holo colors from android resources

They are available for API 14+ only
"
"dbaf4057d341742f970555f9115e5190fed2c58a","2014-07-15 16:56:08+02:00","Show loading indicator if forced update and clear=true
"
"193ae0e5598576ec15ff52187ffa39d2939425d3","2014-07-15 11:21:19-07:00","Merge pull request #180 from d-sko/swipe_refresh

Implement SwipeRefreshLayout
"
"6d20fcc48fff08394c12527c87f276cfb8a3a77b","2014-07-13 16:49:49+02:00","Fix results from previous search are shown (Search)
"
"2a9b5930a93386d6287a4e2daa38e3fda735f362","2014-07-15 11:47:45-07:00","Merge pull request #187 from ratan12/Fix_search

Fix results from previous search are shown (Search)
"
"df09642c59f36ead44337122072759dfdc532820","2014-07-15 20:11:20+02:00","Unify Anime/MangaNetworkTask

They are doing the same, so they can be easily unified. This makes less
and cleaner code.
Also changed GET and GETDETAILS tasks to return Anime/Manga objects
instead of ArrayLists with only one element (now possible as the task's
return type is Object since #176).
"
"074bd4ec4691598169b638f174cb909fc13bbe96","2014-07-15 22:41:40+02:00","Implement NetworkTask cancelling

Don't continue loading data if the user selects an other list. This
prevents unnecessary loading of useless data and fixes #190.

Exception are FORCESYNC-tasks, there is no reason to interrupt them.
Instead let them finish but don't display results (thats why there is
the new 'cancelled' parameter in the callback function).

Cancellation code is a little more complex as it could be because of our
low minimum API level. It can be simplified as soon as we drop < API 11.
"
"b9d5afa67b1cc20a85c59faff4a38c3904051b0e","2014-07-15 22:45:12+02:00","Only display network error info if it is actually a network error
"
"864d958cf67f4e5ee8b4d9955b4af1986b572dad","2014-07-16 07:49:33+02:00","Disable swipe refresh for SearchActivity

This is not needed there and causes a crash.
"
"7daa25f5d96f75bb3cb58893fc457cd4e8be93e3","2014-07-16 10:19:58-07:00","Merge pull request #191 from d-sko/search_swipe_fix

Disable swipe refresh for SearchActivity
"
"5794bed985fbe59bb23485fd1dfaa472f27f6272","2014-07-16 10:20:25-07:00","Merge pull request #192 from d-sko/networktask_improvement

Networktask improvements
"
"bc522a459dc0873cbd9997ad52a7785dec47c4cd","2014-07-16 17:42:38+02:00","Removal seperated arraylists & adapters (IGF)
"
"6c52a2f513b9252b2a48f2884478788eb79cf635","2014-07-16 11:10:37-07:00","Merge pull request #193 from ratan12/Cleanup_IGF

Removal seperated arraylists & adapters (IGF)
"
"adb1821554443e14e04c1af58399de9d6e9f310f","2014-07-16 20:53:33+02:00","Fix indents & organize imports (res & src)
"
"324f2d8f45187d3294e5ca2e5fe8c9ca63682461","2014-07-17 17:52:32+02:00","Return an empty list if there is no data and no error

Fixes #195
"
"43dfa0c6e4b30be53ee6e256a3c415c3ad0fed21","2014-07-26 11:48:46-07:00","Merge pull request #194 from ratan12/Fix_indentations

Fix indents & organize imports (res & src)
"
"4d9f75bbe1dbbd746433a46ebd53693d946e1710","2014-07-26 11:49:49-07:00","Merge pull request #196 from d-sko/networktask_fix

Don't return null for list tasks with empty results in NetworkTask
"
"22aa0e2611e87739a5a0571a56c1bab1aed6fa59","2014-07-17 18:24:24+02:00","Don't show swipe refresh animation for search
"
"82fc2c9c9586c40ac716bff7b35077d28a1a986d","2014-07-17 18:34:21+02:00","Don't declare af and mf in Home as static

Static variables are considered as bad practise in most cases and can
cause subtle bugs as well as GC-problems and should be avoided if
possible. Also there is not really a reason for them to be static in
Home so generate them dynamically.
"
"d417f3752e94a7cee94a4aa42b7fb9885fa6cae1","2014-07-17 22:24:41+02:00","SearchActivity improved

- no static af & mf
- rename HomeSectionsPagerAdapter to SectionsPagerAdapter and use it
for SearchActivity too
- improved search intent handling
"
"8f5406e6403798b2ec6a1e04e67bb5316d661203","2014-07-17 22:50:56+02:00","Error callback for NetworkTask

NetworkTask now has an error callback. In case of an error
onNetworkTaskError() is called instead of onNetworkTaskFinished. So
onNetworkTaskFinished is never called if there was an error in the
NetworkTask.
"
"294c8cc883a24f501ed57e64be14d3abf4d50f3b","2014-07-18 00:15:57+02:00","better af & mf assignment
"
"2541a35e1a046b3f360fb67211f830933a8b2e4f","2014-07-18 00:23:47+02:00","Use ListType-variable instead of boolean for type definition

ListType is made for this, so use it :)
"
"c9c17f19916fdeb115f2a26aeedce507609aa68e","2014-07-18 21:58:17+02:00","Remove static callback in SearchActivity

- replaced by callback interface: onRecordsLoadingFinished()
- improved crouton messages: always show only one crouton, not two if
af & mf tasks failed, also show a crouton if sync failed
"
"a3f5197a32255638be28468c614270dd5f8bc6ab","2014-07-18 22:03:54+02:00","Don't set taskjob in SectionsPagerAdapter

Avoids unnecessary getRecords()-call in SearchActivity
"
"78622d1147a3a8eaf0f341ead5254d8ce4da043a","2014-07-19 13:40:34+02:00","Fix some messed up indents
"
"6e26c55d913166b42de82757898fd99ee99c5f64","2014-07-19 13:41:00+02:00","Fix possible NPE
"
"b8660141b099c515acdefdf97f159204c3c765fb","2014-07-19 13:50:55+02:00","Remove useless resetPage()

getRecords() calls resetPage() if clear is true, which is always the
case here.
"
"01828ece11ee31c91c19c5cce94d4b8f5d54b106","2014-07-19 14:48:13+02:00","isEmpty is API 9+ so remove it
"
"ef9ebf24f101a21a86fdedc9d609d1ca356c6f47","2014-07-19 15:21:10+02:00","No need to call getRecords in onCreateView

Just refresh if there are records (e. g. after rotation)
"
