"commit id","commit date","commit message"
"9a752db7a38af3272e91577e94e62d6b29659cbd","2014-08-25 19:20:07+01:00","Basis of increase/decrease calculation sorted.
"
"62dab864fb57938b9a750ebb20a42058b748c6ce","2014-08-26 18:45:58+01:00","Another calculation added.
"
"abe6734ad9e631a56260ea3a0a15e2e9b666e528","2014-08-26 19:48:00+01:00","Extra \n.
"
"63941ae7f1ad4cbc6467e45fc89a99ba14d7dd65","2014-08-26 19:48:17+01:00","Merge branch 'calc' of github.com:knirirr/BeeCount into calc
"
"4760d8abeb64b6438afa5d6f49b8c378ae519539","2014-08-26 20:48:43+01:00","Finished, but calculations produce nonsense.
"
"4184001003c242b30c8a7ef9382374a6d97c07bc","2014-08-27 14:44:06+01:00","Replaced calculation method.
"
"df4c41f75e4a3017943eb3125b4d1b8dc3e9bdf5","2014-08-27 16:40:16+01:00","Beta 3 - appears to be all working.
"
"0a90f9409198c4b48d983a4c0d114a7a4be21158","2014-08-27 19:00:58+01:00","Minor string change.
"
"679fbf03f9483875a5833ba41b273dcd81e8c9a7","2014-08-29 15:05:24+01:00","Version upgrade.
"
"66311edd8a3307f6b4b97047652ab327f3a677f0","2014-09-02 18:34:42+01:00","Update of build file.
"
"bf66824788c487debde5d3917cd17371da5c71fd","2014-09-05 11:20:31+01:00","Increase/decrease calculator release.
"
"86eb58a92c0f8c82bdf44ad3483ad4f31ace41b4","2014-09-05 11:51:56+01:00","Merge pull request #6 from knirirr/calc

Public release of new calculation functionality.
"
