"commit id","commit date","commit message"
"bcdfbee7e22905abb569438904d07b46cfa09dbe","2011-08-20 10:00:55+02:00","Explicitely import R class in order to be able to rename packages for
free/paid version
"
"3ea2fbe265c72ec5d5500af3d88b3fb069646890","2011-08-20 10:14:40+02:00","#20 Fixed the retrieval of the properties for stat and stat type
"
"cd1ac71679918bad35ab227b3c394a0e47730488","2011-08-20 10:31:25+01:00","Change the main activity of the app

This change adds a ViewPager to the main activity (HomeActivity) of the
app. This pager has the app list and the log in the same activity. Note
that this only applies to layouts < large. Large and xlarge screens keep
the same layout as before, just cleaned up a bit.
"
"244f51c0f4de5a4fd30dc9be758cbd3fc0c2362b","2011-08-21 08:25:21+01:00","Basic app Backup/Restore capabilities
"
"220cea56e90ffdd20a4967d7fb1a961fcb245802","2011-08-21 09:38:12+01:00","Updates translations from crowdin.net, current as of 2011-08-21 0830Z
"
"05b315f25ca68032b714d9deb2ef332b76945819","2011-08-21 18:26:51+01:00","Missed permission for backup/restore commit
"
"d29b8554b9a44b1ac2a94e85865bb055159ef7c1","2011-08-21 18:27:27+01:00","Bump version
"
"82e670057f7e7219b8ed2c909ed5af45ca1c1d63","2011-08-21 19:15:42+01:00","Fix some positional arguments
"
"7dcd2e01cb9b65eef59efdf8d8c04072401cef78","2011-08-21 19:17:56+01:00","Update Changelog and have it display on launch
"
"67a578ac2ee85ea3a35b6a88c8b4404eed706b4b","2011-08-22 23:38:12+02:00","Fix #22 hitting 'back' from main activity does not save custom ref
"
"da635a14cc3a77f92127a39f51ab33199fb01117","2011-08-22 23:38:46+02:00","Fix #21 : graph bars does not show nice on higher density displays
"
"2b3d8b59345820a5872c698b1f9669b30a1e4792","2011-08-23 20:05:43+02:00","Merge branch 'master-dev' of https://github.com/ChainsDD/Superuser
"
"9508b159286798c6fa575d076b23c439de5cc8eb","2011-08-27 12:14:52+02:00","Fix for #20: if there is an active custom reference ask user if he want
to lose it when quitting the app with 'back'
"
"ebc973c5d58741c7a739d67e2a063cd387203f4e","2011-08-27 12:15:46+02:00","Fix #21: advanced preferences allow users with higher display densities
to set the graph bar height
"
"feb0a99610f015d622bda136cd1f86057ef175d0","2011-08-27 12:16:30+02:00","Added advances preferences for #21
"
"7c560d057c8db27bab745bc390ce25c06a3f7175","2011-08-27 12:16:51+02:00","version number
"
