"commit id","commit date","commit message"
"89e0a5de5caab580c85d17672db2c9e862e200b2","2011-12-20 19:54:45+01:00","Fixed #62: [feature] dumpfile shall be named with timestamp
https://github.com/asksven/BetterBatteryStats/issues/issue/62
"
"ba5347c5dbed1c33e2e9d9674f75f250304399d6","2011-12-20 20:55:57+01:00","Fixed #65: [bug] retrieving the KB blocks the loading of bbs under
bad network coverage
https://github.com/asksven/BetterBatteryStats/issues/issue/65
"
"e1d413df46b0c98874d160d513579a42f8342e12","2011-12-20 21:09:37+01:00","Fixed #63: [bug] if sd is mounted on usb the failed write of dump
should be notified to the user
https://github.com/asksven/BetterBatteryStats/issues/issue/63
"
"b65e1c5d1d4214b0c0ccc5b182403f0c8d24be7e","2011-12-21 14:47:01+01:00","Fixed #66: [feature] Add Alarms to dump
https://github.com/asksven/BetterBatteryStats/issues/issue/66
"
"eb9cfd14ff7efd3eb1b355142d182a6b7c792d5a","2011-12-21 15:56:08+01:00","refactored: externalized stat data handling
"
"1548c7cc5cfafc1621ef3094c25a25228751f283","2011-12-22 15:11:27+01:00","Fixed #67: [feature] Revisit the name of the menu item 'Actions'
https://github.com/asksven/BetterBatteryStats/issues/issue/67
"
"d2f4b195a4eef0234ccc0a25a5f9db3db93bbbf8","2011-12-22 23:01:00+01:00","Fixed #72: [bug] FC when batteryservice can't be accessed
https://github.com/asksven/BetterBatteryStats/issues/issue/72
"
"bfb82dc304ebef65db205fd834edc37edb139e92","2011-12-23 00:07:56+01:00","Added serialization of references to file
"
"3edbedea62015406263c8325cdfb274130f39158","2011-12-23 00:08:19+01:00","Externalized references to own file
"
"9dd1f15c1a2f1ffb746e38dbbb510fc3fe53a003","2011-12-23 00:08:57+01:00","Fixed bug in toast shown when switching to custom refs
"
"9532b08f84dfdb7740af8948c74e4f8b8f293869","2011-12-23 15:06:49+01:00","Added braodcast handlers
"
"988d399320dc42520e4437464d6be3bb6ddd1a5c","2011-12-25 17:25:17+01:00","Fixed #70: [feature] add references 'since....' to kernel wakelocks

https://github.com/asksven/BetterBatteryStats/issues/issue/70
"
"539e1b23289b23764ee6674b9d0b7a163a53ffea","2011-12-25 17:27:58+01:00","Fixed #34: [bug] inconsistent behavior when hitting 'back'
https://github.com/asksven/BetterBatteryStats/issues/issue/34
"
"a97d44dfcb4588812978080424d98248613e41b3","2011-12-25 17:32:26+01:00","Fixed #73: [Feature] add google analytics
https://github.com/asksven/BetterBatteryStats/issues/issue/73
"
"192420cd810f99ab70b5b38ce7dc0c7b10826b5c","2011-12-25 17:42:42+01:00","Fixed #73: [Feature] add google analytics
https://github.com/asksven/BetterBatteryStats/issues/issue/73
"
"2c40a7bc726bcc2a6907f0ad4265250a1f0cec99","2011-12-25 18:12:41+01:00","Fixed #73: [Feature] add google analytics
https://github.com/asksven/BetterBatteryStats/issues/issue/73
"
"461285e2d4b38390edb0554bc130ebbaf4425cfd","2011-12-25 18:13:52+01:00","Fixed #73: [Feature] add google analytics
https://github.com/asksven/BetterBatteryStats/issues/issue/73
"
"dc11c4b669ba02c72f3423be1f6414957415f149","2011-12-25 18:27:58+01:00","Detect if tracking is still enabled before tracking anything
"
"e419666a3baa982b39fa871d93cc492d58d14209","2011-12-25 18:34:23+01:00","Fixed #73: [Feature] add google analytics
https://github.com/asksven/BetterBatteryStats/issues/issue/73
"
"7d0125e1cae0c69919b32a814545b4c788585704","2011-12-25 23:57:01+01:00","Delete references on boot
"
"1c3ce9e6a2f9d76d80cd7713080e6303d9d2e8a7","2011-12-26 00:21:25+01:00","Added opt-out dialog for analytics
"
"3583c8aa33979afbfb268d97ef7f5f80b7939743","2011-12-26 23:02:51+01:00","OPEN - task 73: [Feature] add google analytics
https://github.com/asksven/BetterBatteryStats/issues/issue/73
"
"db63f4e5fc0a9bb28abe7f7c2936325dc1eef7a8","2011-12-26 23:03:26+01:00","Added null checks for conditions where references do not exist
"
"d6f824b9d2f51ab09583385855296bf4682f9c36","2011-12-26 23:07:11+01:00","OPEN - task 73: [Feature] add google analytics
https://github.com/asksven/BetterBatteryStats/issues/issue/73
"
"ce61ba6885a62e61b893867ad72847c72d43ff58","2011-12-26 23:24:45+01:00","OPEN - task 73: [Feature] add google analytics
https://github.com/asksven/BetterBatteryStats/issues/issue/73
"
"5aee46415f55a092558bf1eb6784274e8a52a4aa","2011-12-26 23:25:25+01:00","OPEN - task 73: [Feature] add google analytics
https://github.com/asksven/BetterBatteryStats/issues/issue/73
"
"645408684b620544e33e34e8214c580ae9418bd1","2011-12-26 23:26:07+01:00","removed testing code
"
"741c28262ce2a9a7b22ee9d5605388922a92da02","2011-12-26 23:27:03+01:00","Version for RC1
"
"366c3369937b5557d1bb25b173422bc183853d0c","2011-12-27 08:57:58+01:00","Fixed 'since unplugged' ref handling
"
"ab2816f54d32b9f1792091bf367daafe95d71e3d","2011-12-27 09:35:03+01:00","Fixed #74: [feature] add raw kernel wakelocks
https://github.com/asksven/BetterBatteryStats/issues/issue/74
"
