"commit id","commit date","commit message"
"984fe3558818fce455a474a70285df807f54492b","2013-04-15 22:37:36+10:00","Updated according 2.1.0.0B1
"
"cf92cfa7eb600f2f41245c1aeda4aedba6e05660","2013-04-15 06:50:14-07:00","Merge pull request #114 from gaich/patch-1

Updated according to 2.1.0.0B1
"
"977527066abdc72183f6bb658bc8cc4948992135","2013-04-15 06:50:14-07:00","Merge pull request #114 from gaich/patch-1

Updated according to 2.1.0.0B1
"
"e3736dc76506fda0dbcddd4cfc554ef3fac95db5","2013-04-15 21:40:54+02:00","Added better logging of exceptions
"
"381642f755fc935a3f25784d2d69cae44d08bdc7","2013-04-15 22:08:09+02:00","Fixed - task 115: [feature] implement alternate more precise cage check
http://github.com/asksven/BetterWifiOnOff/issues/issue/115
"
"c61414d64d0f6d38d59288d9999d6c716638f113","2013-04-15 22:35:51+02:00","Added timestamp to logcat
"
"e0d0ba92a7d59a00a6fd853de2a322db46d89509","2013-04-15 22:36:50+02:00","Release commit
"
"d581ef8de54d19dc63fabb9f5c8b3cf62020ca96","2013-04-15 22:37:16+02:00","Merge branch 'master' of https://github.com/asksven/BetterWifiOnOff
"
"76ea867b35aaa9e678621cc65ace30ee5e7d4f57","2013-04-15 22:37:16+02:00","Version number
"
"36769d667f3d067a3ce51c56177ef13e55de92d4","2013-04-15 22:39:33+02:00","Merge branch 'master' of https://github.com/asksven/BetterWifiOnOff
"
"778ebbee3a4cbb29cf02765194fd40079f73cf66","2013-04-16 07:45:30+02:00","Added threaded loading of appinfo for app whitelist to make the dialog
more responsive
Adjusted layout
"
"07d394dcf547ee54a0150079a7c46d4c42e95721","2013-04-16 08:50:10+02:00","Fixed - task 93: [feature] timed checks
http://github.com/asksven/BetterWifiOnOff/issues/issue/93
"
"351b355279770e7d7bdd792f83af23a46883e3be","2013-05-19 00:10:04+02:00","Fixed - task 120: [bug] starting he thread for cage check should not be
in the alarm for turning Wifi off as this is too late
http://github.com/asksven/BetterWifiOnOff/issues/issue/120
"
"13e7b704562768b7a369a74bd37f6dac766a4685","2013-05-19 00:13:16+02:00","set version right
"
"5d0617b434a388c5dfb286fe86d820df9c4c40b9","2013-05-20 10:41:39+02:00","Fxed - task 122: [feature] add link to donate version in preferences
http://github.com/asksven/BetterWifiOnOff/issues/issue/122
"
"e1e79aaae5447128403e8e2330a82bea3cb0d9f0","2013-05-20 10:42:45+02:00","Release commit
"
