"commit id","commit date","commit message"
"175683cbee9c977cb8b53ddddc4a81ac02046b87","2012-05-24 09:04:23+02:00","Woot, content!!!
"
"0d003ee26d89b3e38fc0a5f8a77f6edbeb490a58","2012-05-24 09:20:42+02:00","Changed indentation and such
"
"3c0bb686eb3b4e0b21b69be820b9156f5598c086","2012-06-02 18:36:31+02:00","OMG, first working version! WOOOT!
"
"10bff2a80c3e01972f9f58d8d2124f3407842edb","2012-06-02 18:38:12+02:00","reset score on game over
"
"3f92d90aac2abaa8231a7f9e0a5e7b514e5a7f45","2012-06-02 18:42:14+02:00","the plane flies 1 pixel higher now
"
"51fe49d1a7ec90d16b8000237c3c01e00b97bef7","2012-06-02 18:57:05+02:00","better drawing, plus bugfix for leveling
"
"c89068ead546cd1821a159684100ae05d79d6f01","2012-06-02 18:58:20+02:00","levels are now better
"
"16dbb43967ca0c0ec5a489a219ef5a62f0c770a8","2012-06-02 19:00:35+02:00","typo
"
"fc764093df4b7ef0619c693301f7b330c6cc1b5a","2012-06-02 19:02:59+02:00","bombs drop in the middle of the units now
"
"12d5616b8f5c461f11b4d855c803f587a3afbd99","2012-06-02 21:15:00+02:00","now equally hard on different screensizes
"
"a21d56586b8c4fbf291ca641ad0ab7d36cdb0b21","2012-06-02 21:20:26+02:00","split files
"
"00c80c3dba09a12b77cf832957bd81868f360688","2012-06-02 21:24:04+02:00","divided wrongly :/
"
"59cd93d5d077bcf903d8c7da6f6d0aef9f197451","2012-06-02 21:28:02+02:00","fixed hole in lvl 2
"
"782a9551a53da4f9a478f3a33f6b268af4b796ea","2012-06-02 22:15:27+02:00","license stuff and readme
"
"643662868caaaddd837f8c37d4d1cba3ed75d6d5","2012-06-02 22:24:07+02:00","Added TODO
"
"f851f2b67ef10c57afc25a0b78ca4dd837d842a6","2012-06-03 12:12:01+02:00","more things for equal playing on different screen sizes
"
"9073992df58a5050297ff5a43d40b8a7b90b0e11","2012-06-03 12:15:17+02:00","now sorta suspends on leaving activity
"
"46bf810bd332b8b866f08f5cbbc797a666b7f7c3","2012-06-03 12:26:11+02:00","added bug to TODO
"
"661be3e7bd8ed244a0801bc3f173ffc62442d79b","2012-06-03 12:29:17+02:00","Added source for Bomber, for reference purposes (plus it has themes/audio files and such)
"
"77701231f827f7bcffee0789f05dac8f5b9eb800","2012-06-03 13:02:37+02:00","moved reference, ignore .svn files
"
"686f50645c41cfedd9660eacfa61947312655f61","2012-06-03 13:46:45+02:00","build info was not neccessary
"
"c8d0e4ad530a81104d8f5f1d86a9a0fb01317587","2012-06-03 14:38:38+02:00","widened levels 2 units, for similarity to kde-bomber
"
"4b285c8d73cd8d0fe4e4aaf99e4d81e3ad4fc4c2","2012-06-03 14:45:04+02:00","added some debug statements, will be used for rendering images
"
"649d2fac883c938600b38fcdc85b2b0901aa56af","2012-06-03 15:26:35+02:00","Graphical revamp
"
"d8b02a7c3bb25872b32a5b1f98b101815b68e2bd","2012-06-03 15:30:33+02:00","speeded up bomb & plane
"
"a8877193e58dce914871bb0e3231e712d5e9d06b","2012-06-03 21:18:51+02:00","more overhauling of the graphics, now includes preferences
"
"d8b344a9234fec44997aa5529154f41cbdd350ae","2012-06-03 21:28:29+02:00","up-to-dated TODO
"
"06881ad3cd174845159956bd28b5b7bf887a7a2b","2012-06-03 21:58:40+02:00","Bomb was drawn on the wrong height
"
"9535e6e207c19f1990ada2e934ed4177e3df3208","2012-06-04 19:12:17+02:00","More TODO
"
"f7e7ca3533ba9f029e65fc7b024d79c619ae71a1","2012-06-04 20:03:49+02:00","fullscreen + force landscape
"
"b922c2fbf3b1f47e0cc228e7c289c994e409dc85","2012-06-04 20:05:37+02:00","fixed bug of everything being drawn 1 row off
"
"c23d91045a39eaed337924a279a14ddace6334eb","2012-06-04 20:14:35+02:00","improved graphics
"
"fcd39735056b79547a95e620a3194f525b36c196","2012-06-04 20:52:16+02:00","forgot to place the logo as the app-icon
"
"e5dff462fea1b510fdd08e7e670d7de47522be18","2012-06-04 21:08:55+02:00","restructured for device-uniformity
"
"2fea5e755081fd34ebf188a392a50ec856e96f1b","2012-06-04 21:23:12+02:00","added lives
"
"7be50fe08186eca4512852fea514c4f738e68322","2012-06-04 21:24:46+02:00","added one more level
"
"9e78bc53463dd714355f59d766c1ec0baff44341","2012-06-05 21:49:56+02:00","Implemented game over, fixed several bugs in the progress
"
"eb508b9807d5b68bf4fa1e4019fe8402b71a096d","2012-06-05 21:51:28+02:00","Removed traces of portrait-mode
"
"6fc8aa958b72605766c2066469c4b9761783b351","2012-06-05 22:01:50+02:00","Now also usable w/o a touchscreen
"
"81f496df6b75c125796d22eda8be9864786b9472","2012-06-05 22:03:36+02:00","updated wishlist
"
"65205805b12def34907f4bd9c315fce370f75b25","2012-06-06 18:22:27+02:00","fixed a theoretical bug in playing the game with hw buttons
"
"e914eb8669bbd3bf8b26ef11001a2bf5613dbfbe","2012-06-06 18:25:25+02:00","improved TODO
"
"55a69d7e115400043e3791e305f38728a3e9a258","2012-06-06 20:23:25+02:00","fixed bug with focus
"
"68e6626233dd2bc41ec698dd3471d4537ac43f47","2012-06-06 20:24:05+02:00","fixed bug in the new game button
"
"97cf987ebfd886db6ebe6bd7aecbcf4b0d204524","2012-06-06 20:33:03+02:00","I noticed another yet uncloned feature in Bomber
"
"17206e20454869c3c2635aebca908667ecc01c7c","2012-06-06 20:38:52+02:00","even more to add
"
"48775cd3b4306e7d1f745d79578cd78a40abaf72","2012-06-06 20:40:51+02:00","theoreticly implemented the extra paused states with included screens
"
"71fc84be5c1d05216897e1af9c3932fcb68ef035","2012-06-06 21:28:41+02:00","fixed most problems concerning the shiney pause-screens
"
"5040fc721a8774a30cedfc5a267629e61b28cbce","2012-06-06 22:09:42+02:00","More TO DO
"
"6985b4f3cdb8b809dc0e28fcc7ed1d1efca70bc3","2012-06-11 21:33:08+02:00","fixed getting points for missing
"
"99709ec78c267cc03c03e131c04ac63f8ea4d6f6","2012-06-11 21:36:14+02:00","fixed the flying in pause
"
"3687709a8a5960616b24856fa8e44ca4676124d7","2012-06-11 21:41:50+02:00","fixed the bug with newgame/nextlevel/gameover screens and the options-menu
"
"28961cc9a5675cad868ad12349886cde5f820c51","2012-06-11 21:46:02+02:00","bombs are not centered anymore
"
"7148af39bde2d3af93a0e924018e112e83ac4232","2012-06-14 10:07:27+02:00","presumably fixed the focus bug after closing the settings
"
"5a96860c171b191ab99d2b84f152e81a7be136d2","2012-06-14 11:40:21+02:00","a block is destroyed when you fly into it
"
"c268a6b7cdc5e842a591f41f865bcb06c25606f1","2012-06-14 12:14:54+02:00","implemented random levels
"
"2a17078cf21ca7378e8976ac8c636c9c1755f0dd","2012-06-14 12:17:51+02:00","now actually destroys blocks when flying into them
"
"01ba3e022228e2b53440340ae0fb402c652120d8","2012-06-14 13:07:49+02:00","changed logo a bit
"
"ca7a716213aa0a3fde4130d615fe65f660161ba6","2012-06-14 19:35:36+02:00","application is now fullscreen
"
"1d331850e7a9d93f0ddf86d8c16769d89a7ae588","2012-06-14 19:38:13+02:00","resolved bug with optionsmenu and screens
"
"e8367a5af9961d9e20880b6f9420b06411ab744f","2012-06-15 13:54:07+02:00","comments, comments, comments
"
"586f80d232d4a3d673a81613d235355a5e55304e","2012-06-15 17:04:41+02:00","fixed the level display to begin at 1
"
"6b34bbce54a753fafce9413a9dc94396a46c9dfb","2012-06-15 17:54:14+02:00","can now drop bombs with the search-key
"
"c90c59640cf3f6a4ad7662fbd74ff825b607b17c","2012-06-15 17:57:04+02:00","fixed the bug of not getting points for the last block in a column
"
"1e8c540dbb38973620c29326fccb947d73f5a61f","2012-06-15 20:10:31+02:00","trailing space bug
"
"5cdebba78bb4865d793c85c0ffe06f6a51af5534","2012-06-15 20:19:22+02:00","added accelleration for the plane
"
"d8f079fce66e71d46873fe106a23b183a546ed3b","2012-06-15 20:26:46+02:00","Oops I lied
"
"fd70810c65e63c1d8cb07565eaa3096e4909b4fd","2012-06-15 20:27:35+02:00","configuring the amount of units would be awesome
"
"0da913da4c0f64b45a5012e343004f4a74bff1d4","2012-06-16 08:39:35+02:00","added 'reset highscore' preference
"
"e749673d5e704bed8596422113b6b034bda4e401","2012-06-16 10:14:30+02:00","Icon is way better now
"
"50b81e92d41ab5a1606513dbc8faa74a838f5f35","2012-06-16 11:29:33+02:00","trying to prevent a arrayoutofbounds exception
"
"25c0516c484152dad6651bcd1de5d85cbe0cb58f","2012-06-16 13:05:12+02:00","thought of more neccessities
"
"940867da39fe15b971a5b6bd7f27550ce241af8d","2012-06-16 13:45:51+02:00","made preferences numeric-only
"
"916dda24251889c6e888cf0e9356ca17b2d8063a","2012-06-19 17:35:59+02:00","migrated from TODO to github's issue tracker
"
"64acd29ee509ad51e2a767ee9da2e1dc2346402a","2012-06-21 20:21:43+02:00","hopefully fixed freeze bug
"
"11fc0eafff0b7c16ddb34cce8ff0a692cfd7b5b8","2012-07-08 16:38:59+02:00","commented out settings for a first RELEASE~!!!
"
"4f8b5f403abfd40f79e9f792e15790c06ed62e34","2012-11-06 00:09:23+01:00","Name change
"
"6e75c93629aeacf130a7e0ead0c8e8b3f55cb9ac","2012-11-06 00:12:41+01:00","Behind-the-scenes improvements
"
"98955b9e292a3ba7919408b8f1269bae89ce785f","2014-05-14 19:54:40-04:00","French translation
"
"48653d29fc3bafe80dd4509d687a245b29c1b725","2014-05-17 12:23:34+02:00","Merge pull request #8 from RyDroid/fr

French translation - Thanks!
"
