"commit id","commit date","commit message"
"fd5a4e7cf35c474037e706aea947229b364d3cf0","2014-06-03 12:48:31+02:00","Java 1.7 updates
"
"d0724a0621f0ea94a0c7cf84b27fbb1456d8c706","2014-06-03 12:50:17+02:00","Remove redundant toString() calls.
"
"71a797b3f93ff97309202cb2905298a2218107a7","2014-06-03 12:56:46+02:00","Remove unnecessary semicolons
"
"a073960e8122adfac890ebd3974a85ec043056ac","2014-06-03 13:12:18+02:00","Fix some javadocs
"
"9d0d730084b8cabd0cff07d4da8965beed75b7b4","2014-06-03 13:14:17+02:00","Remove empty statements
"
"62b3a94963c77e457b50996c5378154f45923c34","2014-06-03 13:16:25+02:00","Remove redundant initializers
"
"01f27df7e8bbeedac14f5b3ff2cbcd786d0dcb32","2014-06-03 13:18:49+02:00","Suppress NumericOverflow in dev activity
"
"6476d65da2888177ab83c33cd08c99b234a4938e","2014-06-03 13:28:52+02:00","Fix default value of watch background enabled
"
"c87e6ecfc3c16df42b5481781d5acc2732398415","2014-06-03 13:43:12+02:00","Always have a PinWatcher on a Pin
"
"42ed5101c3d9774af47ba7a43dc08ef7d43bb85c","2014-06-03 15:48:49+02:00","Underline name when post has email
"
"181478253d3ed25bda293da575df04fd1dab240b","2014-06-03 15:55:28+02:00","Unescape html for filenames
"
"a9ed31714fa2be2514d0eb86f1753127f792bc7d","2014-06-03 16:15:59+02:00","Better theme restarting
"
"7727e1639525e79b1eda0da30b8813edba56da0e","2014-06-03 16:36:34+02:00","Keep the red bar around for at least 2 seconds
"
"11b6b42911444d1b014488016a8b59dd91a3714a","2014-06-03 19:51:03+02:00","Better notifications:
Fix the intent
Launch the thread the notification is about, or when it shows multiple threads, show the pinned drawer.
"
"b0abcd6d5d45c8c8199733c6a547d1d84519f184","2014-06-03 11:19:42-05:00","Change Volley to be less verbose when not compiled in debug
"
"021edee83f141164f5afd32efd1c10e3c2da4ff8","2014-06-03 11:50:36-05:00","Make Volley use normal String concatenation in ImageLoader.java
The java compiler will make this a StringBuilder if it needs to be.
"
"09af20ce28f33548c689c9714cf791a45b5d0236","2014-06-03 11:55:13-05:00","Volley doesn't call finalize functions inside some classes
"
"c11327a03de103adb3776593d7b57ca40ed41d79","2014-06-03 12:09:24-05:00","Useless synchronized with local only variable
"
"8ad8c4cc8d48b0dc23466ae8fe0fb253a8fc9dd0","2014-06-03 14:21:24-05:00","Enable proguard for optimizations and removing dead code
"
"5730403d48429f954e302cded009f67093b746ed","2014-06-04 19:43:07+02:00","Use an adapter for the board spinner.
"
"152444e50904bfcbd7a280cdfc5bcefaefb2c189","2014-06-04 21:25:17+02:00","Fix for bug when slidable wasn't updated and improved tablet layouts
"
"6234054eeaf7cdbe7a5d5677d3e163075c9841f1","2014-06-04 23:07:50+02:00","Add link to the board editor at the bottom of the board spinner.
"
"4b4b71ba62790cbe2c7f4fcfedeedff637c8dc69","2014-06-04 23:43:29+02:00","Rename to board editor
"
"18cb729d3ea270bb531dc6d63d9d60c9dc5a117b","2014-06-05 20:40:34+02:00","Cleanup res/ folder. Add license headers.
"
"51795d42699f6ea6552ad3cccacb93ffc6f05467","2014-06-05 20:48:57+02:00","Delete unused icons.
"
"7cf58fbfd744d553b832c3fb4d42e2765ef97f4b","2014-06-06 13:23:43+02:00","Added quick reply
"
"bfd2e8ae9f8eb468bc2ce54dd82d71bbd12707f3","2014-06-06 13:37:41+02:00","Add option to force the phone layout.
"
"2ea38683fc67b1b9f0533932a0a33ac639c91399","2014-06-06 14:43:56+02:00","Give PinnedAdapter proper itemViewType powers.
"
"0b0ac8748b2ecb852e1fe3cd8c377e95476bb011","2014-06-08 15:18:18+02:00","Upgrade to build tools 0.11
"
"8745fc364cbddd1f00c93d1f9519e0f9845bdb44","2014-06-08 15:23:29+02:00","Refactor the pin watcher.
"
"dc9419db3b9f7f5ad2bf25a090ba80b0268b784a","2014-06-08 17:24:59+02:00","Only update last seen when watching is enabled.
"
"a9b32a3bb13d16495cc527fc49683a852e87ba3c","2014-06-08 20:28:21+02:00","Added lastseenpost to loadables, fixed PinWatcher
"
"71ce93b625bab75e0ec153772b56b372e929523b","2014-06-08 20:40:56+02:00","Set timer to 1s when starting the app/toggling watching a pin
"
"e9817c9f1c573bbe5f38acf51b2a702429008d6c","2014-06-14 09:23:44+02:00","Saving scroll position when opening replies.
"
"bbb8fe3da2bd5fac3b90288f8070c8028dd4369b","2014-06-14 09:30:36+02:00","Removed a debug line.
"
"1afd0c61b59b76329089257c16e420568c2d0110","2014-06-14 22:39:02+02:00","Beta release
"
"65c7a1f32bb8a01bee743340b18ccab3f88facfe","2014-06-16 16:21:31+02:00","Made the board editor filler an option.
"
"aa6f1feacf0ed463f2bc50c9b9cea1d8e094bdb5","2014-06-16 16:24:27+02:00","Strip slashes from board add
"
"ce8a842f953843e8ac884c8c8fa285d1ba875413","2014-06-16 16:28:51+02:00","Organized settings
"
"64d4e9f815715dd196e1b41876d53cccaf18d32a","2014-06-16 16:31:45+02:00","Beta release
"
"50024c2c627e602b22b0f6cca0c5d0de6adcb523","2014-06-18 16:06:21+02:00","Merge changes nopjmp made.

Conflicts:
Clover/app/src/main/java/org/floens/chan/service/WatchService.java
"
"864a7be6b88688d6e27d05d5ed7566931b8b6b2b","2014-06-18 23:11:47+02:00","Release v1.1.2
"
