"commit id","commit date","commit message"
"75f7695087355978a236a701283a86bacdd8a54c","2014-05-12 17:09:32+02:00","Merge https://github.com/siacs/Conversations into development
"
"3858715ccf3c485bdc8b094e0d05e437f8863d16","2014-05-12 17:19:00+02:00","Update basque translation
"
"ecea4a5cd2201514a5057f9e5358928a47a6955f","2014-05-12 23:12:01+02:00","fixed parsing error on missing %s
"
"d07139d3c4ed6a31c56140d7a10ca50dce58599c","2014-05-11 19:59:03+02:00","Translation into catalan language
"
"cb706e9e82301ad5e79ae44d804f6aff2eca7f1f","2014-05-12 15:47:36+02:00","Fix a typo in catalan translation
"
"ae768598fe0f6d06ed330809779934a93b6ecde9","2014-05-12 23:22:47+02:00","Preferences Spanish Translations
"
"dee1ba3bdd38219bbd2817694270904457023a76","2014-05-12 23:28:19+02:00","Merge pull request #101 from kruks23/development

Preferences Spanish Translations
"
"32d2efd459cdc5ed6a09929cb58bb019dd8d2015","2014-05-12 23:29:26+02:00","Merge pull request #88 from BenoitBouvarel/development

Translation into French
"
"cce12af7663eb7649b98f9c74f577fb43ee9ee11","2014-05-13 10:18:59+02:00","fixed french language
"
"ad9b9b9096e05bfdb63615a8e896b001116e10f9","2014-05-13 10:23:26+02:00","fixed npe in tag writer
"
"f38c7b22fd2ed89960ceb4611f11fc308b858e15","2014-05-13 11:23:11+02:00","further translations
"
"3cd369fb7b9f640a268fe408955683632009e26a","2014-05-13 13:51:13+02:00","german translation
"
"7e667319607aa5ed9fd2a2aa1573c40ffae3a613","2014-05-13 14:49:09+02:00","ensure that iq response is being send out for jingle packets. remove jingle connection from manager after termination
"
"84e79040df5cae9f1c32e7a8055d8fd4b0dce531","2014-05-13 15:37:11+02:00","static method for providing content uri
"
"1150f47addba09889fd64fd6d59d98c115ea71cf","2014-05-13 16:42:26+02:00","Update basque translation and include preferences
"
"8d27d0c44a4c35ce4606628eb5a280df4b1a8c5b","2014-05-13 16:46:03+02:00","Merge https://github.com/siacs/Conversations into development
"
"efac008ffba38ad43260b1ebbd0c629aa7aeec6d","2014-05-13 16:52:35+02:00","Fix
"
"71545f4f665cd4fea6e6ecc1824ffac1f454bce2","2014-05-13 17:11:27+02:00","code cleanup
"
"c0f5b26d1ab37f32d8a5b0caf15add3a8718eead","2014-05-13 17:22:06+02:00","Merge branch 'development' of https://github.com/beriain/Conversations into beriain-development
"
"a3d241020ac69db59b29623732751f5934cf356f","2014-05-13 17:22:45+02:00","Merge branch 'beriain-development' into development
"
"bc87f596006fb25ca9457268b1a3290ca733df89","2014-05-13 17:57:10+02:00","version bump
"
