"commit id","commit date","commit message"
"66e3ccc2dcd22e2bd7b145b7cbbccccb9366ffcd","2014-07-21 22:57:41+02:00","save login nick for mucs during join
"
"c3ef8e0a5bcc36939a09973352623da1c6ed6b77","2014-07-22 14:48:07+02:00","Merge branch 'master' into development
"
"db91c15fcf049816512779e4b553dc74edc82c94","2014-07-22 15:12:19+02:00","Update strings.xml
"
"9b53ebd44bb9029e60a86acdc03c96d3f0a17329","2014-07-22 15:30:23+02:00","Merge pull request #299 from beriain/development

Update strings.xml
"
"9e1c6686136b12d16916c94c00b644ebd0507ae1","2014-07-22 15:29:52+02:00","Merge branch 'development' of github.com:siacs/Conversations into development
"
"84642b749291e2766cecb394c608b1b9b7e64bb2","2014-07-22 15:31:54+02:00","refactored message adapter into seperate class
"
"2345398652d03cdecf10f548cd71d982adf07995","2014-07-22 16:55:30+02:00","fixed #301
"
"9fcc195a6dad81c56a28f3924ab4912198fc3c38","2014-07-22 17:23:31+02:00","brought settings and manage account menu items back
"
"4607e2c546fec78d7ae0ca8ce779a2267e6edbe2","2014-07-22 17:27:44+02:00","switched to mtm
"
"ae532ecf20f52122c133fbeb30677f1251d943f8","2014-07-22 17:47:25+02:00","Update Spanish Translations
"
"ce2b96265a46021a63b44460d9bdbbed39de982e","2014-07-22 18:07:38+02:00","Merge pull request #303 from kruks23/development

Update Spanish Translations
"
"1f4ea552cdfefbb731b8b9848a77445b11abfdd9","2014-07-22 18:58:20+02:00","some cleanup
"
"eacf56bf37cf37246a40c1cd8df8e507b34501ca","2014-07-22 18:58:38+02:00","Merge branch 'development' of github.com:siacs/Conversations into development
"
"04156e945cc832e83c0f12e4ed6ebe06b3070b53","2014-07-22 19:08:09+02:00","updated mtm
"
"a81a667c4148d0914bfbb07434d3f50565416be7","2014-07-23 10:07:27+02:00","typos
"
"01a03e5dedf463af624ce5922559c568b1bde4e9","2014-07-23 13:26:33+02:00","Merge pull request #307 from Erkan-Yilmaz/development

typos
"
"5c118f6dd751905ccab2d9d65f28ec8e210c484a","2014-07-23 14:30:27+02:00","more disco. fixed chat markers with jappix
"
"b6e3ce4b2037b337e4e245411d8b25d61823a6c7","2014-07-23 14:31:08+02:00","Merge branch 'development' of github.com:siacs/Conversations into development
"
"23e5fb5d5643ef915fda4819d3786e245cfcea88","2014-07-23 18:04:29+02:00","fixed bug with otr session being initilized over and over again
"
"7ee2ef5233b832fd419455ab78a26dff33a5da21","2014-07-24 01:04:25+02:00","answer correctly if both markers and receipts are requested
"
"983104f2f0d8f91a478869ad68a07b449cb550c3","2014-07-24 01:17:34+02:00","presonalized read up to this point message
"
"3b786c34f20483dd68d2043aa5f5317f94634dc9","2014-07-24 01:35:09+02:00","removed outdated translations from languge files
"
"deab99c997465d4079dfb57abdd5f80034506f9f","2014-07-24 01:37:38+02:00","removed outdated tls error
"
"d108a5f2b64d03a87a0306b4f74bdc1a43b5c08e","2014-07-24 01:39:46+02:00","removed more legacy tls error handling stuff
"
"8d5f2a9195dc7b4dd9d2e15be75b3c68d8bc95a5","2014-07-24 01:41:56+02:00","added jelmer to the list of translators
"
"1a04b071a55b61cc165d40369da8441a74366442","2014-07-24 10:44:39+04:00","Added translations

Added translations per issue #309 - Missing Translations
"
"4d0d35f6bc0efcdc2423030490da9125f36404eb","2014-07-24 10:46:13+04:00","Update strings.xml
"
"76de9dba7906fd5b23cbd5f2b884a7f21c0fe194","2014-07-24 09:55:45+02:00","Merge branch 'development' of https://github.com/rostovtsev/Conversations into rostovtsev-development

Conflicts:
res/values-ru/strings.xml
"
"4c84cf78e045dec28280fe37f01e7107709bc68c","2014-07-24 09:56:05+02:00","Merge branch 'rostovtsev-development' into development
"
"9f9dc8f5c0481ddfd0efb30f7aff21480d8c2f8f","2014-07-24 10:04:01+02:00","added some translations back that have been removed be accident
"
"39841e6f57aad32ef980af9767347b1684110544","2014-07-24 10:16:05+02:00","fixed spanish string. wild guessed + google translate fix for basque
"
"438538e2da35379fd8ebd9cd6d64914e345d92cf","2014-07-24 11:48:56+02:00","french translations by @BenoitBouvarel fixed #311
"
"c7c3db478ad7212d3b66cf83c702cd60004ff53a","2014-07-24 12:33:56+02:00","included version string in crash reports
"
"52ad718251e544807f44de2a9d85ff58f06120a1","2014-07-24 17:21:21+02:00","removed duplicates from muc suggestions
"
"a6f8954bee9ae96d93e3f7c889a41921da22f837","2014-07-24 17:24:52+02:00","updated screenshots
"
"881e6106366ab51f209770f0d977d7bcbfd84dd3","2014-07-24 17:34:57+02:00","Some corrections
"
"36434d8576a3b17a6fa9ae69ab11614f84a6453d","2014-07-24 19:35:29+02:00","Merge pull request #312 from beriain/development

Some corrections
"
"16e5139d5e8aeaec603edf4d32330f8233f8d83a","2014-07-24 19:37:11+02:00","version bump to 0.5
"
