"commit id","commit date","commit message"
"60800e155612bea797eed93c67046a23d26054cc","2014-11-24 12:54:30-08:00","Break out into separate repo.
"
"bfbaf082b461dfa116ecc07a28d8d0d366bd312c","2014-11-24 13:12:03-08:00","Add gradle wrapper
"
"834dfb489f5fc6f2dd54ae576d84c5134bbb666d","2014-12-09 10:11:57-08:00","Add legal section.

// FREEBIE
"
"e4437b1d66e2a4e1dc715ac19c75935e25d5cfcf","2014-12-09 10:58:33-08:00","Explicitly name archive.
"
"f46e9c6d99ed7ab3b24652e93a4f81074cb1f96f","2014-12-09 10:58:44-08:00","Update gradle wrapper.
"
"a4d8f7f6a4c4e9e89db35f299e558dceee2362a1","2014-12-22 09:02:11+01:00","Fix typo.

Change non-short-circuit '&' to short-circuit '&&'.

Closes #1
"
"6445ea5f13850f42c3952bd06a2369317683ed88","2015-01-08 13:48:49-08:00","Break project up into Java and Android build/test.
"
"31cca7eaa5b04616ed661184a625e3c686bff5d0","2015-01-08 16:17:33-08:00","Add license and javadoc to new artifacts.
"
"d5d2ea9213d0bd062cf5b932e2f3d585823bd36c","2015-02-02 16:00:45-08:00","Add artifact information to README.
"
"0ee1caa77bb3619040f0e89e45959d8432a4a3d5","2015-02-02 16:21:06-08:00","Switch to updated Curve25519 dependency.
"
"698856bb8d3bca20a09fd4251f61e72abeed4b0d","2015-02-02 18:20:08-08:00","Bump version to 1.1.0
"
"2b87037e91843d18134541051f1b28ed8b7de65a","2015-02-03 10:23:47-08:00","Update README

Closes #4
"
"cf2361c64d0ced57e576497d9d20d0797faa51c2","2015-02-09 14:28:29-08:00","Use Curve25519 0.2.2
"
"a9c42a3641cedec38b555f032d3206ae84e25463","2015-02-09 14:28:51-08:00","Bump version to 1.1.1
"
