"commit id","commit date","commit message"
"2a3c915fdf899a1f4d7b6a767e21131bc53d44ae","2012-12-01 15:05:17+01:00","Create project
"
"d321efba32b8af8843f694edc9158a1ecc066a98","2012-12-01 15:15:19+01:00","Add drawable resources
"
"fb7686b2c0d72771d8bf957fe85212989fa8b126","2012-12-01 15:19:24+01:00","Add layouts
"
"7a58dd815a2b629620282bd65001dcc6733e7826","2012-12-01 15:22:01+01:00","Add menu resource
"
"415b1431f4b9394ce8ce60ca9f44432c6d64214b","2012-12-01 15:32:59+01:00","Add samples and string resources
"
"765ee79b8c8aa23a91b4fdf77820479a67844025","2012-12-01 15:52:20+01:00","Import sources
"
"ad796be29f4071a515b8a61bcef8b7fb5f3aa0d7","2012-12-01 16:08:21+01:00","Set theme
"
"dd838b61f9bdaf8b764486fc765294e9721f1ead","2012-12-01 16:19:08+01:00","Convert if to switch

It was an if statement because the code was originally in a library
project.
"
"fb44f173804e63ab58e040da3d03ebe6031766dc","2012-12-01 16:51:16+01:00","Rename eclipse project
"
"626a46633ca2e3ba375b7f37bc1d2e492d90f7ce","2012-12-01 21:50:15+01:00","Follow Android field naming conventions
"
"7e5948a67264fda9adf1ed8ef283706b09c7a1b7","2012-12-01 22:05:10+01:00","Remove everything related to buying
"
"129b46486da6073d9e1ca617aa58c59dad438705","2012-12-02 14:54:23+01:00","Apply GPLv3 license
"
"1ea0876303f58ad49076e111b4f796c768d2d1df","2012-12-03 22:25:27+01:00","German translation
"
"0ce6e1247d3ae5307c119a337086ce437246fbd2","2012-12-03 22:27:29+01:00","French translation

By Claire Chatel.
"
"e5d6c8c1768a0cf1d7657a2c0adf67f90236d5ac","2012-12-04 22:56:24+01:00","Use bigger record image on tablets
"
"6b168659fb85da086c78947369ad7d0f231a8bb0","2012-12-05 21:48:20+01:00","Lower targetSdkVersion to 10 for now

This displays the overflow button on newer devices. Will probably switch
to ActionBar later.
"
"45f52b559aa84d29bbe37657ae8a73d57a9afd54","2012-12-05 22:03:17+01:00","Use a Callback instead of extending Handler

This fixes a lint warning.
"
"3e0c73527f0388fae083fe0f4414665e54eaabaa","2012-12-05 22:35:26+01:00","Make record rotation a bit smoother
"
"60ed38b567ef1e36d61ce6f7793d25e29f3aea96","2012-12-16 19:12:10+01:00","Add readme
"
"2aebe1875e348409eaf583840ec3e634f17fb5a9","2012-12-22 19:32:32+01:00","Add license information to help dialog
"
