"commit id","commit date","commit message"
"243ba025983a5e6b005520cdfc63556c5e9cb613","2014-03-20 20:16:08+01:00","Add Xiaomi Mi3

Could you please build test apk for me..?
"
"37653a30133ff474dc9f78f51b46599a540fb88d","2014-03-23 10:02:37+01:00","Add Xiaomi Mi2S
"
"d0dd7e11deae4f3216481f2748ec652da965c77d","2014-03-23 10:25:00+01:00","Add SLOVAK translation
"
"e0040a2433176743c8131b98c6753c3d75c53e4a","2014-03-23 11:32:16+01:00","add CZECH translation
"
"488dcb069b700099d1f479de57c61b6f6a1f3556","2014-03-23 12:16:43+01:00","Add Xiaomi Redmi/Hongmi
"
"997631feb682cea2e5d3bd72afad8e0d332be0bb","2014-03-23 12:29:26+01:00","typo
"
"72ea364c7e7e0fe4ec0b747b7b405eb09d151676","2014-03-23 12:36:04+01:00","add redmi w/o glare
"
"d899a29833dfd7446223c975c5fdccec9c62a9ef","2014-03-24 05:41:38+01:00","fix checkstyle
"
"9c32edea54fe2859b82bf82faa61f73360f7cf15","2014-03-23 23:36:58-06:00","Merge pull request #74 from ingbrzy/master

Add Xiaomi Mi3
"
"0ba97883938312bd1b3e6a60f13b465020d34bbd","2014-03-24 07:36:36+01:00","rm non translatable CZ strings
"
"ce828488f54619552603e9ded169ba73b0505f9d","2014-03-24 07:37:05+01:00","rm non translatable SK strings
"
"c7848a4e2dd1cf743a16b3747af71e685e5f0ae6","2014-03-24 00:44:13-06:00","Merge pull request #82 from ingbrzy/master

rm non translatable strings fix #79
"
"32750b8b237e64adcf51021a78bb0ab7070d5dc2","2014-03-23 23:42:03-06:00","Update to latest version of Gradle
"
"0cd50670b51987f2866762f145d9c08d3027050b","2014-03-23 23:52:49-06:00","Remove non-localized strings. Closes #79
"
"c2286720df6134660f80ac2865752668ba48fb28","2014-03-23 23:55:10-06:00","Only have one Activity so this is unnecessary
"
"296dc71d37c9f877f94ec4e556b5bd2c925bedb2","2014-03-23 23:57:10-06:00","Better ForegroundImageView from u2020
"
"c3f9b62d9b8fde9ce9a585588a7f92f9078b1745","2014-03-24 00:13:05-06:00","Add dependency version check plugin. Update dependencies.
"
"58c80a173abc073482c9c7f3f370d7460d75c417","2014-03-24 00:31:17-06:00","Use AutoValue. Closes #35
"
"af353586500a58197bc9421ef8d7e8dbda04364b","2014-03-24 00:48:13-06:00","Wrap dimensions in Bounds class. Closes #81
"
"a6f82dbfa2ae1e497b7db4be41f5814a24ff93b7","2014-03-24 01:02:03-06:00","Consolidate Modules. Closes #75
"
"6d83b69a3124b802c680146cec3e9f1b52599a3e","2014-03-24 01:03:01-06:00","Explicitly Mark String resources as not translatable
"
"e0ef180a257862739242ec5fdafa8df3c8cd612b","2014-03-24 10:32:32-06:00","Update with Dagger's set Bindings, and Object styled preferences
"
"eaab4572a68b10e719254243884d8ea7fafdb06c","2014-03-24 10:41:23-06:00",":lipstick: Checkstyle fixes
"
"04c803f8cb5aa50583b13545a948b40e2535b6a7","2014-03-24 10:58:40-06:00","Inject Extras into services and shuffle constants.
"
"bb9e9e964bafd3f4f8d3d06fa244e90c670cdd49","2014-03-24 11:00:09-06:00",":lipstick: Unused
"
"12164486f3e6cd02c0e854a007c184a99f9a3c5a","2014-03-24 11:01:33-06:00","Bump tools version in Travis Config
"
"b533a3d7ed2d52d6c1dfde060ff4109a367f8556","2014-03-24 14:40:14-06:00","DebugAppContainer. Closes #78
"
"35f20523efcd7dbc2bc23c4a051dc114dcc17524","2014-03-24 14:50:52-06:00","Make version number clickable instead of image
"
"a75009838dab016b930f4b0e7623c8953c22b5c2","2014-03-24 15:01:38-06:00","Add tools attributes for visualizing screens
"
