"commit id","commit date","commit message"
"53e0f87f25b5cf7cb7faa2dabcba4b10578cd029","2015-06-12 23:18:10-03:00","Initial commit
"
"baa78795a6f06ee10f7467f616a0f701d733f65a","2015-06-12 23:21:18-03:00","First commit!
"
"8383eb4541628c938c377f3942f2bc64d77784ee","2015-06-12 23:25:44-03:00","Conflicts
"
"6addf381fd49ceed61009b449ee9b89d591c97a8","2015-06-13 00:15:17-03:00","Splash screen and launcher
"
"c9c84307e3f21acf084b7dd30f20caabbf0da699","2015-06-13 19:34:36-03:00","Cleanup
"
"419b9a12c6ba1d86edaa149bb815189b21f64d60","2015-06-13 19:39:39-03:00","release folder
"
"48d16864066dd1c662418eaa09b441c6f14548ef","2015-06-13 20:00:38-03:00","Readme
"
"35ecf5956113da0e617437a1aa610485e5357c2b","2015-06-13 20:02:19-03:00","Readme
"
"1743c1fdc85bfb77105339e4ca30e84c9b2c3610","2015-06-13 20:02:59-03:00","Readme
"
"4ad713665fc5d4bbbd492bcab9d2fc303d3b8971","2015-06-15 19:36:28-03:00","New Launcher icon, change licence to GPL3, zoom, clear cookies
"
"7b0e1662a19e5353edd37670d7d012cfe145e728","2015-06-15 19:37:16-03:00","version
"
