"commit id","commit date","commit message"
"55ad49200b99cde6e708b0f9e03ab9b3ccd5e5ff","2014-02-26 19:15:02+01:00","Use latest appcompat release
"
"326716ee9e808be1460fc6793acd164f100730bb","2014-02-27 18:35:36+01:00","Update picasso
"
"e78e0d3156d608a7b3547d44f934e4c4331c2245","2014-02-27 18:36:15+01:00","Update retrofit
"
"568318bf331a9b4ab4e29830b78dad1c0dea7c8f","2014-02-27 18:36:44+01:00","Update crouton
"
"5ad9f5fca268bd2098b7f3c26cc11a7daea8f5a8","2014-03-10 19:23:36+01:00","Update to gradle plugin 0.9
"
"bd560cbfaafbe14356fffec2124caeeb728462cb","2014-03-10 21:57:26+01:00","Begin quantization implementation
"
"26a9daff6e9a0672d2969f2ca3806855830dc8c1","2014-03-11 14:01:56+01:00","Update build tools
"
"f5bfa8177fb46ca70d5eba90b8f808a32b162021","2014-03-11 14:27:04+01:00","Finish quantization implementation (drink detail)
"
"45e2729c032a6f88cf67c98a429315ab4b5fa658","2014-03-13 10:51:44+01:00","Implement quantization (liquor detail)
"
"9e618a9198886cf314bc331b156d998341c13f6f","2014-03-13 18:42:41+01:00","Clean styles
"
"89d55163102f0cdef56fc5d1847cbfca297931c4","2014-03-24 16:04:18+01:00","Clean drink detail fragment code
"
"40e12e4d3f4c051de9475f9b79c8116162321bf1","2014-03-24 16:04:38+01:00","Bump to version 0.2.4
"
