"commit id","commit date","commit message"
"a021afe94be72b30a263986cfc4415797afd51f6","2014-01-10 10:51:26+01:00","Resolve forgotten conflict
"
"69965c14d5ccfed40b6d81e40569c783d9d117ac","2014-01-10 10:54:17+01:00","Merge branch 'tablet-dualpane'
"
"2773a23dd732ee3439209a3c29dc17c6316fdbc4","2014-01-10 11:09:48+01:00","Add ButterKnife to dependencies
"
"2df8ccd555657fbc8590138ceee15eabeddb22c5","2014-01-10 11:10:04+01:00","Use ButterKnife in About Dialog
"
"ff9698985beec2b253d12b913dcc3bd50b1ec3c5","2014-01-10 11:14:23+01:00","Use ButterKnife in MainActivity
"
"9570c6323f1b490ed1d2033ccca689ba33e2b40a","2014-01-10 11:17:45+01:00","Correct filed naming
"
"e808df8570d02f6399328d13f6d7257e162135f5","2014-01-10 11:18:05+01:00","Use ButterKnife in LicensesActivity
"
"821ba21bae39e03290520d6d08d6df4620745330","2014-01-10 11:26:23+01:00","Use ButterKnife in DrinksListFragment
"
"af20f214d42ef51f2517e259b8e36c6f7486c711","2014-01-10 11:28:58+01:00","Add optional annotation on view pager
"
"2199de96362804aaea7f87dcefb0d1ad05bae8c5","2014-01-10 11:53:07+01:00","Use field instead of getEmptyView()
"
"023f3de2ded69554549e12212feaf402d48fc858","2014-01-10 11:56:18+01:00","Use Butterknife in LiquorListFragment
"
"00b9508403cbf34a6a1b02084d273770667bc2cb","2014-01-10 12:05:23+01:00","Add ButterKnife license
"
"f805cf7994642926311cad1e3f86627c24aac1e2","2014-01-10 12:11:59+01:00","Use ButterKnife in Drink detail fragment
"
"a4c43eda0407e097422ab578954825a32d224179","2014-01-10 15:41:52+01:00","Use ButterKnife in Liquor detail fragment
"
"f98584141ec21afec431be950b268f21cb0c0d06","2014-01-10 16:09:52+01:00","Use ButterKnife interactions tools (Liquor Detail)
"
"cec88fb25a0dc0937dfc3e6a93059f41b39f4d65","2014-01-10 16:12:32+01:00","Use ButterKnife interaction tool (Drink Detail)
"
"7d69065c7d31a493f861714108fee4c42d1ac4da","2014-01-10 16:18:03+01:00","Use ButterKnife interaction tool (Drinks list)
"
"ebbfba8a29f4fe1622a1cc4039382d6ba51286cc","2014-01-10 16:21:41+01:00","Use ButterKnife interaction tool (Liquors list)
"
"44388178508d16fab27c2d88d88c97f9ecf2b3b6","2014-01-10 16:28:34+01:00","Use ButterKnife to find local views
"
"f189753bf384ca36182af9fbbccca51d928c0734","2014-01-10 16:31:27+01:00","Properly format code
"
"c1775b9488c1b82933b6974ac9ac14d75a198354","2014-01-10 16:56:57+01:00","Improve About Dialog design
"
"d4763733cee2ecbb6791512ebf65d4600ba9d1a8","2014-01-12 16:48:44+01:00","Add list selectors
"
"00d232092505f4e2b9e8e7fce229050191252c1e","2014-01-12 16:52:10+01:00","Bump to 0.2 version
"
