"commit id","commit date","commit message"
"967a0806f5c8553209ade507486d0a46a330fb80","2012-03-09 14:34:17+03:30","Initial commit
"
"203fddd3f0e15698ae4becdcae7b8b81ba4339a7","2012-03-09 20:17:37+03:30","Little mod.
"
"36abd8e4a90c90131182a1097b397afbeb8c706d","2012-03-09 21:43:56+03:30","+ README.md
"
"627c630362cc0045329ef45181f364059f593a50","2012-03-09 21:59:07+03:30","A bit cleanup/mod.
"
"624a16d30e4a8710f37d7fb09b5194bb1453b2ce","2012-03-09 22:07:33+03:30","+
"
"fabf30d3f85d737e11884926764f42eaa70c40df","2012-03-09 22:08:46+03:30","+
"
"016899c5ab2f547eefcda14adfcfe9a774b90145","2012-03-10 17:44:52+03:30","Adding arabic-indic numeral for Islamic Calendar
"
"05c64b565043d1660b81b9b1ff2a7617f9ba0769","2012-03-10 17:54:57+03:30","* From previous commit: adding 1min update for gadget.
* Removing styles.xml file.
* Adding Persian translation for program title.
"
"214434561a8f19024873a868da1dfc89e250762d","2012-03-10 18:29:23+03:30","little mod.
"
"859809a9b158ed6ce3ebead975524c3ac57d46f8","2012-03-10 22:00:19+03:30","+ Adding slide support for switch months
"
"81b5ddc6673add0d6f59d7ce9b301a895b7a8c10","2012-03-10 22:02:49+03:30","Version 1.1
"
"e0032a0a0b4f102a3abf1c609e339baa0eaf0fac","2012-03-11 05:21:30+03:30","+ Animation on sliding
"
"d68c63e355741bb009e1f316c18d824007d3bbeb","2012-03-11 05:22:43+03:30","1.2
"
"3c8c9220e26963372f571a16b431fbe519972b0b","2012-03-11 06:36:21+03:30","+
"
"146b7872d28d3be71353d1bee163bdf401e36dce","2012-03-11 19:29:32+03:30","Holidays implementing, 1.3
"
"5258cb9e3ebf5a55ac04171454f4a931227c66ae","2012-03-11 21:34:12+03:30","moving holidays to xml, adding 1391 holidays
"
"8817418ce4ef652eb205c139228f23bd4098d56e","2012-03-11 22:11:25+03:30","Adding 1x1 widget
"
"cc72d0eec3d09c634bf2eb756f22916ae8180a7a","2012-03-11 22:13:01+03:30","V1.5
"
"ed1ada477013e8cf261eac82db1750e292770545","2012-03-11 23:16:52+03:30","1.6 & menu resource
"
"7620af694b781f994416a745d1d32a37e6985499","2012-03-12 12:05:53+03:30","Cleanup
"
