"commit id","commit date","commit message"
"5b2aa8f5447336032cfc791873ca60a9a6a22d36","2016-02-29 11:27:39+03:30","Minor formatting things
"
"17b5d976904087b9241d2d0833f34a8847a83eb2","2016-02-29 16:28:30+03:30","Hopefully fix locale set issue by using activity context instead app context
"
"aea45ecb7a3f565251156893e2bd32cca61e7514","2016-02-29 16:34:28+03:30","Revert 'Revert upgrade of compat library and real vector drawable use due to a bug'

Hopefully this now works without an issue

This reverts commit f700afa95d86ceea25ef456defee252be4f84802.
"
"7e856bfa4d31eae11cdbc58b78b5f08208239a05","2016-02-29 17:46:14+03:30","Make synthetic RTL table to fix calendar view issue on old devices
"
"2cb7d25cc6f53f1983c7c945e5ac93a52de53929","2016-02-29 18:12:46+03:30","Fix getItemCount for months with 7 rows
"
"9d9b8d116f685c782ddcaa95e44f03cf8d121e8a","2016-02-29 18:42:10+03:30","Center align for days in gridlayout
"
"f0892f2fc679c9e08e03d347abc35e7aeaa406d5","2016-02-29 18:45:26+03:30","Use gradle 2.11
"
"8d6ada70c4dbb610136112447181296c7e613113","2016-02-29 19:29:37+03:30","Revert 'Revert 'Revert upgrade of compat library and real vector drawable use due to a bug''

Due to a bug of new compat on preference on old devices

This reverts commit aea45ecb7a3f565251156893e2bd32cca61e7514.
"
"1c1c891df6d2ea2d66c77c8855062aa40b5867c2","2016-02-29 23:56:33+03:30","Set context language every time! Just like before 8b2627c
"
"25032b807942b418fdb68541e83790132ba45a4a","2016-03-01 00:04:34+03:30","Just a little formatting
"
"8435ec45eae04727ffe179b4282795895639caec","2016-03-01 07:03:04+03:30","Lets enable rotation again, it doesn't seem main issues it used to have anymore
"
"7ffdb3bc8db65fdb411e6b8eccb85f97b67b6286","2016-03-01 13:12:34+03:30","Respect device font setting and don't override it
"
"94dea99d325219dcaac9868116e6056e98df4746","2016-03-01 13:43:45+03:30","Make various places of the app font size dependent by using sp over dp
"
"3ecd6a296e514b56754b34b1764c21397dd4b258","2016-03-01 14:16:51+03:30","Support 'more' button on pray time list on old devices
"
"3fe52865e55d5da27283fca1767bdea95e66dfc5","2016-03-01 14:52:26+03:30","Update credits
"
"699553535b910bcde0abd785c10a227fd8fee006","2016-03-01 15:05:18+03:30","'Linkify' credits links
"
"a5c3fc6bb5df8ad66867ef330db50da71a0e4505","2016-03-01 15:11:32+03:30","Minor
"
"88edc881219635f31248fbb8c02c45c58aa09081","2016-03-01 16:02:54+03:30","Add color to notification bar
"
"32fc78346a7d77f8cee78877249db4ee10dafde7","2016-03-01 22:06:53+03:30","v5.0.3
"
