"commit id","commit date","commit message"
"40bc92fa84f44522deb8a20bf06565c2e277cdcb","2014-01-04 14:52:04-07:00","Fixing rendering of dice icon.
"
"25896539020274ffa859b7249c2b3627253f988f","2014-01-04 19:47:15-07:00","Adding initial Android app sources.
"
"74f57018fcc3f7c44a1d52ef4ad2480c2fea14e5","2014-01-04 19:51:31-07:00","Fixing warnings in Android app.
"
"141750632c9703ed7d473033b538863a0ae5d933","2014-01-04 22:51:31-07:00","Adding dice selection to Android app.
"
"d64be745c7c0ac4e514358bf4f8f9ce3fa65fac1","2014-01-05 00:08:46-07:00","Implementing rolling, reset, and adding dice in Android App.
"
"a64b639388e1a8513e3ffbd7f117f7ce00df199b","2014-01-05 00:19:13-07:00","Tweaking Android layout.
"
"4ce987392851e7fe9be601f7bc7d7ce483386e84","2014-01-05 01:55:46-07:00","Tweaking the Android logo and icon.
"
"31772ee4433612de8b83ac67f53b93732ae82e8e","2014-01-05 02:57:55-07:00","Tweaking background colours in Android app.
"
"4a5d474a43c48a8d4000152cd584ff0fcf1d1141","2014-01-05 03:13:31-07:00","Layout tweaks in Android app.
"
"8f47f84603932626b64c89c72af050878b56a397","2014-01-05 15:24:57-07:00","Adding die model tests to Android app.
"
"cc80d3b78edc7e4446badcd919350c9a06d94896","2014-01-05 15:36:41-07:00","Implementing die hand summation in the Android model.
"
"4c1edc8e782ac6b7b259c9c43298d4837de386e4","2014-01-05 15:50:30-07:00","Implementing showing the die sum in the Android app.
"
"75d339e9bddd9395746e2dd7053ea87f713f8f0d","2014-01-05 15:51:48-07:00","Removing a defunct menu item.
"
"f1525d1f7093b288f13ef29c752fa91ac8f0057e","2014-01-05 16:14:11-07:00","Adding a few translations to the Android app.
"
"25b33e4a28e8ec19f291f9431035a7575e0da371","2014-01-05 17:30:57-07:00","Moving iOS sources into a sub-directory.
"
"b26e084e2fb86f56b1bb6b1efd5abc59977256ba","2014-01-05 22:14:16-07:00","Setting Android version number.
"
"062cfc562dd2da4a96604d7ac81a6e92a778355e","2014-01-05 22:19:24-07:00","Fixing warnings.
"
"703813f666e8d10cdf32b5796b92c03af9f11616","2014-01-06 20:30:27-07:00","Updating the README description.
"
"e07b15b77b44a2348328dc3a7a1777a7f3432c10","2014-01-06 20:30:46-07:00","Implementing re-rolling a subset of dice.
"
"175e4617281066c6548b5cc93b5e3c992d5c9df9","2014-01-06 20:32:36-07:00","Incrementing the Android version code.
"
"a8fd75487ac4241564f1c5ba13316bb7a7c912cc","2014-01-07 19:56:33-07:00","Loading correct matching d10x10 images.
"
"30afd316871d2a6ccd14cbe1d3a26c75c95cdfdc","2014-01-07 20:09:23-07:00","Implementing equality comparison on DieHand
"
"954c50f69b71f32413d711019d21a888f876be8b","2014-01-07 20:13:56-07:00","Implementing hashCode()
"
"7dd688f6527ac0e812d7755ca817dc9d9a060bf1","2014-01-07 20:58:20-07:00","Preventing reload when rotating.
"
"9f2bff06a7a58cd79391698190ab9f7b8f1303a3","2014-01-07 20:59:33-07:00","Implementing serialization for Die models.
"
"f3687629f363789e44070877b10635add75055d7","2014-01-08 20:10:38-07:00","Fixing errors in saving the dice.
"
"eb1e741871970902942abbe285f06d1a52f41b82","2014-01-28 22:17:10-07:00","Setting up dice for banner images.
"
"178a6b803cc243224264526a51278d93c3ba99ae","2014-01-29 19:25:54-07:00","Automating dice assets rendering.
"
"ff954f8d65483ade03cd4eeb5a1a025ad0563f4b","2014-01-29 20:02:38-07:00","Applying the GPL licence to all source code and assets.
"
"19876866a9d3ab7fee99ac7371b12c4ae70c41a8","2014-01-29 21:14:28-07:00","Adding about dialog with copyright and licence information.
"
"9b57776d2f00b87218d15cfccbb1a094296b8565","2014-01-29 22:58:28-07:00","Formatting GPL section headers.
"
"23d4b1b4c2db9db04badd79cf7abedae9e806907","2014-01-29 22:58:43-07:00","Incrementing the Android version number.
"
