"commit id","commit date","commit message"
"736db9e3143ad9b7171bff842254af911fe6b299","2015-12-09 20:31:26+01:00","Czech translation update
for Easy_xkcd
"
"1955eb8167e9e81416e2d3394afafe58abc2f8c0","2015-12-09 20:35:09+01:00","remoted non-translatable strings
"
"6ee21ed61061b14c04014f71ca7e34b9863ded4b","2015-12-09 21:42:25+01:00","Merge pull request #35 from svetlemodry/master

translation update
"
"63da8f5cc3773d35c78a6129125cc633af20ddf7","2015-12-10 10:47:12+01:00","Added 'Open in browser' option to the comic browser
"
"0fc3e4bffb417fe15486f1a16c42451dda843145","2015-12-10 10:57:30+01:00","added default zoom customization, fixed vibration
"
"cd63975929c583047e0d3f9eb44e4c43d87c7257","2015-12-10 11:28:28+01:00","Merge pull request #36 from 42SK/master

Added 'Open in browser' option to the comic browser
"
"27e2a17e4b52c43c9d954eca0793458b3ecf8851","2015-12-10 11:29:51+01:00","Merge remote-tracking branch 'origin/master'
"
"f2d765af6d96421fa8e4932d7fc723b30f0f2dec","2015-12-10 13:06:41+01:00","Added new Options to the options menu in the FavoritesFragment and the OfflineFragment
"
"e724229c7d6746761bdc3df54ffb9bb5066c624f","2015-12-10 16:57:33+01:00","Merge pull request #37 from 42SK/master

Added new Options to the options menu in the FavoritesFragment and the OfflineFragment
"
"5e98f3e1d53e18295342638e7c631ef39af0c0d9","2015-12-10 16:57:51+01:00","Merge remote-tracking branch 'origin/master'
"
"6d913345293d20531fb24b82322d5b086514b576","2015-12-10 17:07:55+01:00","moved some duplicate methods to MainActivity
"
"597e32f137142c9ddf90d5f2303c95e9dc0f16c2","2015-12-13 12:23:12+01:00","added new overview style, fixing #34
"
