"commit id","commit date","commit message"
"57153052e77b7b97a3c013bf2fe46565540bfe78","2012-12-04 12:03:58-08:00","Import translations. DO NOT MERGE

Change-Id: I753684fc5ce8bbfbda755ddda52ce6a7cfb97d73
Auto-generated-cl: translation import
"
"4440da36dfb68875f6ac1d0e33b4222bec80132c","2012-12-04 12:04:50-08:00","Import translations. DO NOT MERGE

Change-Id: I0af22252f0aa654ebda0424eeda994a50345b08e
Auto-generated-cl: translation import
"
"65a98ff630a601e4dc26855a51736ae0734b99e0","2012-12-04 12:15:42-08:00","am 57153052: Import translations. DO NOT MERGE

* commit '57153052e77b7b97a3c013bf2fe46565540bfe78':
Import translations. DO NOT MERGE
"
"72d1d73a9b5b6f776d7294f4f83bcc1cfdfac4d9","2012-11-20 07:16:14-08:00","Remove vibrate-on-silent-mode per UX

Also show current ringtone (6265196)

Cherry-picked from
https://googleplex-android-review.googlesource.com/#/c/253780/
https://googleplex-android-review.googlesource.com/#/c/253801/

Bug: 7631982
Bug: 6265196
Change-Id: I7a9212d8672a225ab95c0fa2973ae616b393f005
"
"328417ff78740d7178b50030ba73915c8094caeb","2012-12-06 08:32:30-08:00","Import translations. DO NOT MERGE

Change-Id: Ia5ef18a1d80ad6c5b19b69c80eccc58e738050b1
Auto-generated-cl: translation import
"
"2c6ac828a5a6107390d5061471a9c947a494b9bf","2013-01-02 11:07:02-08:00","Import translations. DO NOT MERGE

Change-Id: Ibc3525697b2aca2fb71b56191fc1ac03bebb52ad
Auto-generated-cl: translation import
"
"5bd22f8ca0a59438d3ae5d346478829031066b45","2013-01-12 18:32:29+02:00","Calendar: Fix a typo

Change-Id: I7329a621046c6ee8967bdac3fa7208c082ea5e14
"
"8c5754cca3f78f4fe8fad336f7a7192231fb51b2","2013-02-13 00:32:45-08:00","Merge tag 'android-4.2.2_r1' of https://android.googlesource.com/platform/packages/apps/Calendar into 1.1

Android 4.2.2 release 1

Conflicts:
res/values-nl/strings.xml

Change-Id: I34dffaec7b7eacd428d7546c03a7f5f1b49700ea
"
"a173206c3316054afeb575ca72d6c2ce9f7aeb34","2013-01-21 15:28:44+01:00","Allow configuring the delay for snoozing calendar reminders.

This allows both configuring the default snooze delay as well as ask for
the delay whenever snoozing a reminder.

Change-Id: Ib875c231535ff4f53dc7c97dd15a6a4b29f48fba
"
"a23be542abdcceb2905065062db6e5f554bcf17d","2013-02-24 11:24:12+01:00","Calendar: Update italian translation

Change-Id: Ia5790e4f85c76906910cad96eba34e08ff8f2157
"
"29fa74f5261f958b400cd4598e95204cc5b463a5","2013-02-23 14:52:38+01:00","Added hungarian translation for snoozing calendar reminders

Change-Id: Id1d9506f7d320eb66e058fb2b130d146114913a1
"
"042e7311261b21a3a955817a1892730e9f7046e8","2013-02-23 20:27:25-08:00","PT-BR: Update translations

Change-Id: Ia14665cbe0eddc0568fe75bbe5a209c24a338f61
"
"0d6b76469d8991e68a6e7656424c958a50b69f4b","2013-02-22 21:09:18+01:00","es_ES: Added spanish translations

- PatchSet 3: Rebased
- PatchSet 4: Some changes
- PatchSet 5: Fit strings

Change-Id: I854c2d3ef4f4fd083e03ea2442df75cd69fe6306
"
"092ee6c36f792a2953669b39e61687ac39bf49ac","2013-02-27 09:18:23-08:00","Merge 'PT-BR: Update translations' into cm-10.1
"
"5a4d4c379354aaff846cd92b1592d9ff6239642d","2013-02-27 09:20:54-08:00","Merge 'es_ES: Added spanish translations' into cm-10.1
"
"e2e2c64f8f11586d3a8613eac33523cf70020d17","2013-02-27 09:51:30-08:00","Merge 'Calendar: Update italian translation' into cm-10.1
"
"c46e48c7f56ea41ac157a7c48269b81c77c33964","2013-02-26 11:33:45+04:00","Update Russian Translation-Calendar-CM10.1

Update Russian Translation-Calendar-CM10.1
"
