"commit id","commit date","commit message"
"fdd5c4f526ea6da9fa509c86cbb7c7a044c7e1d2","2011-07-22 23:14:52+01:00","exception processing fixes
"
"ab0f51bda761036391c2408bb9f96354651aef58","2011-07-23 00:01:58+01:00","fixed ClassCastException

Conflicts:

AndroidManifest.xml
"
"0defdc0df36121d052933bf69d31b48c54f21796","2011-07-23 01:26:38+01:00","lower priority for library building
"
"334a3a187104cfcfa4f42f5bb5591486e2e8f286","2011-07-23 01:29:32+01:00","non-exclusive transaction
"
"b924f869ce157cbb5bd116a567d85ea5bc6bc915","2011-07-23 02:56:55+01:00","fixed several exceptions
"
"6519c7194aa6caaf3db04459f1f3c6658ccef4a0","2011-07-23 03:21:59+01:00","fixed possible NPE
"
"066c82bf2da441f2449a61c4b09ed5f480dfb170","2011-07-23 03:30:30+01:00","updated version number
"
"623e85010c49a126575f89764a74f4fed7b6c7bd","2011-07-23 03:35:18+01:00","updated version id
"
"d71d55e1da160f7df056c8584ca92e2b831a65bb","2011-07-23 03:37:35+01:00","updated version id
"
"724d6fd313496549f62a1a26c5b655b1ab08325e","2011-07-23 10:57:23+01:00","another solution for executeAsATransaction
"
"7ce30a4ed51772f1d33a6d73a839ce5c1b6baa25","2011-07-23 12:22:32+01:00","no obfuscationg for exceptions; 1.1.8
"
"7121f751c1aac2b2e0138c0faf5f12eaa35ab6c3","2011-07-23 19:56:37+01:00","extra synchronization
"
"0b87a14c8c8b4f005b5b30a84fe0be330df315f3","2011-07-23 22:52:01+01:00","updated ChangeLog
"
