"commit id","commit date","commit message"
"0d97ee29e6d9a03474d71ece995eeaf8f70bebe2","2013-03-24 16:47:37+04:00","version number => 1.7.9
"
"746cea9ec790207bfd68edfb781c0da5ca4a2fb7","2013-03-24 16:48:18+04:00","Merge branch 'master' into ice-cream-sandwich

Conflicts:
AndroidManifest.xml
"
"4f3e8c4c9ad8c3cd702cb7d69cf28b5b12ce86dc","2013-04-08 02:40:01+04:00","updated Georgian localization
"
"c05bc03d326c46056f38b43711327651a2cf5a67","2013-04-08 02:41:24+04:00","request query (in progress)
"
"20b448e46b6ad8fcbfccae16432a6428b529f831","2013-04-08 02:42:52+04:00","Merge branch 'master' into ice-cream-sandwich
"
"6f4345aa2afd6c169efea5df05faffb678a943ba","2013-04-08 06:20:22+04:00","clean toString() method for Book
"
"2dd0c1beddceb6f849964d3599ec1fef79e71bbd","2013-04-08 06:23:24+04:00","fixed Book object creation
"
"1f39c54a1132d0a1a7dcf6891f0c427156ff9c06","2013-04-09 11:30:00+04:00","Fixed Ukrainian hyphenations
"
"ad8de144ef5caf3b819a21ca046b5dabdf5eeee0","2013-04-12 21:10:54+04:00","Merge branch 'master' into query
"
"1c706249a7e73b2f3afdf8eef649cefa7cc84925","2013-04-13 12:32:48+03:00","query serialization/deserialization (in progress)
"
"79446eb6eac9fd635807612295ebde253b955c96","2013-04-13 12:39:58+03:00","query deserialization (in progress)
"
"e649fc8602acab53c99bc1eb77002beeb4185038","2013-04-20 14:11:44+02:00","filter serialization/deserialization (in progress)
"
"ca05831487c086b66e72aa58242278efed984bcf","2013-04-20 18:03:06+02:00","fixed missing paragraph issue
"
"e9738a2617f2205ce05dc1b6f794c63289c8c8ce","2013-04-20 18:03:31+02:00","Merge branch 'master' into ice-cream-sandwich
"
"72ea9adbf687d04642e47bbda8d6a0d6d030fc00","2013-04-20 18:56:21+02:00","updated external library/bookmarks call logic
"
"5cc1b0e61d6b4e1d46c759cd842e67861fd52447","2013-04-20 19:00:25+02:00","Merge branch 'master' into ice-cream-sandwich
"
"a0a3d9f937d61cea2136ce0719862dc2ed71b23c","2013-04-21 01:38:14+02:00","Merge branch 'master' into query
"
"11c614a6447c6a7e6aaf5bb700fbfe662d07b14f","2013-04-21 05:22:27+02:00","first usages of filters: by series & by author
"
"2747d2374b1aa549f0cd1b3e5747705debf60431","2013-04-21 05:37:18+02:00","more filter usages: IBookCollection.titles() method
"
"574545e448a9ef4e094b4767955127fe5dd2ee5b","2013-04-21 05:56:22+02:00","FilteredTree
"
"9d4d56c55977c61fcf47529e179e262ec834811f","2013-04-21 06:20:31+02:00","Filter.ByTitlePrefix
"
"e011102b65372fd327cf8f93c943bd6cd7523700","2013-04-21 06:28:36+02:00","Filter.ByTag (in progress)
"
"a4088f6f571c65e94ec0ebd3cda2ea92cf08f41a","2013-04-21 06:50:56+02:00","book for pattern
"
"df343b98eec9d12aca6e6d31fde291c3a18ba463","2013-04-21 11:57:13+02:00","Filter.ByTag
"
"d4ff1669a65895ecfd239b0bf44f8cee7b341030","2013-04-21 15:50:19+02:00","query parameters (limit, page) transfer
"
"17748319542d470e06e95127d26aa5d6501a41b9","2013-04-21 16:08:18+02:00","query usages
"
"87eb3a9726772a42491cf6c2fc888d79e7cbf7eb","2013-04-21 16:32:50+02:00","and/or filters support
"
"9e74a54242c5fe926bc2c2c74ac76f21e0dbb9d3","2013-04-21 16:33:19+02:00","Merge branch 'master' into ice-cream-sandwich
"
"6696447327c9abf695d3c3fd1fcaaa0dbe430c32","2013-04-21 21:49:41+02:00","labels work as other book properties
"
"84bc24cad201e2a5d6584eac3df342fc9e45f27c","2013-04-21 21:55:11+02:00","TODO
"
"c25dc638e78487f91541d0cf89414216bd4dceea","2013-04-21 21:55:28+02:00","Merge branch 'master' into ice-cream-sandwich
"
"9a8e964e8f10c656b81d17eb694ca6406807b298","2013-04-22 10:46:37+02:00","code simplification
"
"4b08b89db721ddea6a32d7ed9d715194f5f5ba0e","2013-04-22 10:46:58+02:00","Merge branch 'master' into ice-cream-sandwich
"
"e8c4e6d967471940abf1ea49d57186562440f52b","2013-04-22 10:54:14+02:00","Query -> BookQuery
"
"7808a7e1050c5de32b15d585314292157bf400d4","2013-04-22 15:07:37+02:00","BookmarkQuery
"
"da5477b6b52779bc1f2103ae59f6741d093f4b99","2013-04-22 15:08:55+02:00","Merge branch 'master' into ice-cream-sandwich
"
"be2c7a90a6aa22e3fbc403ab25f7ec3ffdb0bdfe","2013-04-22 16:53:03+02:00","Filter.HasBookmark + fixed book loading
"
"26ae93e04f24587b67cdfb503fa2a0e898abbf10","2013-04-22 16:54:18+02:00","Merge branch 'master' into ice-cream-sandwich
"
"81fc594b1f31d4b0c3d905f789d78b22cb376f65","2013-04-22 18:13:27+02:00","dummy hyphenation patterns for Georgian
"
"43022710b0dffbabefec4eed797500460f68fd02","2013-04-22 18:14:02+02:00","Merge branch 'master' into ice-cream-sandwich
"
"c7f57dac23190d52dc4c6180159d0b6a48f2546f","2013-04-22 18:16:51+02:00","updated ChangeLog
"
"f9382fd898b4ee7920baf2fa7d2a58fa8a6ada01","2013-04-22 19:00:11+02:00","copy HasBookmark field in book update
"
"8c1c4ff9043e08a642a179f36866ae1d37086c13","2013-04-22 19:00:53+02:00","Merge branch 'master' into ice-cream-sandwich
"
"fecfdae1c3712154853479d4a322017d6bd41ab2","2013-04-22 23:38:46+02:00","restart main activity on language change
"
"38e73da1a99a8ea01cad8d0a5626cfb41289b348","2013-04-22 23:41:46+02:00","Merge branch 'master' into ice-cream-sandwich

Conflicts:
src/org/geometerplus/android/fbreader/FBReader.java
"
"68c34b9da86ce7541b9d7ac96b163fafeecca80d","2013-04-22 23:54:02+02:00","formatting
"
"3cf30d95d1e98c8f0c0d1562ef65187e4a4f4ef2","2013-04-22 23:55:20+02:00","Merge branch 'master' into ice-cream-sandwich

Conflicts:
src/org/geometerplus/android/fbreader/FBReader.java
"
"738779ad68859d0188aae79a0d8f091fb2c111e8","2013-04-23 00:00:39+02:00","formatting
"
"936f38f03eee939875086af4467700dc37906e46","2013-04-23 00:00:50+02:00","Merge branch 'master' into ice-cream-sandwich
"
"e8faff76880f5d88d85968eeb965a17fd67ca7b5","2013-04-23 01:25:08+02:00","immediately updates interface language after changing preference
"
"da91d644cd16e98f1f08f29665b8df58830a4341","2013-04-23 01:48:16+02:00","Merge branch 'master' into ice-cream-sandwich

Conflicts:
src/org/geometerplus/android/fbreader/FBReader.java
"
"65073e985c77d26406f5928fa8911b1541caf610","2013-04-23 01:59:33+02:00","updated release date
"
"7a5e41edb7f908a29402f5944507ea44f144a50b","2013-04-23 01:59:48+02:00","Merge branch 'master' into ice-cream-sandwich
"
"10c69057bb9fb4384d86920f62f4de86c1b012c3","2013-04-23 10:16:23+02:00","'add/remove book to/from favorites' items in BookInfoActivity menu
"
"f6f1dff23a9960a9ec1129666c9b4e70d13b40fb","2013-04-23 10:16:23+02:00","'add/remove book to/from favorites' items in BookInfoActivity menu

Conflicts:
src/org/geometerplus/android/fbreader/library/BookInfoActivity.java
"
"d0eddaffd4575075033683d851a1aec9cec40120","2013-04-23 10:27:40+02:00","Merge branch 'master' into ice-cream-sandwich
"
"bbf11cd019cbe51443a61dfb8413b9c54e6e07b8","2013-04-23 10:44:58+02:00","decreased font size
"
"820f88d1d905b116d9cea1dc8da1e139d5fb2e35","2013-04-23 10:45:27+02:00","Merge branch 'master' into ice-cream-sandwich
"
"3e16711ee24aa9a4b35999474684060bd96863bc","2013-04-23 11:04:44+02:00","same layout for local & network library items
"
"3fbcd5d9e96333178c7e48488bf47e7cfc997831","2013-04-23 11:05:20+02:00","Merge branch 'master' into ice-cream-sandwich
"
"c135ab6cd7124d210a866439895ab778718f101a","2013-04-23 13:28:05+02:00","read/unread mark
"
"f29b5281ca2ade6ef395ee2da3ddf18b2fe89e61","2013-04-23 13:28:05+02:00","read/unread mark

Conflicts:
src/org/geometerplus/android/fbreader/library/BookInfoActivity.java
"
"14dfd171c46d841f8dea652ab7ffa8673ddcd64d","2013-04-23 13:29:41+02:00","Merge branch 'master' into ice-cream-sandwich
"
"9e4c9c82fc70424d6207b234b5b4bbd31cc89546","2013-04-23 13:30:07+02:00","updated ChangeLog
"
"7156b9cca2fff2aec5c5602e9b94e8b221b21724","2013-04-23 13:30:15+02:00","Merge branch 'master' into ice-cream-sandwich
"
"1f412fad71c9489efd6f4896a61a4d21d9e08242","2013-04-23 13:45:05+02:00","mark book as read on open
"
"7700f15c18ee4fff2fcdf68e0257562e6cb28432","2013-04-23 13:45:26+02:00","Merge branch 'master' into ice-cream-sandwich
"
