"commit id","commit date","commit message"
"342c46b8b5e7687dca90ba2d9bb39c809c6fd031","2014-11-03 11:30:44+01:00","Merge branch 'master' into covers_sync
"
"0c74886fd81b8d800827c610417355747c2aeaab","2014-11-03 11:44:59+01:00","code cleanup
"
"27e76123d9f5cbc8f7ac2bba03e6cc5fb1b58f12","2014-11-03 16:20:34+01:00","CoverSynchronised event has gone
"
"06f51d45e6c4ceef01c03d2b1e7fca0bbe9434af","2014-11-03 16:21:03+01:00","Merge branch 'master' into covers_sync
"
"e4a6be131d258fa99b39afc8788bfc171b2dc7cc","2014-11-03 17:01:13+01:00","CoverSynchronised event has gone
"
"351548fdcd10cb290927ae91efd703d2827730bd","2014-11-03 22:13:16+00:00","better in-book link processing
"
"a5a1b9bce0430cdc239739ad30a4cabe831d075f","2014-11-03 22:13:37+00:00","Merge branch 'master' into ice-cream-sandwich
"
"d558edb300af13ec6556121a6c406aeadeff9226","2014-11-03 22:13:38+00:00","Merge branch 'ice-cream-sandwich' into yota2
"
"d326ffc6fded08e74c7db42960bedd95d1ee3518","2014-11-03 22:16:39+00:00","Merge branch 'master' into covers_sync
"
"123cfd62e4cc18a6881a312ecbe535fca577b94d","2014-11-03 22:28:57+00:00","code cleanup
"
"51661fe5ea8cedf0e1ec96dcaa5d56bc39a3d095","2014-11-03 22:29:29+00:00","String => Long
"
"645d2b1ccf103d3c984a3c91573e3066a56a7bd2","2014-11-03 22:33:30+00:00","Merge branch 'covers_sync'
"
"9cedfb97c1bfafe135b97b2079bfe1ad00649618","2014-11-03 22:33:57+00:00","Merge branch 'master' into ice-cream-sandwich
"
"a2f7e3cdf735d8d1725ce82d0616455e007a3d4a","2014-11-03 22:33:58+00:00","Merge branch 'ice-cream-sandwich' into yota2
"
"f62977474b1f3737d40b7b80d8503e0c634587c9","2014-11-04 01:00:06+00:00","better network library initialization error processing
"
"cdbd9b22c709e89ee13ca06adaebeaeb88683e8d","2014-11-04 01:00:06+00:00","better network library initialization error processing
"
"eb059fa7f5f3a4670117350bd64ee5c26dc15562","2014-11-04 01:00:48+00:00","Merge branch 'master' into ice-cream-sandwich
"
