"commit id","commit date","commit message"
"71f23bfbcdf21a8e7d97670738a477a15bde5b01","2015-02-02 22:09:18+00:00","update ChangeLog
"
"c641ffb33fcb5e52357016745082712326e751e8","2015-02-02 22:11:40+00:00","Merge branch 'master' into lr
"
"a578a684ae8cbee33f0b4a0e3be088243df70b4c","2015-02-03 00:09:10+00:00","version => 2.2.8
"
"7d428f0ca0378923cc5dfa653ce528f811d83a6d","2015-02-03 00:09:50+00:00","Merge branch 'master' into lr
"
"92ff1c7ec70789368f852d428edcf2cc6524e1ee","2015-02-04 06:19:18+00:00","Bookshelf plugin reference in library view
"
"ede6d98e7480fb69dd2d427bc51874a06421d922","2015-02-04 06:29:47+00:00","Merge branch 'master' into lr
"
"b763d7fa61288d9b4c898d42498436cb545235e4","2015-02-04 06:32:09+00:00","VERSION => 2.3
"
"4b9d76046b93513bd983adac48c954bbf101ff30","2015-02-04 06:33:27+00:00","Merge branch 'master' into lr
"
"e46b12d2f280a7c23ec94b9ef29a3d1cdfe7630e","2015-02-06 14:17:23+03:30","complate translate to persian

fuly translate for persian people hope this program support rtl languages like farsi.
"
"432b436fafb45de178d20de82172f1d2808e2609","2015-02-06 14:20:53+03:30","complate translate to persian

fuly translate to persian language hope fbreader support rtl languages like farsi.
"
"b08521e1e05a87486d2f4691c9158ad03690e4f9","2015-02-06 14:24:33+03:30","complate translate to persian

fuly translate to persian.hope fbreader support rtl languages like farsi.
"
"6e819a46c429121ece985017c908af5663658930","2015-02-06 14:25:28+03:30","Delete README.md
"
"da2cd338312073f669dd439b6d4b199af7225a51","2015-02-11 01:50:52+00:00","extra NPE protection
"
"a163e5c4fb23e881585207e3bc91a1d8c15b7444","2015-02-11 01:51:06+00:00","Merge branch 'master' into lr
"
"2ae31d03dca4c08c82d652e9b65a663086de1a9c","2015-02-12 02:44:20+00:00","supported formats list (in progress)
"
"bfc30e3fa33ee1d7f65ae848b0c6c1e37d2fb35c","2015-02-12 03:00:10+00:00","Merge branch 'master' into lr
"
"76668d356f3efc582fb1cc2c097b8c82f66fb504","2015-02-13 04:35:11+00:00","switch off wakelock in onPause()
"
"a725008af9c28a32397929291d2496480deab4eb","2015-02-13 06:43:45+00:00","rollback: useless change
"
"949eda31ba1f37824f24b13ba8fbfd16393ce103","2015-02-13 07:40:46+00:00","new style format info + functional interface for all list calls in BookCollectionShadow
"
"60e41f51d06dc4b2ed3078b282a13899fd929d98","2015-02-13 07:43:57+00:00","Merge branch 'master' into lr
"
"b493424bf21ef7d932302359f74551753aa9046d","2015-02-13 08:39:28+00:00","cleanup
"
"0f5039ff36d9609aaede097670abe0a6805fccdf","2015-02-13 08:59:49+00:00","file type names
"
"e4a6430f082278e619b0fe1060eece5604a9fca2","2015-02-13 09:02:49+00:00","Merge branch 'master' into lr
"
"983d002090203ad5562460429f10ed0febd22622","2015-02-14 03:19:42+00:00","BookCollection.isFormatActive()
"
"fa285b6bb3a519113d19699be21e181ed41cf527","2015-02-14 03:20:06+00:00","Merge branch 'master' into lr
"
"e0c3e479335479a84af97290ef2906c66e879fbe","2015-02-14 05:41:21+00:00","saves list of active plugins
"
"fe398341c7e2498a962ecabe60a0e6dbd25a2c83","2015-02-14 05:42:36+00:00","updated ChangeLog
"
"fb9815cd88f4419bab0ffb11b1d714a5299ea469","2015-02-14 05:42:49+00:00","Merge branch 'master' into lr
"
"9813095140fbe72361fbc9b04c63c7bc428d37b1","2015-02-14 06:00:05+00:00","Merge pull request #292 from biomanw/new

complete translate to persian.
"
