"commit id","commit date","commit message"
"34b2728cd2fbcaa4307545d61b4cdc1e6f29019e","2015-07-24 01:58:36+01:00","Merge branch 'yota2' into 2.6
"
"4b3acbee185750027939c97e11029aba0a1eb043","2015-07-24 02:03:53+01:00","merged zoom in/out options
"
"4bf63c5e358d31a2d15bb4886a45ef4616677495","2015-07-24 02:11:17+01:00","Merge pull request #348 from Trottel/patch-35

Update cs.xml
"
"5752bf11f09165d91a4654771dcf8071afdcbada","2015-07-24 02:11:34+01:00","i18n
"
"a53248454c8298c09e59adedea86fc890283279d","2015-07-24 02:12:26+01:00","Merge branch 'master' into ice-cream-sandwich
"
"94e49d0efc143dd918982e79c96a2d33bb49b041","2015-07-24 02:12:26+01:00","Merge branch 'ice-cream-sandwich' into yota2
"
"2971a8dbf12bef8a4e7f77925ddafccd6427493c","2015-07-24 02:13:38+01:00","Merge branch 'yota2' into 2.6
"
"1ef04a22ed8b010d85559d7a1bc34fcb87b80ba4","2015-07-24 02:11:34+01:00","i18n
"
"826a1724e13b79f3cbe98695a226eea654ece3d4","2015-07-26 13:20:24+01:00","Merge branch 'master' into ice-cream-sandwich
"
"af8a0f5844be706b710d70dffdb8d9f1345c6278","2015-07-26 13:20:25+01:00","Merge branch 'ice-cream-sandwich' into yota2
"
"657aff9aa1aad9fc65e3e8a8787f3415a72d3c17","2015-07-26 13:20:44+01:00","Merge branch 'yota2' into 2.6
"
"507adc7943a3b8e81a09f6c9959788f20540be1e","2015-07-26 20:51:24+01:00","fixed possible crash in zip decompressing
"
"1e5bd5bdddce5bc79e43940477df7bffc5e380fc","2015-07-26 20:51:44+01:00","fixed possible NPE
"
"4df5f2b697e094ff9aa150d3b23302c860eb02fb","2015-07-26 20:53:00+01:00","updated ChangeLog
"
"a12a4cb32cca39ee0e577e580d795ed29243ae27","2015-07-26 20:53:09+01:00","Merge branch 'master' into ice-cream-sandwich
"
"80845c2b658d407c8a4eb67780be0e52295f18bf","2015-07-26 20:53:10+01:00","Merge branch 'ice-cream-sandwich' into yota2
"
"9cfadb4e2792d05cb5e6a4aa062afbb65cd76950","2015-07-27 18:20:09+01:00","updated resources + resource renaming
"
"24de029166d5cc8357b304e2fbdd33e39b143a4a","2015-07-27 18:20:27+01:00","Merge branch 'master' into ice-cream-sandwich
"
"7e0fcc1d531106290d0877fa53b9743448350436","2015-07-27 18:20:27+01:00","Merge branch 'ice-cream-sandwich' into yota2
"
"c185d4e97511784b5e079f37665014f7b1df9c75","2015-07-27 18:44:14+01:00","new (premium) option
"
"8d1668f6a094a6aa643ab0a0a5fc282f764228ad","2015-07-27 18:44:26+01:00","Merge branch 'master' into ice-cream-sandwich
"
"930f1e1cec307d4f5f8108ad864ff6309d6612c9","2015-07-27 18:44:26+01:00","Merge branch 'ice-cream-sandwich' into yota2
"
"092c42997b1d0f045dab21bc9182b7652ad84b73","2015-07-27 21:08:00+01:00","Merge branch 'yota2' into 2.6
"
"c4769ba472b4482e30127440c115f88b2c2b1d9c","2015-07-28 16:18:50+01:00","checkboxes with no resources
"
"f99a63c9bd21026a2da74a7322c4dcccce5a9437","2015-07-28 16:19:08+01:00","Merge branch 'master' into ice-cream-sandwich
"
"aa04b87d56482fea0ee698c30e8c3f37ade1af93","2015-07-28 16:19:09+01:00","Merge branch 'ice-cream-sandwich' into yota2
"
"7fa260f3ff829f41fe969eef4b628d424fae1688","2015-07-28 16:19:53+01:00","Merge branch 'yota2' into 2.6
"
"7302442028cdb4062b5fee3dadabedfc2d44c743","2015-07-28 21:15:15+01:00","no tempDirectory() call in native code
"
"c758481b3fd62b9c72c2b82a2bc7bd2b5ea2854f","2015-07-29 00:05:52+01:00","refactoring: NetworkLibrary.Instance() => Util.networkLibrary()
"
"095ae4358a946d81d17f6f50784df218b30c2aed","2015-07-29 14:37:52+01:00","sync with native changes
"
"9c3de7acbee84e02eb46cd5001aac6971986dd19","2015-07-29 15:13:38+01:00","NetworkLibrary param in Base64EncodedImage constructor
"
"110a7c5331a441172f52926f53bfad19595686b3","2015-07-29 15:18:59+01:00","Merge branch 'cdf' into cache-dir-fix
"
"8121d5c6f874aab3f0e6aaf1200540fb6066b419","2015-07-29 15:25:40+01:00","compilation issues
"
"af24211eb93aec8d0647f9a3eb722fe7dbb895a0","2015-07-30 04:32:33+01:00","Merge branch 'cache-dir-fix' into y
"
"cf13daad1cc5eb4a9926d47fecb6eab3c308925e","2015-08-05 12:00:46+01:00","SystemInfo in plugins
"
"6696752da05c43bace71a786f4a4290cf1e2712c","2015-08-05 14:57:26+01:00","Merge branch 'cache-dir-fix' into y
"
"8a0a50c35c401826f8742ea25b04fe7e4faa90a9","2015-08-05 15:08:19+01:00","new icon
"
"e8262f6450166f98eeec346f688303f4c01c8818","2015-08-05 15:12:49+01:00","Merge branch 'master' into ice-cream-sandwich
"
"b75f9740fabce9fb2cac9521cc8a2450bb0fbf78","2015-08-05 15:13:48+01:00","Merge branch 'ice-cream-sandwich' into yota2
"
"2db70efd9f5c33f2cf5c4c4ad140905f90e7b416","2015-08-05 15:14:06+01:00","imports cleanup
"
"9314a5b1d5706c287fce80561028f9994c6ba24c","2015-08-05 15:14:15+01:00","Merge branch 'ice-cream-sandwich' into yota2
"
"9659cc5798f385cc6ac77443f5d6e7b60a934189","2015-08-05 15:17:53+01:00","Merge branch 'yota2' into 2.6
"
"1bf387680240ab96960cb0fca6e67017078adedb","2015-08-05 15:17:57+01:00","Merge branch 'y' into 2.6
"
"c2a356799355905b13b5e72cc143b6fa80a31794","2015-08-05 18:48:59+02:00","removed debug printings
"
"f754f218ac7bd2832fdd23fd6de1139086967beb","2015-08-05 18:50:25+02:00","Merge branch 'master' into ice-cream-sandwich
"
"dddc1fd502772646ebdbc9b13c1560cb37f46f47","2015-08-05 18:50:25+02:00","Merge branch 'ice-cream-sandwich' into yota2
"
"20c6effd3394c517b69f573e13cb3b512820a8b6","2015-08-06 13:37:57+02:00","minor cleanups
"
"92bf3eed3ac94bf7002e0731ea285d32366dc11b","2015-08-06 13:38:11+02:00","Merge branch 'master' into ice-cream-sandwich
"
"0a4adad6163419ad4699f9f5231fcee08d3aea4d","2015-08-06 13:38:11+02:00","Merge branch 'ice-cream-sandwich' into yota2
"
"043f229b91d551123e9c18e89daf35c5d951c380","2015-08-06 13:38:23+02:00","Merge branch 'yota2' into 2.6
"
"aaaddc2782d4f68f3d11cd9342787098ef3c1198","2015-08-06 13:44:07+02:00","version number
"
"dce9a0c1356e30dd43146e908822f0f68b362113","2015-08-06 13:53:53+02:00","do not show 'buy premium' dialog if premium is already installed
"
"8d340facc5550a312c4c563da0983090121103fb","2015-08-06 13:55:16+02:00","Merge branch 'ice-cream-sandwich' into yota2
"
