"release-1.1.0","2014/07/20"
"release-1.2.0","2014/07/26"
"release-1.2.1","2014/07/26"
"release-1.2.2","2014/09/28"
"release-1.2.3","2014/10/26"
"release-1.3.0","2014/11/02"
"release-1.4.0","2014/11/23"
"release-1.4.1","2014/11/30"
"release-1.5.0","2014/12/04"
"release-1.5.1","2014/12/05"
"release-1.6.0","2014/12/06"
"release-1.6.1","2014/12/13"
"release-1.7.0","2015/06/15"
"release-1.7.1","2015/06/21"
"release-1.7.2","2015/06/23"
"release-1.8.0","2015/08/17"
"release-1.8.1","2015/09/22"
"release-1.9.0","2016/04/24"
"release-1.9.1","2016/05/21"
"release-1.9.2, Latest","2016/06/20"
