"commit id","commit date","commit message"
"ef1d104c54e99dce72b9dc8b80b88d4134bc344e","2015-10-25 22:26:53+01:00","Update README.md
"
"8e01a670cc8669e3fc2866daeb70eb26e63eb49d","2015-10-26 10:23:44+01:00","Merge pull request #1 from indywidualny/master

Merge
"
"09dcb0c68a0c6780b9ad57fe987feefee6bd082f","2015-10-26 10:40:38+01:00","Minor improvements
"
"98f654c6ea4ebebfd0fc33246967843c9c026015","2015-10-26 10:41:07+01:00","Merge branch 'master' of github.com:de-live-gdev/FaceSlim
"
"d300f5e72d4f75fd9e5309bead5a63369f8d042e","2015-10-26 17:08:46+01:00","Update Serbian
"
"a3f0694d40c433acc04090d064c1f90d8b81a86e","2015-10-26 17:13:32+01:00","Merge pull request #52 from pejakm/srupd

Update Serbian
"
"7ce6b47f85aa1480142fd55dc6c8545e8ed4c924","2015-10-26 22:03:48+01:00","Merge branch 'master' of https://github.com/de-live-gdev/FaceSlim into de-live-gdev-master
"
"07b373df85c7ab499747cc69f3cd729715d9fa45","2015-10-26 22:06:56+01:00","Merge branch 'de-live-gdev-master'
"
"a765d1a66965a4a299ed5937754c32cb4d57fe28","2015-10-26 22:14:32+01:00","Resolved merge conflicts
"
"b31c965ebf510dfc9d739ddbfa65ccc282e8c722","2015-10-27 10:03:10+01:00","New logo and minor improvements
"
"47182fbe92f1103b318d429a13208a286059cc31","2015-10-27 22:32:38+01:00","1.8.3
"
