"commit id","commit date","commit message"
"3b067ff818a839288f09fc15b5a09cc8821e424c","2013-06-20 08:50:48+03:00","removed appbrain, added applovin ads
"
"87c297c429b1fa179ce1f27132d66627d97e90e4","2013-06-21 09:48:08+03:00","Merge branch 'social_stream'

Conflicts:
AndroidManifest.xml
"
"6c4c34aa4956b47c6d754ace40debf8392f6fe3d","2013-06-21 09:49:11+03:00","incremented version
"
"c84f49db2c24385d50c4419c3c751cf959e66ac3","2013-11-25 21:54:10+02:00","removed status, birthday, email fields
"
"dcfe7f23cdf5875c423ba629089e30e7edeb7d6e","2013-11-25 22:27:04+02:00","added faq entry
"
"6d1350d946b1ea89691470feb28527b9f77a2e7d","2013-11-25 22:28:34+02:00","updated monetization
"
"80fb28e9af53772e9817c71c0b9a408b4f359438","2013-11-25 22:30:08+02:00","incremented version
"
"7fa7983e7437ec76613556ba405c687441110911","2013-11-25 22:59:48+02:00","fixed proguard configuration
"
"0e2a1abb81b1a63f34013bac1880efc5a140895f","2013-11-25 23:01:22+02:00","lowered minsdk
"
"9d0e5cb81c6f000a36610f7f02cf10fbd509d7c8","2013-11-25 23:01:29+02:00","Merge branch 'master' of git@github.com:loadrunner/Facebook-Contact-Sync.git
"
"599f0c93702257735133266fd398e5c82fd24ea0","2014-03-23 18:32:38+02:00","increased minSDK
"
"9b04f58fb2bd1670c944aebc8d79b14399ef3029","2014-03-23 18:50:00+02:00","removed monetization
"
"1b18605645d6b0bc5d462f555602ef7629cfb29d","2014-03-23 18:50:39+02:00","renamed layout file
"
"b93d6a1068d22e571d8eab6577dd45f1d9480e5b","2014-03-23 18:53:46+02:00","changed add account text
"
"39a03c2b31a3c5b969c33fc1a5d83db4cf46f428","2014-03-23 19:03:55+02:00","changed getUserInfo FB API call
"
"aa975991dcd5a072db786aa0faff0409420f2cb4","2014-03-23 22:16:25+02:00","improved sync status messages
"
"6241e5e432b0ca19e7b968882fd6b7ba25dbec84","2014-03-27 09:05:42+02:00","added wizard
"
"97ad5d42ee288effbc44aad6fb873e8075283fac","2014-03-27 22:38:12+02:00","prevent wizzard from showing to existing users
"
"9023bb5906fc6e0b9413d052d7e0d504cbc296ce","2014-03-27 22:39:56+02:00","made status bad text centered
"
"472d4d63a9a97c6da2e7c026491b2256c5e0f4ba","2014-03-30 22:36:29+03:00","changed some paddings on wizzard
"
"ecca963ef39d6ec427687bd4545a8d6a14dc2061","2014-03-30 22:37:52+03:00","added singular form for 'contacts' in status msg
"
"fb3f9639f93b08013bf5c0287f25facc4bc24f71","2014-03-30 22:54:50+03:00","added applovin banner
"
"99d8a28dfc5e30306c8ba5bf4bb65bca4caf2c0e","2014-03-30 23:50:15+03:00","added mobilecore interstitial
"
"72605dfd5cd3c188c6899247197ad7efc4fde4e0","2014-03-30 23:50:57+03:00","incremented version
"
"ec76dd26510515e7531c9d8baa4e5169788eaa4a","2014-03-30 23:51:16+03:00","Merge branch 'master' into ads_included
"
"3bbfdd0a07c38344d8aefe32804a929a171172c5","2014-03-31 21:03:21+03:00","prevent window leak by dismissing dialog on destroy
"
"81069d30ac6663f0e915ea1b083b04058b248906","2014-03-31 21:06:46+03:00","fixed radio button overlapping label text
"
"dc5c47391de71c5fc42706474f6ba6686829e0d9","2014-03-31 21:42:45+03:00","improved condition that prevents wizard from being shown to existing
users
"
"8873eb971b3ab9c23872a493239190810c681a10","2014-04-01 15:09:55+13:00","Pass the default system locale to FB graph API
"
"dbdcbc5b4214c2b8fc47fac50fa8dec4c4455ffb","2014-04-01 22:28:44+03:00","Merge branch 'master' into ads_included
"
"509d3012cd8f45ad6de459fa845c83a1a90f31ff","2014-04-01 22:31:45+03:00","Merge pull request #32 from hazzik/localisable-names

Fix #30 Pass the default system locale to FB graph API
"
"1557a69c1641528eefc9cf2055ddd0fd7b2535dc","2014-04-01 22:33:00+03:00","Merge branch 'master' into ads_included
"
"e3b1d02cc86e5899d83cecd7d01ee4769725240e","2014-04-01 23:07:16+03:00","removed invalid characters
"
"fb2b358471487bd5c0b75eaec00790078d4eca1f","2014-04-01 23:12:28+03:00","replaced mobilecore sdk with lite version
"
"3dd006d5aff508168e431cafd92b97861a3ec351","2014-04-01 23:13:30+03:00","removed unused import
"
"82ac8d5b0d6dc337991656332717e90f49aaa00c","2014-04-01 23:16:25+03:00","incremented version
"
"c429920df26e74ea2b69b5debfb6e12715f2a84a","2014-04-01 23:16:38+03:00","Merge branch 'master' into ads_included
"
