"commit id","commit date","commit message"
"f6d1b85ff624fd83bc75663efa0b0a3a26377c8d","2014-04-13 19:52:14+03:00","incremented version
"
"4ddb76d17b4862d5e5798b6484ce4dac46a19178","2014-04-16 00:06:30+03:00","updated year in about section
"
"77fa08dee6c88e1f42d85f713128b8ca54692826","2014-04-16 01:01:06+03:00","added looper prepare call
"
"3c6ac00f1c5411195854d3a7c2482dca60d07caa","2014-05-04 10:10:55+03:00","incremented version
"
"2f4ca10018e0815cbaaed7c3cd1acd43600b7618","2014-05-04 12:09:53+03:00","fixed bug that downloaded pictures for not synced contacts
"
"85b0533b43e4362267ad3c3081f0c76fddf0cd61","2014-05-04 12:10:14+03:00","incremented version
"
"7dd9cc81cce4dc15e87cdff7cecb7b6e7c81ed67","2014-05-04 15:05:58+03:00","fixed initial thumb download condition
"
"2ec5821dc93fa901077126590ff1e565afb7e8b4","2014-05-04 15:06:20+03:00","incremented version
"
"a9008e2e3c1bf50d6bd606cbc9e271ea90868470","2014-05-04 15:06:55+03:00","removed unused proguard exceptions
"
"c387a29222de0c56a3f6cf803f4a896e096df020","2014-05-04 23:07:51+03:00","added in app purchases for donations
"
"68e94711a43e18cd88f6aaa0a546c2f78508a4aa","2014-07-20 16:03:37+03:00","caught 'Service not registered' exception
fixes #35
"
"df70bb27339bc709574c332558dfaee2bc28a670","2014-07-20 16:33:36+03:00","started v2.0 graph api upgrade
fixed login, account id, permissions
"
"e1bca99866fa769432377c6b5fe49f686843dd51","2014-07-20 16:45:22+03:00","fixed profile link for users that don't have the facebook app installed
fixes #39
"
"0baaacbe00318f28ef90a5081de953004e3fcfe7","2014-07-20 17:42:21+03:00","incremented version
"
"311df8549339bca5061dbce70183d661b370f2c3","2015-05-08 01:45:17+03:00","Merge remote-tracking branch 'origin/new_graph_api'
"
"008bf0b375a59f11f64e00f39b600bdb925a24ae","2015-05-08 02:48:03+03:00","Update README.md
"
"64de1bdf7b6f3926c00428c2136bde2c12fea82e","2015-05-08 02:49:52+03:00","Update README.md
"
"94541e1feb60237837ca64c7cb32f68175a7cfb6","2015-10-05 00:48:38+03:00","removed 'Facebook' from app name
"
"f76d7f169a47a2523e3ddb90bc54a910527cbd42","2015-10-05 01:28:01+03:00","changed manual sync toast messages
"
"8fa5c678d4bb73ed4587f06123d0a941d50f593f","2015-10-05 01:32:58+03:00","removed access token log print
"
"01fa0f08c7b4ccd2f1dbd8ad20af778e352ad31a","2015-10-05 03:14:58+03:00","fixed friend singular value
"
"48179d7b499446f7a1f430f976e5780abcce83f9","2015-10-05 03:37:02+03:00","enabled by default sync all
"
"dc320b335992605f6057baa25a164cf4d38a0129","2015-10-05 03:46:06+03:00","updated app to work with facebook sdk 4.6
"
"032280a00f86a9cb80a9c41fa35656dc5a196d43","2015-10-05 04:02:08+03:00","fixed fragment init after wizzard
"
"9f55d90798cb24e5fb3d2c47431500b140a8e660","2015-10-05 04:18:22+03:00","updated FAQ
"
"a8f8a46be8bb0cba8460b2626d7fd58bbce1400c","2015-10-05 15:14:51+03:00","added invite button
"
"117d48f3e30c7b0676e12842c4cc3fe5cd62b012","2015-10-05 15:54:24+03:00","added invite button on wizard
"
"c7326d1a1a4e2bc14dc873cfc8e1bd2c72a1a9fd","2015-10-05 15:54:53+03:00","changed the wizard setting key, enabling wizard for all existing users
"
"2c8e76f397bee773ecb6944dff8078fc5e93d6b3","2015-10-05 15:56:53+03:00","changed default sync type
"
"e19645c741e03013c4e9346a14d66319fbbad9f1","2015-10-05 16:03:43+03:00","added loader on invite activity
"
"f3c50140ceb5258709753717e2e1306922b0d5dd","2015-10-05 17:29:30+03:00","updated proguard for new facebook sdk
"
"6d4f1ea1ffb4e79c0656d35741fa528c23e2f5db","2015-10-05 17:30:13+03:00","updated copyright year
"
