"commit id","commit date","commit message"
"0fb562c1c59d61243ecb003aa9fba564c4bc0542","2012-07-30 18:01:07-07:00","Use CodeMirror for viewing commit and Gist files
"
"7fd6f671da859703adcc6c1fcf9969ed12cf73bd","2012-07-31 13:47:06-07:00","Synchronize wrap settings across all GistFileFragment instances

Listen for wrap preference changes and update browser when
changed.  This will keep the setting the same across all files
in the Gist currently in the view pager
"
"87f35c8a1c69c0f6e2bbb587b4eef28a6c7354ed","2012-07-31 13:50:48-07:00","Use VERSION_CODE constant for lever 14 (ICS) checks
"
"ceb45c396e4271dcfc3f58c1c17c331b02b337ca","2012-07-31 13:55:59-07:00","Remove SuppressLint annotations
"
"c4ecdd67a86d0c9f32dce8a50780dd3225e2142c","2012-07-31 14:07:30-07:00","Add missing CodeMirror lib folder
"
"8eb927ed6880e39f5193ea189776fec6e6e7e418","2012-07-31 14:14:04-07:00","Split css/js out into separate files from source-editor.html
"
"eae49a10c9ac6db18cfa93642f9c75185ed05a3c","2012-07-31 14:19:37-07:00","Add support for .r files
"
"fa57d854620eb29c1529a4868ad1f9a3a35cc168","2012-07-31 14:20:31-07:00","Add support for xquery files
"
"17d091db20a3ebbb102488640b5ddb8f51a7fc64","2012-07-31 14:21:57-07:00","Update use of SyntaxHighlighter to be CodeMirror
"
"b4ddac6209fc3d35ec51cd0797d04008bf61382c","2012-07-31 14:26:53-07:00","Upgrade to GitHub Java API 2.0.4
"
"bd7c5a0b6f66012ea6102a5febc252c2426bf4e9","2012-08-01 09:38:38-07:00","Compare file extensions case insensitively
"
"cd13b37ce22c2238b3269cc17b29d7ee9dd54344","2012-08-03 09:37:36-07:00","Add Swedish translation

Closes pull request #164
"
"a4ad7d0f18536d6a379a0f3b7ddf62a4eac83c14","2012-08-03 09:38:30-07:00","Add German translations for enable_wrapping and disable_wrapping

Closes pull request #166
"
"8d52a111980158abec68dc2d810e20354c1632a7","2012-08-03 09:39:56-07:00","Update Slovak translation

Closes pull request #167
"
"6f3535fc9ae72aa9b3adb6a3aa86799b455bfd22","2012-08-03 09:42:18-07:00","Add scm element to POM file

Closes pull request #168
"
"7ab755adc1919326c8c0479fcc75f4c8b82c4e06","2012-08-03 09:59:32-07:00","Use addHeader/addFooter version that only takes a View
"
"9d6accb955312322e7e14e19f2309d4b419041ce","2012-08-03 10:00:03-07:00","Mark issue parameter as final
"
"af1cc063c2ed793cfa3db0eb7e257810379f9f1f","2012-08-03 10:43:06-07:00","Display pull request title in action bar when applicable

Previously pull requests would have a title of 'Issue #'
"
"ce677a2878a3cc7f949ba932870da1201959ede4","2012-08-03 10:53:34-07:00","Use static imports for constants from IssueService
"
"5de9a0a93af6f8c6570fb3c56adbe99c0686741e","2012-08-03 11:48:25-07:00","Use != instead of > when checking for single changed file

Previously it would display 1 changed file even when zero
files were found in the specified files collection.
"
"a2975d26697c9b538b194e7bd861ca14f73bbb2a","2012-08-03 11:59:03-07:00","Add store for caching commits

This allows the author, committer, message, and parent
details to be immediately rendered when swiping through
commits opened from a repository's commit list.
"
"1a057a7184bbddb3ea7eb5ba16365d0d7e794f10","2012-08-03 12:06:31-07:00","Refresh adapter after commit view activity returns

This will keep the commit count in sync if the viewed
commit is commented on and then the list is returned
to.
"
"671076a1e13692afea9d9236e22c7628fa73af0e","2012-08-03 12:07:45-07:00","Don't add loading footer when commit is null

The entire activity will be displaying a progress bar
so a progress bar footer isn't needed in the list.

The progress bar footer is only needed when comments
and/or files are missing.
"
"2a7445859f97ba0d7a2f2cb5f5bc2e3e797dff89","2012-08-03 13:09:52-07:00","Remove unused imports and finalize parameters
"
"d0c77c8ccb6b45814894686904e5fea3f3d25114","2012-08-03 16:08:15-07:00","Update Spanish translation

Closes pull request #169
"
"e6c4c956087b9b381074bbd2e8d6537850b12b38","2012-08-06 16:32:22-07:00","Use version of addFooter that doesn't take data and selectable flag
"
"8c75a165bf7e863b63a8cffc08989c5ad92a60ac","2012-08-07 08:12:55-07:00","Remove unused string
"
"df471f3f11c52e612fb0b11ae53584f5b89d8fd1","2012-08-07 08:42:57-07:00","Add explicit cast after reading data from file

This prevents errors from certain compilers and
is functionally equivalent as the previous calls.
"
"63003a81f88fce8aa408082ea765be7b37a5b8ed","2012-08-07 08:43:36-07:00","Update German locale

Closes pull request #176
"
"8367ca84772076d945c261c0dd4272d5f91fdf18","2012-08-07 08:45:18-07:00","Update French translation

Closes pull request #179
"
"643b7d7ae85f4dc8d393498a7bcfe04713578eae","2012-08-08 15:21:19-07:00","Update account credentials when 401 occurs

This starts the LoginActivity when a RequestException occurs
in ThrowableLoader that will cause the credentials to be updated
and the data to be re-requested
"
"48e7fe2bcaea36cb557b58f40f0e253fb6fbafdf","2012-08-08 15:37:24-07:00","Add helper for determining 401 Unauthorized responses

IOExceptions are thrown certain Android versions with
magic strings when a 401 is returned by the server but
before the response can be parsed into a RequestException
and RequestError.  This helpers checks for these strings
as well as when an actual unauthorized RequestException
is raised.
"
"d68daf182911e0e73dc3613f101d453d3a140ebc","2012-08-08 15:59:52-07:00","Don't allow login text to take focus when disabled
"
"a4d2573a84dbb761363995448c4ce93fc7c05a89","2012-08-08 16:36:57-07:00","Synchronize on counter when updating account

This keeps the login activity from being launched
multiple times when multiple loaders fail because
of an unauthorized exception.
"
"2394ec842ce00d56683d6ff64fb351111f238328","2012-08-08 16:43:14-07:00","Add Turkish translation

Closes pull request #182
"
"ffe638bd92b7238f098f5c51f9d0b9e42c0c42ea","2012-08-09 09:26:53-07:00","Add project.properties files and remove from .gitignore
"
