"commit id","commit date","commit message"
"1e4fcab72f2ae048392cbec5e1eaec94caabd5a5","2013-10-06 21:26:07+02:00","For search contact queries (used in sms, contact, alias...), we first try on the name matches only.
If no result is return, we try on the whole fields (address, email...)

Fixes Issue 334
"
"7c02eb349eda5182795d92c9ee3b03247d4c8800","2013-10-07 00:17:38+02:00","Fixing camera issue (at least for Android version >= HoneyComb 11)
"
"076c07951b208fc56a8432c653d1b12a4c6366a8","2013-10-12 01:53:09+02:00","Updating ASmack library
"
"5500c8044b4c20f308b5159687a4b59d523254d7","2013-10-12 01:55:23+02:00","Adding 'test implementation' for the Smack exception management.
Reducing reply timeout to 20s.
Adding last connection date
"
"ba191e29926255972a5dae275ff5ca74eb88357d","2013-10-12 01:55:41+02:00","Displaying the last connection date
"
"19a1878900796ec7715071a2847cb1b67491535c","2013-10-13 20:49:32+02:00","Adding new notifier on setting updated.
Using this implementation in the Connection Tab
"
"94a6db9e894161c0944d5b1859e1d0c41874ce16","2013-10-13 21:57:53+02:00","Add a setting to configure the ping interval
Defaut value set to 600s = 10 min
For some ISP the value must be set to 2 min
"
"b59d87d44b140112d32f6ef645ccf3e37bcda571","2013-10-13 21:58:27+02:00","Updating Android studio project settings
"
"e2c8c2ec122c48de54fd2103b0b7194446cdd1d6","2013-10-13 23:21:47+02:00","First XMPP connection retry will be done immediately
"
"de3752f6b9146df0abebc01ca087df762caf0c78","2013-10-13 23:22:53+02:00","Updating change log
"
"5dae387e75728b39ae01a8da674bbcd8d80cd03d","2013-10-15 01:21:21+02:00","Adding new command 'video'
Camera settings not yet managed.
"
"f2caf3a868477667d76e931376b463aa65af975b","2013-10-15 22:42:40+02:00","Fix NPE
"
"6f09e2bfb2c6d1097256f64e7aa1c90752098581","2013-10-15 22:59:36+02:00","On unpasable packet, only log a error
"
"82030a734cec4b4521e260e0c12b27005f5b905a","2013-10-16 00:56:24+02:00","Using TextUtil.Split instead of doing it manually
"
"5a9cccefeeb5e454e5e150320c31bf45449944a9","2013-10-16 01:00:53+02:00","Adding video recording settings
"
"db7f795581aa53a1deffc4eca9fdc1860a871ad4","2013-10-18 20:16:42+02:00","Adding documentation of command Video
"
"37a30403059c9f594a515bafa402462c16bdc7ac","2013-10-18 23:40:40+02:00","Fix reconnection issue with null message on login exception
"
"478beded9002d6ef3060b3f5ac8cd192a411e5e9","2013-10-18 23:41:54+02:00","Updating changelog
"
"286022919e2278cbc8916a1343af8d542084d1ee","2013-10-19 00:06:13+02:00","Preparing 4.4.2 B2
"
