"commit id","commit date","commit message"
"ba670bbb50cd04c61947a781ec199b6261c1b3fe","2015-08-23 00:54:28+02:00","More testing work: with a new test for finding the device
"
"93c2f40cd83dd0ada8c08d99cac4844d5ce0ee9a","2015-08-23 01:04:40+02:00","Add link to CHANGELOG.md
"
"9a3769aebaf7cedc777dd40e2dd15033e73d42fb","2015-08-24 13:15:58+02:00","Remove the 'Test' widget
"
"070876db068f524ad951dc6029cf53d52db095ca","2015-08-24 13:19:17+02:00","Allow disconnecting when device is connecting

Also require 'initialized' state for 'find device'
"
"6ebc727f97662c8a11ed64d0e2579ba25707d5e8","2015-08-24 17:48:17+02:00","Merge remote-tracking branch 'origin/master' into low_battery_notification

Conflicts:
app/src/main/java/nodomain/freeyourgadget/gadgetbridge/util/GB.java
"
"e47ebb8f098c712616ec03ae03be3855fd300284","2015-08-25 00:33:37+02:00","Improvements to charts

- backward and forward buttons work better
- buttons only refresh the current fragment now
- activity shows fragment-specific titles
"
"0bb3188bc8afedcc1c8c1b228212d59c40677275","2015-08-25 00:54:16+02:00","Start and end dates now work properly across charts

They are now managed by the Activity, because the fragments
may be created and destroyed at any time and hece cannot
synchronize their date-state all the time.

Open issue: moving across the borders (first day with data,
current day)
"
"b4e34db1d2db3b21df785da18126709d90bfc116","2015-08-25 01:03:58+02:00","Faster animation
"
"e1c02cc37345eb6f77b87bce1972457a67288a0b","2015-08-25 22:45:07+02:00","Prevent charts date in the future, documentation and cleanup
"
"8128651bcc4a103056acb31b5d907b53873ac17d","2015-08-25 23:04:04+02:00","In landscape format, layout bar and pie chart horizontally
"
"e8a12f92bee685f6e1040ce37e5cb48c9bd35a9d","2015-08-25 23:10:11+02:00","In landscape mode, give the bar chart more space than the pie chart
"
"d0fbc57cf12b095c304ea2e99d29d72c45034730","2015-08-25 23:14:52+02:00","Switched position of bar and pie chart

First comes the pie chart (details) now, the the bar chart (overview)

Maybe we should do this differently in the sleep and week-steps
fragments, but for a start, and having it consistently, this is how it is.
"
