"commit id","commit date","commit message"
"3fefb57fdd36d3f320ed3fcd55dbcc8d9d191edd","2016-04-23 23:24:56+02:00","Fix colors in alarm activity for dark theme
"
"18fe09bb7c88d0f867765945ee7803d0453f9f3f","2016-04-23 23:31:19+02:00","make add icon on FAB white
"
"abe1c9070f8302f34c870338dbe9ba20aa927123","2016-04-24 11:32:09+02:00","update German and Korean from transifex, thanks!
"
"36a34bd17c3b8542c944af37c7bf4c3258d41436","2016-04-24 11:37:18+02:00","fix remaining strings saying 'App Mananger'. Closes #290

(I fixed on transifex where possible, unfortunately some strings vanish there from time to time, I guess it is the case when the english string changes)
"
"65bd1581bc13b4cd805a6fe8d2309ee80129bb73","2016-04-24 17:34:36+02:00","Fix receivers, display measured heart rate as a toast again, fixes #292
"
"b89eb14be79c53e8a3e77c6f4547264626cd57e8","2016-04-25 00:13:09+02:00","allow two digits for number of call notifications (e.g. 60)
"
"0c715a2669a95adf68800e28ced065b07714004d","2016-04-25 23:18:55+02:00","Wrap access to SharedPreferences with 'Prefs'

(to centralize quirk handling)
"
"0704915a882303f0fd23eb8a30c218cc4f1b9323","2016-04-25 23:39:03+02:00","Move parsing of preference strings to int values to Prefs
"
"e35ce978bd2708916c4e7bc4ed16b8f131affad8","2016-04-25 23:43:19+02:00","Remove now unused imports + fix one more SharedPreferences usage
"
"47984dba0a4df7aaf7b42fb65e5cf6260d4bed34","2016-04-25 23:45:27+02:00","javadoc
"
"e1551226f6f4dd035775e655da56f48e29a36d94","2016-04-25 23:51:58+02:00","Reject empty strings in Preferences for numeric inputs
"
"eca5d40efe5070cb70cbe8f86b93a40226996664","2016-04-26 00:02:35+02:00","More javadoc
"
"5e02724c4cdbc10efa9a860f285df89c8da2d381","2016-04-28 23:17:13+02:00","Make automatic reconnect after connection loss configurable #293

Mi Band: automatically reconnect when the device is back in range

Also: #89
"
"10d7274aa1e1a3b124adc1135e9256eae4001e99","2016-04-29 21:49:17+02:00","Fix testcases (all this should be scrapped and redone with e.g. robolectric)
"
"6863fababebe088dd47cb84eac0b7d3074d15978","2016-04-29 22:07:16+02:00","Update changelog and prepare for 0.9.6
"
