"commit id","commit date","commit message"
"bd5469ef9393be66c65fe3688b6614100e692691","2015-02-26 14:55:57-05:00","Initial Commit.
"
"e714b91e6df2f71943f2050fd8bfea81f12345d1","2015-02-26 15:29:56-05:00","Create README.md
"
"6c16948082daee2b1571170523217e9fec2a7dc5","2015-02-26 15:30:53-05:00","Update README.md
"
"5f9121482eb4f7970aa0db954336656a52155027","2015-02-26 15:35:55-05:00","Added ic_logo.png missing from this newly created project compared to the old project.
"
"88c7365c9c0e65cd61c108f533b318412ea977a4","2015-02-26 15:36:06-05:00","Merge remote-tracking branch 'new-v2/new-v2' into new-v2
"
"84e73574c348f8731eb6cb313f8ce168ac7a9e9c","2015-02-26 15:39:45-05:00","- Added APK (Version 2.0).
"
"b89406fed0b48429174105071d28968940d6aa6e","2015-02-26 15:42:01-05:00","Update README.md
"
"522191dedb51648390eebc72060032aacb7ed62b","2015-02-26 15:43:04-05:00","Update README.md
"
"707b5649c6eaa71c3a7a6943983997f15b3d5baa","2015-02-26 15:43:34-05:00","Update README.md
"
"2df48b1b61a4f62716fb214b03b2da79dd0daebf","2015-02-26 15:49:23-05:00","Update README.md
"
"a3b7c8406e2f0a6e724e1cff188fcd04939cf1c8","2015-02-26 17:07:12-05:00","- Fixed parceling error and caching error.
"
"d1ee6ef1fd775e6d628b1bc457f2bbe4bcb8f280","2015-02-26 17:07:29-05:00","- Optimized imports.
"
"35c31c0eb6fda583f0ac139397594b06fa5d8f55","2015-02-26 17:08:06-05:00","Merge remote-tracking branch 'new-v2/new-v2' into new-v2
"
"5717c6abd5d0be5bc0f5e46eddaf415e985b5c1a","2015-02-26 17:10:34-05:00","- Added APK (Version 2.0.1).
"
"30dbfedaec92e4dc05f75d80eaecda39322b0de4","2015-02-26 17:11:00-05:00","Update README.md
"
"caaf77151063a9649942322d7775858eff283450","2015-02-26 17:48:33-05:00","- Fixed typo in build.gradle.
"
"930d94081627253a76c4f2545364dc3691ca975c","2015-02-26 17:48:48-05:00","Merge remote-tracking branch 'new-v2/new-v2' into new-v2
"
"a9e19e165e2106e686b262be1e54acd54f5ac4b1","2015-02-27 00:33:32-05:00","- Added build variants for debug and release.
"
"a994e09979db0092540ed01e47d71835781073e9","2015-02-27 00:34:35-05:00","- Added bad and mock modules for debug build.
"
"957bc59158404fcadd2f2c2b0541d546dd2df221","2015-02-27 00:35:06-05:00","- Added tags to modules.
"
"d6515762493117451742bb598a4a18b2ffbbf455","2015-02-27 00:36:15-05:00","- As a result of a bad module test, Observable.create() replaces Obserable.just() as it the later does not stream errors automatically.
"
"7f9a1b7f65add6bedcecac6272b3eea9d7c9453a","2015-02-27 10:30:46-05:00","- Fixed issue of new stories not being appended to the anthology and the adapter properly.
"
"53721d4b019d468574099753ca7385e34bdf7e08","2015-02-27 10:36:39-05:00","- Fixed issue of adapters not notifying a range insert properly.
"
"fb0d547684b4a1989f513018175a369768623278","2015-02-27 10:49:42-05:00","- Fixed issue of shared references between an anthology and an adapter over a list of stories such that updates to the list perform twice. However, it enforces a dependency upon the anthology to the adapter without relying on references implicitly.
"
"0fd5dc34edb403ad250f5ed29e894114eb894912","2015-02-27 10:54:19-05:00","- Added APK (Version 2.0.2).
"
"921406e1ea5a11ec987bbcc4f339b77158aa3f73","2015-02-28 14:04:59-05:00","- Updated project to utilize Gradle 1.1.0 plugin.
"
"42d6ecd7af8d1914e538b42d2bf006ae69993221","2015-02-28 14:05:38-05:00","- Updated ViewHolders to use Butter Knife.
"
"8a2750ee4324727ba174f4c4450b3b3825e5784c","2015-02-28 14:07:06-05:00","- Added Espresso 2.0 and AndroidJUnitTestRunner.
"
"51c3d58c7c8fd214bc026bf14a1233b9546307dc","2015-02-28 14:07:44-05:00","- Updated GMHApplication to allow the initial object graph to be altered for testing dynamically.
"
"eadd31c5006c4fe432553cd71efc88f02f87586b","2015-02-28 14:09:08-05:00","- Allowed modules to be independently injected for testing.
- Split BadGMHServiceModule into two for GET and POST requests.
"
"7b06c3ab694752973ba6c0b91322e700d113c0ce","2015-02-28 14:10:39-05:00","- Changed Observable.just(new Response()...) to Observable.empty() to signify dummy completion.
- Split BadGMHServiceImpl into two for GET and POST requests.
"
"d9bf974cb5eb6e2c3da181691ec95915a07ed131","2015-02-28 14:11:40-05:00","- Added UI tests. @Tests should not be executed independently to ensure @Before and @After are called.
"
"642471fe090dcdf22e339a77af17db0449af4435","2015-02-28 14:16:04-05:00","Update README.md
"
"24f3496a5fb61d7788d9734f1a3983d1d5fdd5f2","2015-02-28 14:31:07-05:00","- Added null check into conditionPullNextAnthology() for HotPresenterImpl and TrendingPresenterImpl due to crash report stack trace.
"
"17b2d1c88196ab8b290b888f04f07be489fefc0b","2015-02-28 14:34:55-05:00","Merge remote-tracking branch 'new-v2/new-v2' into new-v2
"
"bc52524c6c5b7d369309a317c80a1ab7053346f8","2015-02-28 14:40:23-05:00","- Added APK (Version 2.0.3).
"
"2d990e3ec47316ea65dd57f7ee545a01381f2858","2015-02-28 14:41:35-05:00","Update README.md
"
"88e5bf52da2d0132584488b14f576e78de9939d0","2015-02-28 20:08:51-05:00","- Removed accidental file uploaded in prior commits.
"
