"commit id","commit date","commit message"
"dec611afeb428760ba7af787777064b55a8b7710","2016-03-30 12:15:21+02:00","remove fixme
"
"11398afc4a7786dc2df99e94e978029a54b2f1a6","2016-03-30 12:16:02+02:00","fix NPE in Settings->2FA fragment when disconnected
"
"15346ae926996a5205000ec39a5d81def9cec062","2016-03-26 17:31:14+01:00","Added opt-in RBF to settings, send rbf_optin flag for prepare_tx
"
"1d623cad9b2369ed3048c1f40448537f4359d313","2016-03-28 00:14:16+02:00","RBF working without 2FA and without adding inputs, untested with hw wallets

(Probably trezor+2of3 rbf needs implementing additional support too)
"
"bf148bc36a93fd650072358245dbfc613843b0d9","2016-03-28 06:28:24+02:00","Print stacktraces for notifications handling, handle null subaccount gracefully
"
"dc06c328426ff88c5d72295dbd11d819f8d700ca","2016-03-28 06:44:18+02:00","rbf: go back to tx list after replacing
"
"1e9ff63e143ec341dc6ef04f4ae1ac6a10d576f8","2016-03-28 07:09:47+02:00","Format mBTC consistently with the JS client
"
"882b90ccd65aba663740b0dc91594b70297762cc","2016-03-30 07:22:42+02:00","RBF: confirmation dialog
"
"76d885b1a6d028edecf91be5191950a7c2383f01","2016-03-30 08:11:05+02:00","RBF: two factor authentication
"
"ea4988b14958d8aa0538153bef969200eb3d8941","2016-03-30 14:21:50+02:00","RBF: inputs adding
"
"116447fd134a50130259dbbccd48ac2c7cf454ee","2016-03-31 15:57:58+02:00","fix fdroid build
"
"f6c4448b307643fe3e74fb0aa7aa724e9f9b9351","2016-03-31 16:23:17+02:00","Removed wampcra token auth
"
"bec505cab8ae0eefe16c6fc89dbebcb6c38b1c30","2016-04-01 00:15:11+02:00","remove unnecessary imports, slim down UA
"
"fa3f59c932c23881b696e2ea457812172ee279c5","2016-04-01 00:16:03+02:00","more lint: imports, casting
"
"461198266c5c830053771808ce820bc108969be2","2016-04-01 00:16:17+02:00","update recommended ndk
"
"6922808584d2f756fc6cd244a2d107af88903e0e","2016-04-01 00:18:51+02:00","add app version to info & settings, on touch go to releases page
"
"a3cf15f883bbf458bf5a93537496d0ec85394308","2016-04-01 00:38:29+02:00","update strings to reflect core nomenclature
"
"164f964b3f283d83f4859b0328dc5a6fabf1f2aa","2016-04-01 00:51:07+02:00","remove token/cra endpoints from sources, use null for environments without tor support
"
"7f6df2e802f9f9707e105b97fb94e6a0773ae5d9","2016-04-01 18:11:27+02:00","add support for armeabi-v7a
"
"143bf774d00f97bbe657c65e423eac734b8e6114","2016-04-01 18:12:05+02:00","bump version for release 1.72
"
"c899ab534e98e660e536934f83996f83f730e8b8","2016-04-01 19:06:21+02:00","update strings
"
