"commit id","commit date","commit message"
"67f32296adac8ba9f787ebababfd0a224563dd3f","2015-02-18 09:16:35-05:00","Update README.md
"
"aff5f38e73f73e0b6fb0fe2abfb29b976f9c1374","2015-02-18 09:16:51-05:00","Update README.md
"
"a2c0831f0ab276319cd3d43ba11f59397248acb9","2015-02-18 09:48:31-05:00","Removed old still camera fragment
"
"7f3c785333e5820ee2aaa4ee5d72947d6bd97e75","2015-02-18 14:36:37-05:00","Holder commmit for testing video intents
"
"130e8460813b4f735c2af6efe38ed90d254e182c","2015-02-18 16:15:25-05:00","Add beginning of custom media controller
"
"11d92ef20a263b2a3c52f5699446df7edf511003","2015-02-18 17:05:34-05:00","New fullscreen drawable
"
"b0372d1b013100c87e61ba1f0ce94c535fc74fa1","2015-02-26 14:22:28-05:00","Removed media controller from stream. Added logn press to launch full screen intent
"
"29d8e75a89b1eeb48a36a86d664233c2e836991b","2015-02-26 14:34:23-05:00","Fix tab switching video handling
"
"a560c897f5f7619518ba497f5cc9bb5b6da7e27c","2015-02-26 15:12:43-05:00","Working video completion listeners
"
"88aa0d82f8869440fb7e84f5a80f82a839afe1e7","2015-02-26 22:11:48-05:00","Working videoview stability
"
