"commit id","commit date","commit message"
"ac2c87f60ddd239cb667fa4d7c509821e13406f9","2014-06-15 12:20:19-04:00","Back to SDK 16
"
"41981b048f24f0da08ddc40b962b0bdcdbf5cad9","2014-06-15 12:52:43-04:00","Added initial translations
"
"6e8f3d2f896606c815905368f44e25ca8656c3d1","2014-06-15 12:53:10-04:00","Version bump
"
"9c4ae48449fe62736e94bdce86b07b9f60dd10d8","2014-06-16 09:39:14-04:00","Android Studio/Gradle upgrades
"
"3db88199f2a020388474f8b794f57ce6a4efe1fc","2014-06-16 10:28:20-04:00","Add all white icon
"
"53ef77c99e4abf25dde28e15d505de94009f4a68","2014-06-16 10:33:08-04:00","Initial 2.2 Changelog
"
"15729b09a60fa8c26322ec8c046319e69e389689","2014-06-19 18:48:17-04:00","Add sync to updateOrAdd
"
"18e3eb068d000c7753631f185bdc44ee0f3af010","2014-06-19 18:54:10-04:00","Add Spanish to the mix
"
"1057b295daabf5312296ab9fa5d0e162c263cf15","2014-06-19 18:58:30-04:00","Ignore missing translations
"
"251a0b413aba45f5dbd110be6e27070e73d327ee","2014-06-21 14:58:07-04:00","Fix some apps not launching to main action
"
"4498be3e5f2a86edf64385f77380297e084c9b87","2014-06-23 07:00:00-05:00","Spanish/Portuguese string changes.  Added Italian.

All my thanks to:
Conor Anderson (Spanish)
Vinicius Domingues (Portuguese)
Mario Sacquegna (Italian)

You guys are the best!
"
"f941b5eb6b93c64127c454214e175faef5453f8f","2014-06-25 11:57:44-04:00","Notification icon size preference
"
"35398836bb244807a16c41aa7465bbf038e71780","2014-06-25 13:28:03-04:00","Version bump
"
"3abfde9e3ef3327f14a301d4fa332b2a5e0f9337","2014-06-26 17:43:18-04:00","Italian fixes
"
"0b5c23462bede8a90860d4d1caddd6278c16be43","2014-06-29 12:35:11-04:00","Add contribute section
"
"484a945bb54c96a2c2bbeb0db7961e64d6108ed8","2014-06-29 12:40:04-04:00","Add missing menu link
"
"fc667e07dd82ac1daec046b944cbd99a4d98c662","2014-06-29 13:18:46-04:00","Added more contribution items
"
"7e9568f4966d337963ce6712580a0020aba389da","2014-06-29 14:02:41-04:00","Work on contribute section
"
"db08dc290b7d60eb47c16eee91ded10b3264d508","2014-06-29 17:57:02-04:00","Finish contribute section
"
"2e17e9f9a533a0f1d7a6cfee0ccf6aaced39975e","2014-06-29 18:14:45-04:00","Change priority (back) to TOP when user sets a statusbar icon
"
"28f5d9e82729a5644f7e9c98ffa68c849acb3afd","2014-06-29 18:52:22-04:00","Changelog additions/cleanups
"
"3056555a9cb80be8d27da55dc84d87a4c9074b4e","2014-06-29 19:10:50-04:00","Add Polish (thank you Michał Ostrowski aka ufoman!)
"
"2f515b61c7d2dda64e17ef8918d561812e25289f","2014-06-29 19:14:02-04:00","Style clean-ups
"
"b61f9e640cba3a512bf8c6e223b487f1d6828b17","2014-06-29 20:15:50-04:00","README fixes.  FAQ added.  Thurst quenched.
"
"912013557f409b5b88dfc8e9637b91f238c260cf","2014-06-29 23:09:48-04:00","Typo
"
"18203b01e7b4974e3f8eb71c594d5667e28f7792","2014-06-30 11:01:17-04:00","String and translation updates
"
"f3e84c828426d6fc55f167ab4bb526d0c88b5eee","2014-06-30 11:20:30-04:00","Italian fixes, Polish additions
"
"ab9f1bdd76ea399650a1bd4e14f90e58e3977c23","2014-06-30 11:55:14-04:00","Add to FAQ, version bump
"
"61835071e4a1599f9c363bc9f8a66256733c1ebe","2014-06-30 11:57:53-04:00","Add crowdin link
"
"802f334319f06ce40fce755bd646cff673bccb4a","2014-06-30 17:28:27-04:00","Add this until we can switch away from getRunningTasks
"
"7256da17e15e67f030bfd806374ab18e645d9df3","2014-07-01 13:08:56-04:00","Italian updates
"
"9209e9189cc6ea664744369a7386fd5ac7b989a2","2014-07-01 13:12:07-04:00","Version bump
"
"da4d6c0937a293c921caaafeed13268c1b645498","2014-07-01 18:59:13-04:00","Final language additions, changelog modified, version bump
"
"ba93e197ed328c9782f56afcc8867b1a63f51583","2014-07-02 00:07:43-04:00","Cleanup from lint checks.  Gradle upgrades.
"
"0d9a5f50019c4a1f112583f9cf635ecddfdda183","2014-07-02 10:44:39-04:00","Prep for 2.2

Version bumps, accessibility fixes and cleanup.

Spanish translations
Portuguese translations
Russian translations
"
"d0f43fbf04bf00435294929f793863f81722b812","2014-07-03 11:53:34-04:00","Add Russian translator to github README
"
"fbea00f28ef2e6cdc0437734c04a44683a5fc4eb","2014-07-03 22:17:04-04:00","Bring gradle and SDK requirements back down to 19.
"
