"commit id","commit date","commit message"
"83e1b4f921f1d6a46bbcc9b87b4bd88509afa84e","2014-01-31 08:31:30-08:00","Initial commit
"
"b4f8247ca2601ff489f14638b19482cd405a94f7","2014-01-31 17:54:33+01:00","first commit
"
"90e8c9d023c64c5f91c67825d3236d6e90f7dec1","2014-01-31 21:37:44+01:00","in xml inserted button and two radio
"
"3ea87c4c2badfca1279f9b1694fab70f101217f9","2014-01-31 22:21:47+01:00","onClick button text changed
"
"46b4adf9816809c09a02685615b0b141cde1a707","2014-01-31 22:39:59+01:00","onClick button set text depends on radiobuttons
"
"2d4ca82efd26fa4a577d4a80d6a7247f8f23c270","2014-01-31 23:19:27+01:00","first location info
"
"edf3a37fa122f5af7a8c4b8ea442d214915e1c08","2014-01-31 23:21:16+01:00","after source format
"
"affbbe12edade8db5706ad2e7dd044d7194cc888","2014-01-31 23:32:02+01:00","protection against location==null
"
"c7f923fb16987dc3c183e6251e79184184ce9d84","2014-02-01 10:49:21+01:00","location information more readable
"
"22a7bf7775bb8e8f548f08ea8e16928c7788ba0a","2014-02-01 12:58:16+01:00","getTimeInMillis in Calendar
"
"cd57f31b0f8a237b143bf8a1bfa47ba680923dec","2014-02-01 18:25:21+01:00","after source format
"
"f15254e7fbf97268d9ce7d5e1e2dca2e3830e3a9","2014-02-01 18:40:53+01:00","locationManager is now field instead a local variable
"
"6c4e416d4db315fa01198da9991a8a5a6d486d17","2014-02-01 19:06:49+01:00","checkBox 'GPS' set accordingly
"
"9c2feb45674909b21ebd6fd467449deb5a9ea5c4","2014-02-01 20:17:37+01:00","click checkBox allows to enable/disable GPS
"
"72b677986d28dbfdfb4ee157a1efed60703e9dd4","2014-02-01 22:26:35+01:00","button grayed when not enabled GPS and is GPS radio
"
"bd35558d463a05428660083cffb67a9968dd975e","2014-02-01 23:41:50+01:00","refresh by requestLocationUpdates
"
"4a570bcff07221933bb0f941675ff1734cc17385","2014-02-02 01:00:18+01:00","rename package to borneq
"
