"commit id","commit date","commit message"
"7cefa2fc12e6eeb286507d9824bc3a874fbbbe21","2015-01-17 18:31:16-07:00","initial import from Eclipse into Android Studio
"
"e1a29fb2b444ba8ed66945b35d9a3d3ef426b605","2015-01-17 19:42:24-07:00","undo changes made before import
"
"fb0bcd57e05483f678eef626d454ead9c9379474","2015-01-17 20:52:33-07:00","Implement AppCompat actionbar
"
"79428cafda577e61e14e39c858884c07190d75ff","2015-01-17 21:56:33-07:00","Add toolbar to nodeReference share activity
"
"aca9cbf9971034fcd380342fca96296010dbd927","2015-01-17 22:17:59-07:00","Add Toolbar to OpenReferenceActivity and UploadActivity
"
"61dabde68fca1bfbe08d38dbbb80d3da473c5c39","2015-01-17 23:04:53-07:00","rename activities and fragments for clarity
"
"def536d41df8ba6cda489f3a9280cd36057d3f32","2015-01-18 00:41:14-07:00","Add Toolbar to NodeManagerActivity. Switch to ListFragment instead of ListActivity
"
"2b7471f5004b121e5b490af91a2319c3eddc750b","2015-01-21 19:01:02-07:00","fix typo
"
"e30b5c01a20575f6061a74153a22bcfada4ac09c","2015-01-21 19:01:30-07:00","Add toolbar to Settings Activity - use an xml layout
"
"08c735f49e8b1b154aacfa4aea919581407de121","2015-01-21 19:04:45-07:00","Add toolbar to Settings Activity
"
"f78fef21e04e3641b1eff93b680855f39c4877ba","2015-01-21 21:30:44-07:00","More robust file upload
"
"e0f3d858eb445671bf7736abd8864fb6f2995dd7","2015-01-21 22:21:04-07:00","Fix uploading non-images
"
"ce2d7b6de31ae5828452293c94dd8850ba998c50","2015-01-21 23:15:27-07:00","Style update
"
"a288c7d5268f56abb3b812ae8133b2b6f748458e","2015-01-21 23:15:39-07:00","remove unused function
"
"9c85123db38640cc21f1465ec45886686ab6b895","2015-01-21 23:16:02-07:00","code refactoring for clarity
"
"1bc9f63a0346f641e7bae9a41e729dfb244799dd","2015-01-22 22:38:05-07:00","Fix FC when no active connection present
"
"e4e05272004510b978dffc7e0ab46975778691a6","2015-01-22 22:39:31-07:00","Update style
"
"eab18549265a5f339405e5b8aa6c3c5b4fc70a7d","2015-01-22 22:57:57-07:00","Fix displaying of Upload button when EXIF removal message was present
"
"a9724459f0980f98eff0ae5f9c7601cedf8215dd","2015-01-23 21:11:35-07:00","Material Design
"
"b3d9f67db301a1080670ea7951dc64f5ef9d8283","2015-01-24 00:42:31-07:00","Material Design
"
"1587e6438c6b212078db43bdb24380bd086ec68b","2015-01-24 01:09:46-07:00","Material Design
"
"2123abf327463c5ba6d33ca5d9f201692e9c88b2","2015-01-24 14:21:21-07:00","Material Design
"
"f1977c1c636520b5a81ace62ae41eb7877141efc","2015-01-24 14:27:36-07:00","Add indicator showing which node is active
"
"868936e97b59551e4a36085d91f7c44193e5ab1e","2015-01-24 14:43:24-07:00","Add backwards compatibility for devices that don't support ripple effect
"
"a7137128d623acd604ba7265017e53b1448fa290","2015-01-24 14:46:18-07:00","fix display issue on small screens
"
"db6ca6040bebb8ea8e0cb2f8291ede565dbf6104","2015-01-24 17:32:28-07:00","Add FCP Connection Logging
"
"763f5942875529dbd4bbfa8ee563c5b7b36e2103","2015-01-24 17:32:48-07:00","Remove FCP Connection Logging
"
"b1ac272494f4467af90f91afbfbf88fbe7defdf3","2015-01-24 20:25:05-07:00","Better handling of FCPService lifecycle
"
"0e601ea48b3930ac1269cc32ba6b122c8f591fcb","2015-01-25 20:10:19-07:00","Implement setting priority of transfer
"
"42e90f2490b5f6aef43486f69a521cd606f0700d","2015-01-25 20:10:50-07:00","Fix FC when a transfer name is too long
"
"dc1973e548878e4f8c0c6aa138cb2a42aea0d3ec","2015-01-26 20:32:30-07:00","Save Noderef with localNode
"
"a96e2d4119aeb052c22b64091d813a16ac891310","2015-01-26 21:09:26-07:00","Move opening local node reference to OpenReferenceActivity
"
"6a58126e09bb4e94d2810e42c14ef0f32b8567b1","2015-01-29 20:48:49-07:00","initial support for sharing noderef
"
"eb61ab1f70ed9d6267f17b2e6f6887d72d589b9c","2015-01-29 21:48:59-07:00","use NDEF message to send noderef
"
"b62e5eee2f914a764690d7ae94973868421abc10","2015-01-29 22:00:13-07:00","Show Add Reference button if NodeRef came from NFC
"
"6ca154e0a16c28071b51a61925edf5a42094240e","2015-01-30 21:12:18-07:00","Don't include location if it's invalid
"
"6ce8971e2dcc9031cf864be099ea364a177c7eaa","2015-01-30 22:11:19-07:00","Show toast on Protocol Errors
"
"18d63188820bce24245dc9f176c4fc68db619ad4","2015-02-01 18:54:34-07:00","Implement opening, saving and adding a Darkref node
"
