"commit id","commit date","commit message"
"9304a1222680e09562a119be4ad35cb0586f4656","2013-12-21 19:32:43+00:00","Use Proguard to shrink the binary a little
"
"04b1d39c1ab5a498c2ceb7956d7a1bef385cfd56","2013-12-21 19:33:06+00:00","Request orientation change notifications
"
"18cf6c388fe2a0f656d710fb1a3a6b1dd274b7d8","2013-12-21 19:38:32+00:00","IMP-464 #resolve fixed
"
"d3b7b25dc57d70e3d0eba6182d61e36befeae421","2013-12-21 19:39:14+00:00","Let the SDK have a KitKat as well :-)
"
"96f6617b9d0c980a39b89b10fcce70cd44367bb0","2013-12-21 19:39:38+00:00","Run Proguard with custom settings on build
"
"bb786bd34f15d6e5b788067db139f88c7dc86091","2013-12-21 19:39:52+00:00","Clean gunk out of JMC manifest
"
"c3791ea8a411232b637d7a0d498db3a7f5579da2","2013-12-21 19:44:54+00:00","IMP-467 #resolve display videos :-D
"
"5028ebae39c7b6da02f0652a0971a972293daac0","2013-12-21 19:46:12+00:00","IMP-465 IMP-466 #resolve Implemented :-D
"
"49c61fe796f4fb9cbc3d2aedcf0185900b5138a2","2013-12-21 19:46:28+00:00","Set our user agent
"
"a4ad0932d6125edc68577a4435889cb5e1669d79","2013-12-21 19:46:52+00:00","IMP-463 #resolve fixed!
"
"119508eae0ddcb37fc0ec98c3c468c9855829d94","2013-12-21 19:47:00+00:00","Correct misalignment...
"
"8c00a1d4aa4b3f047db91ed95100fb429b066822","2013-12-21 19:50:41+00:00","Mark 0.8.5! Merry Christmas!
"
