"debian/6.0+20120509, squeeze-ebook-en-ed1","2012/05/09"
"v0.1","2012/10/03"
"v1","2012/10/07"
"v2","2012/10/08"
"v3","2012/10/08"
"v4","2012/10/09"
"v5","2012/10/10"
"v6","2012/10/11"
"debian/6.0+20121031","2012/10/31"
"v1.4","2012/11/10"
"v1.4.1","2012/11/10"
"wheezy-ebook-en-ed1","2013/12/24"
"debian/7.20131230","2013/12/30"
"debian/7.20140126","2014/01/26"
"v1.9","2014/08/30"
"v2.0.0","2015/05/16"
"v2.0.2","2015/05/21"
"v2.1.0","2015/05/26"
"v2.3.0","2015/06/02"
"v2.3.1","2015/06/03"
"v2.3.2","2015/06/04"
"v2.4.0","2015/06/05"
"v2.4.1","2015/06/07"
"v2.4.2","2015/06/10"
"v2.4.3","2015/06/10"
"debian/7.20150616","2015/06/16"
"v2.4.4","2015/06/18"
"v2.4.5","2015/06/19"
"v2.4.7","2015/06/20"
"v2.4.8","2015/06/23"
"v2.5.0","2015/06/25"
"v2.5.1","2015/06/25"
"v2.5.2","2015/07/06"
"v2.5.3","2015/07/06"
"v2.6.0","2015/07/13"
"v2.6.1","2015/08/04"
"v2.6.2","2015/08/09"
"v2.6.4","2015/08/12"
"v2.6.5","2015/08/16"
"debian/7.20150828","2015/08/28"
"v2.7.0","2015/08/31"
"v2.7.1","2015/09/01"
"v2.7.2","2015/09/02"
"v2.7.3","2015/09/03"
"v2.7.4","2015/09/07"
"v2.7.5","2015/09/10"
"v2.7.6","2015/09/10"
"v2.8.0","2015/09/10"
"v2.9.1","2015/09/14"
"v2.9.3","2015/09/16"
"v2.9.4","2015/09/25"
"v2.10.0","2015/10/03"
"v2.10.1","2015/10/03"
"v2.12.0","2015/11/01"
"v2.13.0","2015/11/15"
"v2.13.1","2015/11/17"
"v2.14.0","2015/11/23"
"v2.15.1","2015/12/04"
"v2.16.0","2015/12/09"
"v2.17.0","2015/12/14"
"v2.18.0","2015/12/15"
"v2.19.0","2016/02/13"
"v2.19.1","2016/02/15"
"v2.19.2","2016/02/29"
"v2.20.0","2016/03/05"
"v2.21.0","2016/03/05"
"v2.22.0","2016/03/31"
"v2.22.1","2016/04/25"
"v2.23.0","2016/05/30"
"v2.24.0","2016/06/25"
"Latest","2016/07/08"
