"commit id","commit date","commit message"
"4d675f20704c18ea903724c37587d7473932cd16","2015-06-02 18:50:54+02:00","Add localized aliases
"
"51e96cd57dd2f7169ec425f371bcf5f1a3b285d6","2015-06-02 18:56:43+02:00","Localized settings
"
"9cd8187e61bdcade549dd3614c150606a13738ef","2015-06-02 18:59:45+02:00","Localized toggles
"
"568ca25998e13d0dc39bc98430108bb91bb3656f","2015-06-02 19:00:42+02:00","Merge pull request #91 from Neamar/localization

Localization
"
"3fbd0732aeff7b600beae755ca933bf105bd6217","2015-06-02 19:18:38+02:00","Fix density troubles with contacts
"
"d86a85a256f385408a26219fa6e6b93fbefae3e9","2015-06-03 19:14:06+02:00","Hide message button for home phone numbers
"
"0cd524e065389f4eefd2b66e75e280a69bc87610","2015-06-03 19:24:35+02:00","KISS bar on the left, menu on the right
"
"bdca4e4f274832e038719ade5f5fc92860f6d63b","2015-06-03 19:49:18+02:00","Formatting phone number according to locale()
"
"d6a0cf896747f45540e8e5bd57d7deb629513af0","2015-06-03 19:50:02+02:00","Merge pull request #93 from Neamar/phone-formatting

Formatting phone number according to locale()
"
"600aa0b0ba4ac8432ae30125d4fc7a8840595748","2015-06-03 19:50:18+02:00","Merge pull request #92 from Neamar/reversed-layout

Reversed layout
"
"8ba6266f656c9d7e098b0ca3b017a6eb26c11008","2015-06-03 19:55:52+02:00","v2.3.1
"
