"commit id","commit date","commit message"
"6d57792a67dbfe7dea97f64642c31c49ff1e24a0","2011-07-27 00:09:30+02:00","Fixed a null-pointer exception as reported from a crash error
"
"04dca9ef5587f670aea3458de784b0a2aae0b312","2011-08-17 19:27:47+02:00","updated to support LG Optimus 3D. thanks to Adam Chylek !
"
"fab4aa35ec81e270aab709a1abac224824275610","2011-08-17 19:29:21+02:00","updated
"
"9725cfdc04a0513f6227f6e692fa40b3c2226dc2","2011-08-17 19:29:49+02:00","updated
"
"73770c27582d47414275d5efbf8a666e67aab936","2011-08-17 19:31:48+02:00","added some stuff so its possible to check if it can be used or not (for
gmail 2.3.5 update)
"
"052f61004c31bd1a6f07e9941ac89e4d87665f7e","2011-08-17 19:32:21+02:00","start service even if leds can't be used
"
"857edeb90ff7859b064c594cc87bacf3c5ba6caa","2011-08-17 19:32:32+02:00","updated
"
"81eb69cf631e837c6197cd43b6defd94bd699201","2011-08-17 19:33:09+02:00","added an intent-action to be able to add packages
"
"620089cc94a67111117314fd7f85405d9e4046d9","2011-08-17 19:36:01+02:00","some fixes for gmail 2.3.5, support for feedbacks even if leds can't be
used, always set led-brightness when screen is turned on
"
"b948d309aa18291148e4b74fac2dc0798858a61e","2011-08-17 19:37:04+02:00","fixed so app can be used without modifiable leds, show a dialog about
gmail if accessibility is disabled
"
"fa27ce7f45580e9ad6dc5851154e61bb5888aa40","2011-08-17 19:37:35+02:00","fixed so the app can be used without modifiable leds
"
"d6c84418b162ce7efb98baa204aef196f0bd7b4c","2011-08-17 19:37:45+02:00","updated
"
"369004f6b9d5db0f3eb58f0982567d4dfb574fe0","2011-10-19 10:47:48+02:00","updated to 1.1
"
"76ff5a4ca35651e046b2a8ec8f4a17c42a3658a6","2011-10-19 10:48:04+02:00","added null-checking to prevent crashes
"
"d8d8585fcd93061159e94531a46b6176a85f60e9","2011-10-19 10:48:15+02:00","better way to check if su exists
"
"57a8760a6ed543c5fc5c2b200ae700c2ee574639","2011-10-19 10:48:28+02:00","updated to 1.1.1
"
