"commit id","commit date","commit message"
"23c1d05b065329e5eabef984508f24652c267e1c","2014-07-18 22:42:43-04:00","update .gitignore for proguard and updated version code
"
"40e05ad6600043c11843645f99a3a763083b45ef","2014-07-19 09:54:33+02:00","Update German translation
"
"86228a15d21fbd7db126a4ccffb5ef0391a7a32f","2014-07-19 09:53:57-04:00","Merge pull request #107 from User99gmxat/master

Update German translation
"
"005e75fc8d27b16ee909af4761acf2833c5b1178","2014-07-19 16:49:33+02:00","Restore consistency in code formatting

* remove all trailing spaces
* some files used spaces instead of tabs like the rest of codebase - fixed
* make use of IDE 'optimize import' feature
* make use of IDE 'auto format' feature to fix some missing spaces here and there
"
"de031977ce334c620610121333c9200280e49748","2014-07-19 17:32:26+02:00","Fix file name not matching class name
"
"dafd6840966235a138906f1601a4e6d3d1d7ecb2","2014-07-19 17:39:51+02:00","Clean up AdBlock class

* use interface instead of concrete class
* inline initialization of static variable
* remove redundant field and variable initialization
* replace single-character string with char
"
"0cf218018cbee17cff6b03f0d1caae6cdcbafab2","2014-07-19 18:22:33+02:00","Clean up SettingsActivity and AdvancedSettingsActivity

* field that are overwritten from every class instance SHOULD NOT be 'static'
* some field could and was converted to local variables
* add missing 'private' qualifier here and there
* action bar may be null, added checking for this
* remove wrapping all method body in try-catch, moved it to method call
* removed redundant field and local variable initializations
* single-char string replaced with char
* redundant qualifiers ('SettingsActivity.this' etc.) was removed
"
"b4032aeb6efa359572635d431a7ee6e0be95a9d3","2014-07-19 21:54:48+02:00","Simple Travis CI setup: test if project will compile to APK successfully
"
"a40a9e70ed0418d5ec1f72b96ff487a64f3fe2d2","2014-07-19 22:07:22+02:00","Allow accepting any android-sdk-license in tests, remove unused sysimg
"
"b9086baf0b7bbd5691f96a4f27bf719091625997","2014-07-19 22:28:01+02:00","Add empty missing file ant.properties
"
"335beb1a00fd03959d75bc1e3212547300d0421e","2014-07-20 00:57:56+02:00","Configure android lint
"
"00e66547af7cc14b723f1b0c44298ee90eec1b38","2014-07-20 13:04:45+02:00","Fix 'Error: No .class files were found in project '.', so none of the classfile based checks could be run.'
"
"a0b0deab906a8116de7d228e7d943f1156bcb92f","2014-07-20 13:05:19+02:00","Fix path to library
"
"c9bc6e569984d24ed159bc455813b252e999f5e3","2014-07-20 13:17:53+02:00","Fix lint errors and warnings in license activity layout
"
"046f839ccf83adba909b55030a907d08529d4816","2014-07-20 13:18:21+02:00","Fix typo
"
"6f8c66cb9944b848576d501a24532eec595275f2","2014-07-20 13:20:50+02:00","Fix lint error in settings activity layout
"
"4e303ae4c25653da46966b2b89928ae711ab8252","2014-07-20 13:27:31+02:00","Fix all lint errors 'Error: 'STRING' is translated here but not found in default locale [ExtraTranslation]'
"
"371a8b0ef6ebd85e2460b15f030506ab7e76aa0f","2014-07-20 15:57:59+02:00","Add windows version of setup-ant.sh file
"
"a56352de6ce4c29f09b75daa14fbaa47a62ffccb","2014-07-20 19:21:40-04:00","Merge pull request #108 from kuc/code-cleanup

Code cleanup - part 1
"
"a3080175f33bda6afc1e3f37e79597905572e1c5","2014-07-20 19:23:35-04:00","removed useless layout params
"
"a21ddb3a139b562b2e1993bafd8112f22837d3da","2014-07-20 19:58:19-04:00","Note on intent utils
"
"fbd74df4229ce661b156dfe59b9ebd29d7eb87b7","2014-07-20 20:08:12-04:00","Improved comment readability in IDE editor
"
"93860a3efa709f53e025d7c8d8c984063f513e8d","2014-07-21 08:38:37+02:00","fix spelling in german string
"
"d128000c736719e23e00376fbaa55b98daea6da7","2014-07-21 07:20:09-04:00","Merge pull request #109 from DF1E/master

fix spelling in german string
"
"c03acc0f44877488ac26d100aa7cd2a0c808d125","2014-07-21 17:41:46+02:00","Merge branch 'master' into travis-ci
"
"09f23553a4db1dc8bd56fef806d799a1d86081dc","2014-07-21 18:22:12+02:00","Fix AdBlock collection type and other problems
"
"9c1b0c703e7878e471920f7da5aac1d5cf1d9340","2014-07-21 18:27:09+02:00","Fix overwriting AdBlock instance by every new created LightningView object
"
"d85019ec7220e8562b18fd34c733aa959c03b3a4","2014-07-21 18:55:22+02:00","Add logging
"
"f8c1506a8a97599975910da36c49e36a5c002af1","2014-07-22 21:05:49+02:00","Update target in properties and scripts to match value from AndroidManifest.xml; make exception for Travis
"
"4069adaa06bbcd27aeaee51fd346bc3641642753","2014-07-22 18:13:50-04:00","Merge pull request #111 from kuc/fix-adblock

Fix AdBlock
"
"2876fa960995872ff90629b58b49b32d2aadd0b5","2014-07-22 18:20:20-04:00","Merge pull request #112 from kuc/travis-ci

Add automated continuous integration testing using Travis CI
"
"c939e7e22501799859a9c4af9a1d3aceff01386c","2014-07-22 18:36:36-04:00","Updated with lib addition
"
"ae40af0b9e9bddf34c8d0b074d400da993886b87","2014-07-22 18:40:51-04:00","Removed libs... apparently crashes the build
"
"60574c0db94507542311b7fd6acda886068a2255","2014-07-22 18:50:20-04:00","Fixed Video full-screen not working
"
