"commit id","commit date","commit message"
"a3078d14a3a23d4ab9b619fdb3bc2a75f64ab3ec","2014-03-10 22:29:16+01:00","Initial commit
"
"926a8c0058ab9762f7e4930292c1f595c359250d","2014-03-10 22:59:57+01:00","Remove @Override
"
"fbfea152f562e42269132d1f79899e7b14f9f6c2","2014-03-10 23:02:31+01:00","Add dependencies for java libs in Android.mk
"
"8c58884648542003183090b9ebe7ccd7d0e0ea1a","2014-03-11 18:42:35+01:00","Specify unified nlp as dependency
"
"bdd485eedb8add50ea042689961cb1f6b8c5ce64","2014-03-11 19:26:42+01:00","Aggressive search for nlp api
"
"fb96b363d75c91328d44b50b811dc6985eec4bd6","2014-03-11 19:44:08+01:00","Statically add the API
"
"8b7ad270bc0740f6c4de12e4cb955e64301886b9","2014-03-11 21:56:54+01:00","Remove problematic dependency
"
"18ac8371890af9fa4a97aff64eadf11c3ecea9d4","2014-03-11 23:09:18+01:00","Start a looper thread to start everything (*wat*)
"
"a15223ffd6e03ad4370241bf77e41e3d486f576c","2014-03-11 23:38:25+01:00","Add logging of service startup
"
"dc177ee1bb1eebb878a7b59cafd7d86b23e39431","2014-03-12 00:07:16+01:00","Re-add use-library to manifest
"
"c60589fe4685ad7d8da198899671cd2e74e1eed5","2014-03-12 09:33:55+01:00","Try process isolation
"
"e804e71299fde800da1161f6eb3d3ea9335d0d10","2014-03-12 09:34:35+01:00","Move startup code to startup method
"
"2145bcc5c45f34277672f2a274bdb8bab6c5ae90","2014-03-12 09:36:57+01:00","Make sure that the db gets initialized
"
"c2fadad4d53964f9a216ca56037017b649755385","2014-03-12 20:53:42+01:00","Add maps dependency for gsm location provider
"
"96c888632cd031c13680e1312c27b64e20ddbbc5","2014-03-13 16:35:04+01:00","Add more GSMService logging
"
"74b10551a4a53c65eafc527a7232c3692c8a16dc","2014-03-13 23:19:23+01:00","Fix Android.mk
"
"8f5129951bd120d35ccd3c758b41870980cfec9d","2014-03-13 23:20:30+01:00","Add new AndroidManifest
"
"7996be454d9e0f977e91caf0cac4c9824fffed5e","2014-03-13 23:23:22+01:00","Add dependency to NetworkLocation
"
"761383c727bbc511734d1530cfc475c0e7fb4610","2014-03-13 23:25:35+01:00","Make the GSMLocation provider non-privileged
"
"c46e68cb5e81e3b2dc08ada28b0e9fe5e2113394","2014-03-14 20:10:51+01:00","Add exception handling
"
"c4d8b723f52c3781d959a92546600fca00140cc0","2014-03-14 20:15:56+01:00","Move init to ui thread
"
"2e8468de1add21f9a11ed9a5d6ef29cb300dd321","2014-03-14 20:19:13+01:00","Declare throwing Exception on start
"
"082a5f416d65d788d057467ebb1b8cecc006598f","2014-03-14 20:26:32+01:00","Just log the exception
"
"fa0b96a13010c06f13eb1d73a0c23727391103ef","2014-03-14 21:58:33+01:00","Add an update method
"
"ae179fe3baf969a01fa86960dbd3a22631a56ac1","2014-03-14 22:01:57+01:00","Add android manifest version
"
"ea31d221193c99785b76be688066b7f8bdf0cf2e","2014-03-14 22:15:11+01:00","Make sure that we call start and log errors
"
"b013faaca001e50600c0081d4caf62baa12210e3","2014-03-15 08:38:49+01:00","Log reported accurancy
"
