"commit id","commit date","commit message"
"00148c556aab6a2f4b1711c73b297fc44d6b4842","2015-06-05 18:33:32+02:00","Update README.md
"
"44a7433dbc0833db840124219bc686762e3e5358","2015-06-05 19:53:06+02:00","Update dependencies
"
"43e74a83624e990021c5cf7b8a54c13a1f53fbc2","2015-06-06 11:17:51+02:00","Update README.md
"
"9cb3cd6ef5d539b8465b7394ddfa067929c06f92","2015-06-07 11:06:03+02:00","Update README.md
"
"18af3f7688fe55363b7e5464f7dc86c421e9ebc0","2015-06-07 22:07:55+02:00","Update strings
"
"8c1c073ea9449b8481e8b04e83085027c0f51ca2","2015-06-07 22:08:18+02:00","Update app menu
"
"5e4fcec283f64aa843b9fd1ae12a7e4c388cf015","2015-06-07 22:08:28+02:00","Add getShareIntent method to UtilsApp
"
"a585cfb40aa49e992a7030c4eb92d6d72f231cee","2015-06-07 22:09:13+02:00","Hide start and uninstall cards on System apps
"
"e4fa7beee67b8c87d9560d16b71e2831be42d4a0","2015-06-07 22:09:45+02:00","Use getShareIntent method
"
"824df1f5207eab495fb36d7cf471bb0459ae91b0","2015-06-08 18:09:38+02:00","Update CHANGELOG.md
"
"2054330fef10c49bf8287f8fc04ac4b1d537bdf3","2015-06-09 11:11:11+02:00","Workaround to avoid OutOfMemoryError on some devices
"
"70b7eea8f7f4e7b21baf22dfaeabcdc50137dc03","2015-06-09 11:11:25+02:00","Remove unnecessary code
"
"b1be4f4ee2505e912df3cb51cf19df0e860a9ee5","2015-06-09 11:13:27+02:00","Update CHANGELOG.md
"
"1668844fdef366d23ef99cec8946220b3f2e932c","2015-06-09 17:19:10+02:00","Add some sorting options to Settings (experimental)
"
"3883c91e80d48cb80f581215872c530105919911","2015-06-09 17:20:45+02:00","Remove unnecessary import
"
"0171dbd00282711d647c7c6fb8307c0bf1e37617","2015-06-10 13:54:03+02:00","Fix crash on some devices with Lollipop
"
"6389260c14b932e82993bfc087c2b86439fa4bef","2015-06-10 19:28:46+02:00","Fixed app icon when using a custom icon pack
"
"316d577030cfb8616334a8a154ae064b44de7bc9","2015-06-10 19:33:41+02:00","Update CHANGELOG.md
"
"09ffb35ff04026cb0a3a411ba442fd26c1fb7bba","2015-06-10 19:37:12+02:00","Update dependencies
"
"9d7e0fb7ce3868766a7555941ab0c99a5a3277d6","2015-06-10 21:16:31+02:00","Replace Google+ Community from Settings to About
"
"b842ad44f8ec7b171d34eb69899b0b2bc1311a5d","2015-06-09 17:19:10+02:00","Add some sorting options to Settings (experimental)
"
"27062ec86e692b774c9978bdf1f13e24509c720f","2015-06-10 21:21:58+02:00","Merge branch 'comparator' of https://github.com/javiersantos/MLManager into comparator
"
"d7fd7cef3125276e50c03e6d5b2f476fe7e6e4cf","2015-06-10 22:06:52+02:00","Fix comparator by size
"
"d42de4af16ade3fbc2df418a09ca19b94cfccfb8","2015-06-10 22:07:07+02:00","Update translations and arrays
"
"9bbe2717b3feda9870719bc3dccc4fd57aad2c14","2015-06-10 22:12:53+02:00","Update spanish translation
"
"e730596d5ae8912b9934294fe7d3f78e405ecf59","2015-06-10 22:21:31+02:00","Merge pull request #9 from javiersantos/comparator

Add sorting options
"
"ec6071d9d7a3af19dd599c246ed8d96cbed68429","2015-06-10 23:37:15+02:00","Add scroller (experimental)
"
"4bd1c01ed9eca75af725df4cb9199aa9062065a8","2015-06-11 00:22:00+02:00","Better scroller implementation and remove main FAB
"
"4673f9cf31833ae8259e183cc60fb325abba116d","2015-06-11 00:38:23+02:00","Scroll bar is now outside the Card View
"
"2b31d9a182014bab38c52ac54f8cda3f1da1d3f9","2015-06-11 11:11:05+02:00","Update CHANGELOG.md
"
"8e8eeb825e8d816ce58572b8eaec636b16c50e3b","2015-06-11 17:03:41+02:00","Release 0.4 (10)
"
"e46556aacc28d67dea01c37a7d63140dd8a98452","2015-06-11 17:09:59+02:00","Delete unnecessary imports
"
"462993403a8af05107f1ed379f6c5cbd3db6de82","2015-06-11 17:32:50+02:00","Merge pull request #11 from javiersantos/scroller

Add scrollbar and remove main FAB
"
"f657de118d8207f1ac8bd23d6b2b124719684a37","2015-06-11 17:35:38+02:00","Update CHANGELOG.md
"
