"commit id","commit date","commit message"
"d6b4a8a4203988541603bc0ec440ffd03bbaa724","2014-12-15 02:46:05+01:00","Simplified structure
"
"31c51d48ce65d94c28da2b1b713c327faf6b4cc6","2014-12-15 14:48:47+01:00","make pauseBecauseHeadset volatile
"
"586c95b27a8f73f0e0f96082b570749ba3f7e950","2014-12-17 15:57:15+01:00","Renamed MediaPlayer
"
"ad6fc71d6b322b8a1f1e262f6146d6434b87e5f8","2014-12-17 16:07:16+01:00","Removed unnecessary file
"
"e13be21f0bf6c0bda9bc00c4d9bc5d304f1f4180","2014-12-17 16:52:40+01:00","Added sonic as source
"
"715ffb5a2cf5e7b204b23ec9e5456db320186f8f","2014-12-17 16:58:18+01:00","Added missing source
"
"ac86cb560c26e6be80c12d83632dca70ceabbe78","2014-12-17 17:59:58+01:00","Added prev / next buttons
"
"ce3cb0abcf2ab53d69de6d112b97ff1af09ef0cd","2014-12-17 18:04:08+01:00","Added missing land layout
"
"fd6a4e97fc1a653b774229e899fd05aada6f4054","2014-12-20 13:58:01-05:00","Portuguese translation
"
"25cb825c990917e2bea3fff0c9fc43d6b2180dd2","2014-12-31 10:31:38+01:00","Added opus for android5+ devices
"
"759178ce05f19d321e22c52019a6212fef5ab88b","2014-12-31 10:32:01+01:00","Added dummy folder chooser for future use
"
"8061d2b1b8ca9dfe7f7c420531d30d7aac917b11","2014-12-31 10:32:29+01:00","Merge pull request #102 from routerl/patch-2

Portuguese translation
"
"05ca1ef3d80c39cf2d371b56be017fa34f2894a9","2014-12-31 10:34:09+01:00","Removed unnecessary tags
"
"90f5f7171ae5afd20d7d02f08fab996c576fe318","2014-12-31 11:55:06+01:00","Removed unnecessary resize
"
"6e7d2388d8360e5d2e7f606a27f96b888f8e76bd","2014-12-31 12:04:20+01:00","Make StateManager a singleton
"
"a0adaa60fa02354821f7d2fe4f980bda0a468f3e","2015-01-01 00:01:23-05:00","Create string.xml

Added Spanish translation
"
"26b2415b4630bed80d1d15d21df3c292ae216b29","2015-01-04 17:51:16+01:00","Make pauseBecauseLossTransient variable volatile
"
"fe5ae20b94e622925c70830b995cf5ecc5e175a2","2015-01-04 22:27:57+01:00","Having remote views updated by changes in player state.
"
"b2b5f94f896f4e581cf9a2850d8f327b96352cf8","2015-01-04 22:34:52+01:00","Merge pull request #105 from Guevarak1/values-es

Added values-es/strings.xml
"
"98986c3c00ab41835ecd8a81bbe8af414034a3f8","2015-01-04 22:35:55+01:00","Fixed spelling
"
"b47cc403dc8ce2f9eda213e90cd43f85bc11d929","2015-01-04 22:37:57+01:00","Renamed file to have lint recognize nontranslatable strings
"
"dd3e36c346942c712eefee4ce4c37417a844115e","2015-01-04 22:52:03+01:00","Make stopAfterCurrentTrack variable volatile
"
"e544d7d47a0970ceb51c576798bed7d37f2dd9d8","2015-01-04 23:42:02+01:00","Make speed persistent
"
"0ff68bb0599fffd26ce92f8df466ed5e72fd3a8b","2015-01-05 00:08:21+01:00","Dont use deprecated api
"
"dbc9e0659a856476039293c37da93c72e7f308b4","2015-01-05 01:21:16+01:00","Fixed notification styles
"
"6343a86327cb664163e4bd42ebc85896809ffb0e","2015-01-05 01:27:41+01:00","Setting widget icons according to state
"
"2c98794a0c3cae2c7c0744eb5835624ddd348ebf","2015-01-05 01:28:55+01:00","Also fixes style for widget
"
"bc74185059ebd865ff900d711031471a8234dbb6","2015-01-05 01:45:16+01:00","Pass same parameters to pi to reuse properly
"
"2c92b9be2373d1b284b51615e19e59c1a8688b2b","2015-01-06 10:13:37+01:00","Further worked on FolderChooser, cleaned up code and set stuff invisible for production mode
"
"6497f15e0cb1a0abf0265c76b367b196cbb040be","2015-01-06 10:29:43+01:00","Fixed forward backward buttons to update gui when paused an to jump to null when at position > 1000ms
"
"e8f6d88f6df0a153d2fea60c9a8ba51971cae41d","2015-01-06 10:45:09+01:00","Prepare for next release
"
"1700a50922419a14212a38d8b2ab5fc542c47b47","2015-01-06 10:52:18+01:00","Remove bold style for notficiation and widget
"
"29691211451aa056ccbf2666dd7d6d4ff0c26c58","2015-01-06 11:15:04+01:00","Sorting results of storage finder and unified them
"
