"commit id","commit date","commit message"
"a0126d398e13c80fbe70541ae636fdaa68063d5e","2015-06-12 17:05:35+02:00","Fix non-working visibility & priority
"
"cc7155a6db1ce1cff693ce134fca75865df7f8cd","2015-06-12 17:24:33+02:00","Bump version and update readme
"
"32c899a0d9d43fd8422ec52d51896515670c93f1","2015-06-12 17:27:04+02:00","Implement MIN-priority
"
"a25a1dd4b4a1537340ee088b2b2ec64af5f42fed","2015-06-12 17:31:23+02:00","Friendly notification for Android-Versions where visibility is unsupported
"
"a8f9dbbb294919223901033e36a115ae9bc7f256","2015-06-12 18:00:02+02:00","Move more strings to resources to allow translations
"
"d4df0cbd8ca7e3facc42def95125f18e4e616093","2015-06-12 18:07:57+02:00","Update values and add a german translation
"
"8c4a5f0037f3badf97b8f3547d3be13a941d119a","2015-06-12 18:08:56+02:00","Remove timestamp on 'New Pin' notification
"
"22c53392de201e1a2396b2bb1bf8dc5fd7eec93e","2015-06-12 19:12:19+02:00","Rework layout after the Material Design guidelines
"
"8d87207b6360225c3fc01b44a03694f46aa43bb6","2015-06-13 13:39:41+02:00","Update readme
"
"a975b2cc4f4255f4d81634657d22300ee18255e0","2015-06-13 13:56:32+02:00","Implement advanced-switch
"
"79b3cd0a9a0d4138a3ca99d8cc0ca5e55bc0f5aa","2015-06-13 15:57:25+02:00","Allow persistent pins
"
"7dac14c9093225472b4d0e9cabc4ae4b20144cbf","2015-06-15 16:35:21+02:00","Set EditText's input-tags to enable word-capitalization
"
"11ddac2d4e8b203cef73c4823675d0b8824efd85","2015-06-15 16:44:07+02:00","Move more hardcoded strings to values and update its german translation
"
"b75737962393ae0ac053ae5c38d7a36f024a6c43","2015-06-15 16:58:40+02:00","Setup advanced-implementation for the EditActivity
"
"0e4d36a7223ad00c2564c0f66b104add54b57c6b","2015-06-15 18:11:15+02:00","Close dialog after removing persistent pin
"
"4c662bd00a5917fbf6433359392f12e521c7943e","2015-06-15 18:30:05+02:00","Update TODO-list
"
"7fda769b700d99756f51573afd3ef554f9630122","2015-06-15 19:36:26+02:00","German translation update
"
"2fb4fb43ba6948ae01685b3b75de1abd4ede9792","2015-06-15 19:37:00+02:00","Show stock layout-change animation
"
"32f99238aae705a374eb99e0e87695c538a9f554","2015-06-16 13:44:18+02:00","Include small FAQ
"
"af1e1ccdab3030eb9376c69ad3ec605f2ce50ce1","2015-06-16 15:12:06+02:00","Move layout-specs to values
"
"dd9e7695026087c7bde2e8469179121bcd0b2b31","2015-06-16 15:22:04+02:00","Allow making pins permanent in EditActivity
"
"9700007495d275011fb21ea3f652ea680cf625f9","2015-06-16 15:42:26+02:00","Generate notification id between 1 and 2147483647, allowing up to  2147483647 different pins
"
"77da0a24bb6e49a4947709582cd9531c98c8ceb7","2015-06-16 15:47:44+02:00","Set pins priority to min, incase it should be permanent
"
"4eb01ba10858ae5bc421ce8b5d5260150971ef94","2015-06-16 15:54:29+02:00","Match button margin with presets
"
"e6143d4281d4071e43000d3a019b47672dbdd05d","2015-06-16 15:57:13+02:00","'show when' is only available for SDK >= 17
"
"14974ea9a21f57a959a2d1d77c0f3579dcda00d0","2015-06-16 15:57:59+02:00","Bump application version
"
"875f5ac6d25b301c56a1877b94cd72cae262e7ca","2015-06-16 16:00:45+02:00","Cleanup code
"
"4377a183038df2626f2df2d783e36ee47c6220a4","2015-06-16 16:08:57+02:00","Move input-specs to values
"
"d8388d8a6e98b7d1d71504becf27eb506392b181","2015-06-16 16:19:22+02:00","Move all leftover strings to values
"
"fb82ffd56989402ab7286e86fa33d9caf6430a25","2015-06-16 16:22:43+02:00","Fix non-applying permanent setting
"
