"commit id","commit date","commit message"
"db4ac763bfb330944602f838051b333203cd7228","2014-06-13 15:05:09+02:00","First real attempt to fix the S5 crash.
"
"f659d3f6b5291393b7d395191de4e1f0805e7c04","2014-06-13 15:13:42+02:00","Bugfix: Don't create multiple instances of tag info tool.

Do not create a new instance of the tag info tool activity
earch time a non Mifare Classic tag is detected.
"
"cb9f36418ce60b0d6be64040fef606b33b49f2c8","2014-06-13 15:41:25+02:00","Bugfix: Don't close the key mapper if no key was found.
"
"edab4a6ed319729d5307cd0b659db52c5b9c2302","2014-06-14 10:59:05+02:00","Removed unused code.

This code was added to prevent MCT from crashing on a S5. Now that
the crash issure is fixed (workaround) the code is no longer needed.
"
"533f283baafd5613d24d6e3dd1315622ac597664","2014-06-14 11:02:45+02:00","Merge branch 'master' into s5_crash_fix
"
"21a6caa0a47add013b275169b86966b4ce3a277b","2014-06-14 11:18:36+02:00","Motorola Moto X is supported.

Although http://www.andytags.com/nfc-tags-compatibility-issues.html
claims that Moto X does not support Mifare Classic, it does!
I has an NXP NFC controller!
(https://www.ifixit.com/Teardown/Motorola+Moto+X+Teardown/16867#s51669)
Thanks to Markus J. for reporting this.
"
"b36cfb8517a954f8cf19fa55f978b7648f939630","2014-06-14 11:50:12+02:00","Added warning notice about the two types of speical tags.

Fixed typo.
"
"30424fbfbf9dc6cea27d475e05f6b46932659314","2014-06-15 12:40:26+02:00","Merge branch 's5_crash_fix'
"
"91efe7f982752b2114bb3dc9c777c707f9da0d9a","2014-06-16 11:36:19+02:00","Added a hint for more info to the wirtemanuf. block option.

Fixed typos (replace ' with ').
"
"b84ecad1155056f62c3620440916715743766cba","2014-06-21 23:03:16+02:00","New release: 1.7.5

Updated changelog.
Increased version number.
"
