"commit id","commit date","commit message"
"1a4affc00930d1808c4ac2ec8bcbed6684195fd9","2013-11-08 14:23:12+08:00","Update typo on the values folder naming for Traditional Chinese from -tw to -zh-rTW
"
"c76039b09d08f965318da449b31fbf47def74336","2013-11-08 02:44:35-06:00","Merge remote-tracking branch 'upstream/master'
"
"280ff2ff67b6884cbb909899d469b62ea27b409c","2013-11-08 03:00:36-06:00","Fix for updater
"
"7101c143706ec4b7a5fe48d29149075fe2e8dceb","2013-11-08 16:34:38+01:00","Updated strings
"
"605f314a42993764c3597cea3d99ed1229920959","2013-11-08 11:38:03-08:00","Merge pull request #211 from ireun/patch-3

Updated Polish strings
"
"ad8c48dc9ff5cfaa292fecbe4ff69e80f43038c3","2013-11-08 11:38:33-08:00","Merge pull request #208 from dwchiang/master

Update typo on the values folder naming for Traditional Chinese
"
"993a8e6138f7836c068b0e41dd460bfef5f9ed4e","2013-11-08 11:40:59-08:00","Merge pull request #206 from rodmoreno/master

Kill service and app before installing new apk
"
"fed75a6bb187793c4b729df95082e0a9dcb32569","2013-11-09 23:03:53+01:00","add French translation
"
"00ee7de440f6a249599a1f48aa0a0b4cf27979f8","2013-11-09 22:41:14-08:00","Merge pull request #212 from tildedash/fr-translation

add French translation
"
"5a8a93de1d746eac22e622f9ec13cc1e71580ba0","2013-11-10 10:35:44+02:00","Added Hebrew translation
"
"ef9add0d912ecb7b80c86219c63a39877d9087e2","2013-11-10 19:53:01+01:00","Added german translation
"
"416db11a9468e6632161aef7585a394a70e907e6","2013-11-10 20:01:51+01:00","Merge remote-tracking branch 'upstream/master'
"
"78a491aa9079f2146418bef692dcd7be8d74b00b","2013-11-10 12:34:20-08:00","Merge pull request #213 from yarons/patch-1

Added Hebrew translation
"
"d871a516504cf2b48432ec630a945e128a4cb441","2013-09-14 11:06:41-07:00","Resurrect SSIDBlockList.java
"
"a29eab51b7815a70fce013f4576b82c7f22a9cc2","2013-11-10 21:51:43-08:00","Merge pull request #216 from cpeterso/cpeterso/resurrect-ssid-blocklist

Resurrect SSIDBlockList.java
"
"7283f23bf01f47f09899ee46a73ab6071ffcb463","2013-11-10 22:21:34-08:00","Merge pull request #215 from DaAllexx/master

Added German translation
"
"d5a8db1a09dd1764215d9cca170cb1751afb06de","2013-11-04 13:14:04+04:00","Abstract CellScanner and create default implementation.

This will allow to create different implementations of CellScanner using capabilities of newers API
(for example, getAllCellInfo() in API level 17), or using some non-standart API (Multimple SIM).
"
"20b84eb7072f1de7bfab4dd396a5778b3b9da9a9","2013-11-11 09:09:07-08:00","Merge pull request #187 from illarionov/refactorCellScanner

Refactor cell scanner (in preparation for multiple SIM scanning support)
"
"e4144bce099e6e0f6a1d65f48a2aeb20dcae5d9a","2013-11-12 12:20:08+02:00","Update list of common transportation services with some Israeli networks
"
"b01eda0d78bc7fbcd07ff131c5358db05a8f6b7c","2013-11-12 12:22:26+02:00","Update list of common wifi devices with Firefox OS default SSID ☺
"
"fa3c0346193d64d0d078987ad18e6066890e1e25","2013-11-12 10:44:48-08:00","Merge pull request #219 from tomer/patch-2

Update list of common wifi devices with Firefox OS default SSID ☺
"
"23c6865e7abff53ead11fca3579836c57905649f","2013-11-12 23:17:19+02:00","Fix comments
"
"899ec9214b356e4f83a83b115cf5dd35ad85bde6","2013-11-14 00:36:40+02:00","Removed rail stations in Israel because stations are not mobile enough.

https://github.com/dougt/MozStumbler/pull/218#commitcomment-4590374
"
"136f7ff863beaca6691f728b91875a05f09a7ead","2013-11-13 23:32:39-08:00","Merge pull request #218 from tomer/patch-1

Update list of common transportation services with some Israeli networks
"
"99701d50edf42ea8b5263db161787cdb30486a64","2013-11-14 20:47:59+08:00","zh-CN translation
"
"d2bd0ab6d4d9b7fe464926be80c3be796ac18d47","2013-11-14 09:37:12-08:00","Merge pull request #220 from l-hedgehog/zh-cn

zh-CN translation
"
"b5d1732110b657515d251f737be0df2ff9d0c135","2013-11-14 10:24:38-08:00","Bump Android tool versions
"
"29d430c1f08dae0499085063233f2f6fbce81c2f","2013-11-14 10:40:58-08:00","Add instructions for publishing a new release
"
"9718b4dedc629055511660d784f81677a2248c1f","2013-11-14 10:41:12-08:00","MozStumbler v0.7.5
"
"4f47e8b66957098cad20c8a2299c87f9fdb4f4c4","2013-11-14 10:48:28-08:00","Merge pull request #221 from cpeterso/v0.7.5

MozStumbler v0.7.5
"
